corpus,role,id,seed,truth_sha256_expected,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-1-9f9a10d83773,2283024197844612547,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,,xor_dom,13,26,26,17,5100.0,500.0,4,16,14,2,13,16,14,26300.0,28300.0,22400.0,617,316600.0,310500.0068899244,21899.93392676115,40900.07860213518,66799.95567537844,33300.07893964648,27100.0,20800.0,ok,6580.0,16140.0,5780.0,12860.0,25500.0,305000.0,2.452887537993921,2.2249134948096887,4.411764705882353,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,True,1024,13312,26624,4096,2048,16777216,5,5,9f9a10d83773d78f05d14fd0223a1358
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-2-8f95e55d7b67,6798686009557510971,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,,xor_dom,13,26,27,19,5000.0,300.0,6,17,15,3,13,17,15,27100.0,29100.0,20200.0,623,316300.0,311500.0145044178,20200.00829361379,38000.02741627395,65199.91438835859,39400.067180395126,26100.0,18700.0,ok,6860.0,17840.0,6700.0,15360.0,19400.0,316800.0,2.6005830903790086,2.292537313432836,2.8955223880597014,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,True,1024,13312,27648,4096,3072,16777216,5,5,8f95e55d7b67dbfd2eccf7ef34cf073b
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-1-eff7cf0ccbc6,1424053974641043770,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,,xor_dom,13,33,61,17,4900.0,200.0,4,17,16,3,30,32,31,31700.0,37400.0,25100.0,805,473000.0,468000.01291558146,36800.047382712364,72300.05576275289,90199.90102387965,63599.98951666057,24500.0,40400.0,ok,11360.0,35880.0,6360.0,15820.0,19200.0,447000.0,3.158450704225352,2.4874213836477987,3.018867924528302,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,True,1024,13312,62464,5120,3072,16777216,5,5,eff7cf0ccbc63d6a62f81dd8dfc54fdd
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-2-dc1141c5a731,6107769996622208047,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,,xor_dom,13,45,113,30,9600.0,300.0,17,40,34,9,61,79,65,51800.0,55000.0,32900.0,1094,755800.0,749800.0049963593,59699.87250864506,115999.92285482585,143799.9599147588,114699.94205981493,48000.0,77200.0,ok,28900.0,67980.0,14660.0,31560.0,28700.0,691400.0,2.3522491349480967,2.1527967257844476,1.9577080491132333,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,True,1024,13312,115712,5120,9216,16777216,5,5,dc1141c5a731d0b0c7dce3d6eccbec89
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-1-e717aa4b182d,8870036969255502751,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,,andor_dom,13,32,38,27,7300.0,200.0,14,22,20,4,19,22,20,40800.0,39400.0,25600.0,769,397000.0,391300.0109605491,28400.070732459426,31800.009310245514,83200.0223454088,52000.017603859305,42000.0,27000.0,ok,8820.0,25120.0,9760.0,22280.0,22400.0,401600.0,2.8480725623582765,2.2827868852459017,2.2950819672131146,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,True,1024,13312,38912,4096,4096,16777216,5,5,e717aa4b182d81fb7f014621e488dfa4
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-2-2b02c2ce353d,3509592225480496666,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,,andor_dom,13,31,33,27,6900.0,200.0,14,21,17,4,18,22,18,38000.0,35200.0,23800.0,723,340100.0,334799.9881953001,23299.973690882325,28800.01557059586,76700.00195503235,37700.083339586854,39000.0,23300.0,ok,8640.0,21300.0,9260.0,19400.0,22400.0,348900.0,2.4652777777777777,2.0950323974082075,2.4190064794816415,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,True,1024,13312,33792,5120,4096,16777216,5,5,2b02c2ce353d6de4fd4c42b31fc40c0d
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-1-edd8877715e2,1596869751077217417,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,,andor_dom,13,41,66,30,8500.0,200.0,17,31,28,7,35,40,35,48500.0,48000.0,32000.0,992,561500.0,555000.0059884042,47300.01091957092,55599.986808374524,114299.90991018713,82799.90288428962,44900.0,65700.0,ok,13760.0,38560.0,11380.0,28140.0,24700.0,543500.0,2.802325581395349,2.4727592267135323,2.170474516695958,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,True,1024,13312,67584,4096,7168,16777216,5,5,edd8877715e24daa4abd7dda0f05fdfd
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-2-9afc69d8f8fe,3454281855025251075,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,,andor_dom,13,44,67,30,9000.0,300.0,17,36,32,7,34,40,36,50600.0,56300.0,34000.0,1073,587800.0,580799.9987155199,48699.905164539814,53600.0297870487,120600.01608915627,86499.96016174555,47900.0,43700.0,ok,13920.0,39920.0,13540.0,31480.0,25700.0,566700.0,2.867816091954023,2.324963072378139,1.89807976366322,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,True,1024,13312,68608,5120,7168,16777216,5,5,9afc69d8f8fe0a445bc160e2d2c7a066
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-1-77031942351a,3914099624317553999,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,,impeqv_dom,13,30,33,28,7300.0,200.0,15,38,26,4,17,39,27,37000.0,41500.0,23800.0,715,295400.0,290299.9985963106,8799.95059221983,21700.019715353847,75500.10923296213,39799.95381087065,43300.0,24100.0,ok,16020.0,24700.0,16100.0,23380.0,29300.0,364200.0,1.5418227215980025,1.4521739130434783,1.8198757763975155,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,True,1024,13312,33792,6144,4096,16777216,5,5,77031942351ab96188ccc50b84682d78
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-2-56d7f366df96,3816016164161023029,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,,impeqv_dom,13,29,32,28,6700.0,200.0,15,41,28,4,16,41,28,35200.0,35800.0,22500.0,696,289200.0,284400.01187846065,5699.985194951296,23400.032659992576,71000.13317540288,40899.962186813354,41000.0,23500.0,ok,16980.0,24720.0,17140.0,24140.0,29400.0,322300.0,1.4558303886925794,1.4084014002333722,1.7152858809801634,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,True,1024,13312,32768,4096,4096,16777216,5,5,56d7f366df963c8ab9dbafffce31d8e9
