arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,48,0,4,1.5769528059057645,1.2606414877208973,1.972630740996706,1.5326199041108626,2.5058693715581475,3.158450704225352,14,0.2916666666666667
raw,tuning,threshold_k7,7,False,48,0,4,1.5769528059057645,1.2606414877208973,1.972630740996706,1.5326199041108626,2.5058693715581475,3.158450704225352,14,0.2916666666666667
raw,tuning,threshold_k8,8,False,48,0,4,1.5769528059057645,1.2606414877208973,1.972630740996706,1.5326199041108626,2.5058693715581475,3.158450704225352,14,0.2916666666666667
raw,tuning,threshold_k9,9,False,48,0,4,1.5769528059057645,1.2606414877208973,1.972630740996706,1.5326199041108626,2.5058693715581475,3.158450704225352,14,0.2916666666666667
raw,tuning,threshold_k10,10,False,48,0,4,1.5769528059057645,1.2606414877208973,1.972630740996706,1.5326199041108626,2.5058693715581475,3.158450704225352,14,0.2916666666666667
raw,tuning,threshold_k11,11,False,48,0,4,1.5769528059057645,1.2606414877208973,1.972630740996706,1.5326199041108626,2.5058693715581475,3.158450704225352,14,0.2916666666666667
raw,tuning,threshold_k12,12,False,48,0,4,1.5769528059057645,1.2606414877208973,1.972630740996706,1.5326199041108626,2.5058693715581475,3.158450704225352,14,0.2916666666666667
raw,tuning,threshold_k13,13,False,48,0,4,1.5769528059057645,1.2606414877208973,1.972630740996706,1.5326199041108626,2.5058693715581475,3.158450704225352,14,0.2916666666666667
raw,tuning,threshold_k14,14,False,48,0,4,1.2239101391423273,1.0550012147776846,1.4198618994112229,1.0,1.7423827194429176,2.259512195121951,4,0.08333333333333333
raw,tuning,threshold_k15,15,False,48,0,4,1.0843909008498296,1.0139846890423234,1.1596857808144116,1.0,1.4656226019794492,2.070446735395189,1,0.020833333333333332
raw,tuning,threshold_k16,16,True,48,0,4,1.0407371474948357,1.0,1.1099328895468026,1.0,1.107665892707147,1.732695374800638,0,0.0
raw,held_out,threshold_k6,6,False,17,6,9,1.16134813399891,1.0596603784713907,1.2971206342479094,1.0639573617588274,1.49692242910236,1.7734138972809668,0,0.0
raw,held_out,threshold_k7,7,False,17,6,9,1.16134813399891,1.0620434452483325,1.296044063740903,1.0639573617588274,1.49692242910236,1.7734138972809668,0,0.0
raw,held_out,threshold_k8,8,False,17,6,9,1.16134813399891,1.062542649611567,1.294534716754156,1.0639573617588274,1.49692242910236,1.7734138972809668,0,0.0
raw,held_out,threshold_k9,9,False,17,6,9,1.16134813399891,1.0596286984984742,1.2904160939958529,1.0639573617588274,1.49692242910236,1.7734138972809668,0,0.0
raw,held_out,threshold_k10,10,False,17,6,9,1.16134813399891,1.0613547848486755,1.2910736034186319,1.0639573617588274,1.49692242910236,1.7734138972809668,0,0.0
raw,held_out,threshold_k11,11,False,17,6,9,1.16134813399891,1.0549100557536373,1.294033808249923,1.0639573617588274,1.49692242910236,1.7734138972809668,0,0.0
raw,held_out,threshold_k12,12,False,17,6,9,1.16134813399891,1.058259965647495,1.2926011250698657,1.0639573617588274,1.49692242910236,1.7734138972809668,0,0.0
raw,held_out,threshold_k13,13,False,17,6,9,1.16134813399891,1.0609589727052202,1.2882230787186504,1.0639573617588274,1.49692242910236,1.7734138972809668,0,0.0
raw,held_out,threshold_k14,14,False,17,6,9,1.0433140675837438,1.017505022344844,1.0657890952497928,1.0,1.186218809181911,1.2425092439117684,0,0.0
