corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_wrapper_ns_median,raw_current_ns_median,cm_wrapper_over_raw_current,cm_flat_ns_median,cm_words_ns_median,raw_flat_ns_median,raw_words_ns_median,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-xor_dom-tree-1-8b6c553e4c62,4,4,xor_dom,tree,flat,12381.0,1907.0,6.492396434189827,2066.0,2159.0,1731.0,1809.0,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,100,5
b2,b2-k4-xor_dom-tree-2-186a2a5c9bf0,4,4,xor_dom,tree,flat,11344.0,1345.0,8.434200743494424,1280.0,1340.0,1182.0,1258.0,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,True,100,5
b2,b2-k4-xor_dom-tree-3-128078f3da7b,4,4,xor_dom,tree,flat,13043.0,2118.0,6.158168083097261,2335.0,2396.0,2041.0,2108.0,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,True,100,5
b2,b2-k4-xor_dom-tree-4-9a5b24a5b691,4,4,xor_dom,tree,flat,12458.0,1756.0,7.094533029612756,1428.0,1473.0,1546.0,1611.0,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,True,100,5
b2,b2-k4-xor_dom-shared-1-b3e4cd19e589,4,4,xor_dom,shared,flat,12609.0,3541.0,3.560858514543914,1845.0,1934.0,3396.0,3472.0,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,True,100,5
b2,b2-k4-xor_dom-shared-2-d4c0909c8173,4,4,xor_dom,shared,flat,13766.0,5022.0,2.7411389884508166,2702.0,2706.0,4881.0,4915.0,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,True,100,5
b2,b2-k4-xor_dom-shared-3-88f8242fa307,4,4,xor_dom,shared,flat,13141.0,4409.0,2.9804944431843956,1885.0,1967.0,4208.0,4354.0,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,True,100,5
b2,b2-k4-xor_dom-shared-4-28c644b1084a,4,4,xor_dom,shared,flat,13220.0,4156.0,3.180943214629451,2365.0,2475.0,3960.0,4059.0,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,True,100,5
b2,b2-k4-andor_dom-tree-1-ea13a53017b8,4,4,andor_dom,tree,flat,12469.0,1545.0,8.070550161812298,1415.0,1490.0,1366.0,1440.0,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,True,100,5
b2,b2-k4-andor_dom-tree-2-e674d60a6337,4,4,andor_dom,tree,flat,14018.0,1714.0,8.17852975495916,1919.0,1997.0,1531.0,1610.0,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,True,100,5
b2,b2-k4-andor_dom-tree-3-269b85d31c4b,4,4,andor_dom,tree,flat,12740.0,1491.0,8.544600938967136,1524.0,1615.0,1314.0,1397.0,5eace7caa8a101d3105c0c338da64e3d62dd7d90b1e4f9a2846f43f9e99ab977,True,100,5
b2,b2-k4-andor_dom-tree-4-d96f9fff14ea,4,4,andor_dom,tree,flat,12762.0,1744.0,7.317660550458716,1998.0,2088.0,1546.0,1616.0,830dcc860e2f53775bdab51b1b2ff210ce23f6366ac76fba9168f62702456c31,True,100,5
b2,b2-k4-andor_dom-shared-1-17ce9f3e12c6,4,4,andor_dom,shared,flat,13979.0,4008.0,3.4877744510978044,2674.0,2767.0,3895.0,3934.0,48b576dfc3447c7a0e6b513608937a23d02e6330c5ed01b0fc4ca98b2bca1feb,True,100,5
b2,b2-k4-andor_dom-shared-2-f7cba4ce652b,4,4,andor_dom,shared,flat,13523.0,3025.0,4.470413223140496,2406.0,2508.0,2822.0,2914.0,085edad400785fca7e7e90b1fac4beb776fc2beee5aa24352d5f39b5d57efcad,True,100,5
b2,b2-k4-andor_dom-shared-3-44c5bbe1b3b1,4,4,andor_dom,shared,flat,12904.0,4326.0,2.9828941285251966,2301.0,2375.0,4109.0,4231.0,8509b81230019d2ad970d970f791dfbdc8caf54f5c594fcd327cef9feed206c1,True,100,5
b2,b2-k4-andor_dom-shared-4-f79caff75ff2,4,4,andor_dom,shared,flat,13093.0,3264.0,4.011335784313726,2052.0,2139.0,3110.0,3193.0,474f2af47544e9c7ce4338cabd43c5ca1c26432b7300ce387406157ea433891f,True,100,5
b2,b2-k4-impeqv_dom-tree-1-d73fd085a946,4,4,impeqv_dom,tree,flat,12599.0,1733.0,7.2700519330640505,1598.0,1663.0,1576.0,1660.0,fac7a6ffd3e55613018acf3b37a17e37f496208ce155acaa10324695365069e4,True,100,5
b2,b2-k4-impeqv_dom-tree-2-cf78873f00c4,4,4,impeqv_dom,tree,flat,12222.0,1902.0,6.425867507886435,1754.0,1845.0,1753.0,1824.0,f3569af837bfacd4b4b6d0e65c49197d37f1adb3bea6b311aed40bf0e7c19204,True,100,5
b2,b2-k4-impeqv_dom-tree-3-0dc01f652163,4,4,impeqv_dom,tree,flat,11979.0,1974.0,6.0683890577507595,1536.0,1619.0,1815.0,1886.0,c06b3cef20609e99f07633eef2aced3698988d513f39c51d4537da1357179f21,True,100,5
b2,b2-k4-impeqv_dom-tree-4-0bc2267938a0,4,4,impeqv_dom,tree,flat,12087.0,1729.0,6.990746096009254,1581.0,1647.0,1553.0,1636.0,15b73ef77d3f7b4473e5e2ce1c8843189467ce6fd6df11d9065c5eb3c0ff877a,True,100,5
b2,b2-k4-impeqv_dom-shared-1-093bd06ebf38,4,4,impeqv_dom,shared,flat,14647.0,7461.0,1.963141670017424,3356.0,3467.0,6841.0,7083.0,6bad351a721281983a6e1f281d7336daf4112fd879642799cf6db6b2c12452a7,True,100,5
b2,b2-k4-impeqv_dom-shared-2-85e742aeb5d6,4,4,impeqv_dom,shared,flat,14870.0,5280.0,2.816287878787879,3250.0,3380.0,4925.0,4938.0,29e6cfa2a6ac59fbab9d5c4d6d564f4255760cf51fd7457a3e7fe343d48ef318,True,100,5
