corpus,live_k,ambient_n,current_engine,n,ratio_geomean,ratio_median,ratio_min,ratio_max
b2,4,4,flat,32,4.61674338628229,5.176891755694417,1.8860513739545997,8.544600938967136
b2,6,6,flat,32,3.6889892181618897,4.085645531396645,1.3385884318229275,7.41657010428737
b2,8,8,flat,32,3.4363268200107915,3.4193282977422452,1.6272011989509179,6.263888888888889
b2,10,10,flat,32,2.9401215694772795,2.9929470154937454,1.2804409125865164,5.104748603351955
b2,12,12,flat,32,1.903382881809481,1.9920853126652478,0.7356578751303829,3.952418096723869
b2,16,16,words,32,1.0621191300340873,1.172612588857635,0.5214173037252761,2.178623718887262
b4,8,16,flat,8,3.4358688941818785,3.5144038396355404,1.4579633629309656,6.456542056074766
b4,8,20,flat,8,3.4496722000131075,3.4836801998035156,1.4768401015228427,6.508196721311475
b4,8,24,flat,8,3.4548402216177423,3.59666759096537,1.4596238041186962,6.587048334115439
b4,12,16,flat,8,2.2546500378038026,2.3557940349112707,1.1185595567867035,4.003228410008071
b4,12,20,flat,8,2.2542491550811,2.3281313577938336,1.1081267217630855,3.992006394884093
b4,12,24,flat,8,2.2905838272866217,2.3464421581304697,1.111266034578918,4.348497156783103
b4,16,16,words,8,1.0864838516440674,1.0975484643782085,0.8224066390041493,1.4585547290116896
b4,16,20,words,8,1.0747996116977596,1.1339562372411782,0.7879774948178857,1.5062738679759957
b4,16,24,words,8,1.0902601794156759,1.1126378262771213,0.7960438829787234,1.3715817694369974
