corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
abc_i10,validation_heldout,abc-i10-po66-k8-0d9d74da56,,175197e5ea6387d21d673cd57114f8dad7bcb6affe7a062e04e0ad5706078772,175197e5ea6387d21d673cd57114f8dad7bcb6affe7a062e04e0ad5706078772,b551b0932703d7d3c5e3b3cd0fc742b484d0f5d8332b1bf3dd7567679d1559d7,i10.aig,8,26,42,23,8800.0,400.0,15,28,18,6,28,43,28,33700.0,26900.0,19900.0,591,365700.0,357399.9856598675,22499.938495457172,27300.033252686262,107000.17446652055,34300.02834647894,45200.0,42000.0,ok,5860.0,25605.0,4614.0,15839.0,19900.0,340100.0,4.3694539249146755,3.432813177286519,4.312960554833117,175197e5ea6387d21d673cd57114f8dad7bcb6affe7a062e04e0ad5706078772,semantic_live_support,True,32,256,1344,160,192,16777216,100,9,0d9d74da5698155c6999fd2040a94ebb
abc_i10,validation_heldout,abc-i10-po212-k8-bfa1afb1ba,,7e4602a099e33e1451cbb0f2bd20f057e4db016a629c54c15b6eee367973b906,7e4602a099e33e1451cbb0f2bd20f057e4db016a629c54c15b6eee367973b906,b551b0932703d7d3c5e3b3cd0fc742b484d0f5d8332b1bf3dd7567679d1559d7,i10.aig,8,22,36,17,4900.0,200.0,9,19,14,4,20,25,20,33800.0,31300.0,19400.0,518,316100.0,310199.97550174594,22300.169803202152,23099.943064153194,73900.03884211183,37299.992982298136,25200.0,27400.0,ok,4123.0,21345.0,3325.0,12851.0,19900.0,261400.0,5.177055542081009,3.8649624060150374,5.984962406015038,7e4602a099e33e1451cbb0f2bd20f057e4db016a629c54c15b6eee367973b906,semantic_live_support,True,32,256,1152,96,128,16777216,100,9,bfa1afb1baadb7f0f9eb2324e85e1f1c
abc_i10,validation_heldout,abc-i10-internal12-k8-c29502fca0,,a0fc0a816ab024c9ded26d9a474b53c66635376400fb3ab117bab262321a1308,a0fc0a816ab024c9ded26d9a474b53c66635376400fb3ab117bab262321a1308,b551b0932703d7d3c5e3b3cd0fc742b484d0f5d8332b1bf3dd7567679d1559d7,i10.aig,8,18,18,12,2700.0,200.0,4,13,10,4,10,13,10,18200.0,17700.0,14400.0,424,200500.0,197099.9874174595,14599.994756281376,20999.927073717117,49800.02995580435,19600.149244070053,16000.0,13500.0,ok,2465.0,10477.0,2183.0,8461.0,14300.0,218600.0,4.250304259634889,3.875858909757215,6.550618415025195,a0fc0a816ab024c9ded26d9a474b53c66635376400fb3ab117bab262321a1308,semantic_live_support,True,32,256,576,128,128,16777216,100,9,c29502fca0447d36c43995870f1c2b3b
abc_i10,validation_heldout,abc-i10-internal139-k8-969b9349a0,,49eb9a3116b34cb653137baf5b9642e8a74be09bcf794fa44bcc478fd6c85b63,49eb9a3116b34cb653137baf5b9642e8a74be09bcf794fa44bcc478fd6c85b63,b551b0932703d7d3c5e3b3cd0fc742b484d0f5d8332b1bf3dd7567679d1559d7,i10.aig,8,30,52,23,5700.0,200.0,14,31,21,8,34,51,34,30000.0,29500.0,19700.0,691,322900.0,318100.03565624356,21299.98756572604,31800.067517906427,79999.85245987773,37700.0542357564,31000.0,31400.0,ok,6737.0,29022.0,4475.0,16821.0,17100.0,331400.0,4.307852159715007,3.7588826815642458,3.82122905027933,e4b1aabed1e288e1e81974cb98e764b9f2901fd32302fb8579b27e6fe8f1a839,semantic_live_support,True,32,256,1664,160,256,16777216,100,9,969b9349a00033ec14030944e92bb5e5
abc_i10,validation_heldout,abc-i10-internal214-k8-61590ff688,,719234d56155f43d08432afe58d233f48673eceb45f0a5c1a5b432b622b8e533,719234d56155f43d08432afe58d233f48673eceb45f0a5c1a5b432b622b8e533,b551b0932703d7d3c5e3b3cd0fc742b484d0f5d8332b1bf3dd7567679d1559d7,i10.aig,8,49,307,46,10600.0,200.0,38,60,39,11,209,321,209,60000.0,50600.0,30600.0,1129,522200.0,515299.9656274915,34700.147807598114,42499.85795468092,132100.01634433866,64100.080635398626,65800.0,189800.0,ok,37130.0,175227.0,8548.0,30820.0,18500.0,497800.0,4.719283598168597,3.605521759475901,2.164248947122134,719234d56155f43d08432afe58d233f48673eceb45f0a5c1a5b432b622b8e533,semantic_live_support,True,32,256,9824,256,352,16777216,100,9,61590ff688a319913a397a736020aa68
abc_i10,validation_heldout,abc-i10-internal291-k8-2fe8854228,,fa124e94a409900df5f6b75d67c0b1aedbbe9677e4df5e2648b2ab5cd1d612eb,fa124e94a409900df5f6b75d67c0b1aedbbe9677e4df5e2648b2ab5cd1d612eb,b551b0932703d7d3c5e3b3cd0fc742b484d0f5d8332b1bf3dd7567679d1559d7,i10.aig,8,145,7399,142,32300.0,200.0,134,206,137,16,5037,7713,5037,183300.0,161000.0,81800.0,3433,1733300.0,1725799.9861612916,115699.9496743083,126600.14908760786,428599.94573518634,196100.03801062703,193100.0,5373700.0,ok,856333.0,4048492.0,28358.0,107035.0,39200.0,1520500.0,4.7277075623618385,3.774419916778334,1.3823259750335002,fa124e94a409900df5f6b75d67c0b1aedbbe9677e4df5e2648b2ab5cd1d612eb,semantic_live_support,True,32,256,236768,416,512,16777216,100,9,2fe8854228fba7ffcbdfeedda0e00e5c
abc_i10,validation_heldout,abc-i10-internal304-k8-d5e3ce83f6,,be332b91c126a17ed947bbddd3cd3ef98ac36ef9a479098e44d4162625e977a3,be332b91c126a17ed947bbddd3cd3ef98ac36ef9a479098e44d4162625e977a3,b551b0932703d7d3c5e3b3cd0fc742b484d0f5d8332b1bf3dd7567679d1559d7,i10.aig,8,170,19403,165,39800.0,300.0,157,244,162,22,13243,20327,13243,219300.0,179100.0,98100.0,4044,1734300.0,1716599.9743156135,121299.81769248843,142799.5739504695,435899.7102826834,226600.27025267482,213000.0,12894800.0,ok,2173801.0,10923264.0,34882.0,133117.0,45400.0,1767900.0,5.02496042646038,3.8162089329740265,1.3015308755231925,be332b91c126a17ed947bbddd3cd3ef98ac36ef9a479098e44d4162625e977a3,semantic_live_support,True,32,256,620896,480,704,16777216,100,9,d5e3ce83f68edeea8a25f6f819e0d3f5
abc_i10,validation_heldout,abc-i10-internal318-k8-21c8dd5eb2,,ea3e0b4dcd64cd3d887d7960cb30c04e1d45a5ad72269d514b3fc91267449152,ea3e0b4dcd64cd3d887d7960cb30c04e1d45a5ad72269d514b3fc91267449152,b551b0932703d7d3c5e3b3cd0fc742b484d0f5d8332b1bf3dd7567679d1559d7,i10.aig,8,107,9518,107,26200.0,300.0,99,152,99,16,6548,10127,6548,157900.0,120100.0,68700.0,2475,1123400.0,1111100.020352751,74400.33368766308,89000.21202862263,291099.8882725835,139800.0167682767,158900.0,6810900.0,ok,1092417.0,5163550.0,20483.0,75056.0,36300.0,1144800.0,4.726720657038475,3.6643069862813062,1.7722013376946737,ea3e0b4dcd64cd3d887d7960cb30c04e1d45a5ad72269d514b3fc91267449152,semantic_live_support,True,32,256,304576,416,512,16777216,100,9,21c8dd5eb24009bc31b61b34f86b7c15
abc_i10,validation_heldout,abc-i10-internal365-k8-9cefa0882b,,bface8fa33eca62a5c192ed37b882f9302fcf22852f3986399d36682fdb3af1e,bface8fa33eca62a5c192ed37b882f9302fcf22852f3986399d36682fdb3af1e,b551b0932703d7d3c5e3b3cd0fc742b484d0f5d8332b1bf3dd7567679d1559d7,i10.aig,8,139,4848,134,31300.0,300.0,126,196,131,17,3308,5077,3308,179000.0,168800.0,84300.0,3287,1514300.0,1498500.001616776,111300.0325858593,127400.09697154164,392400.19395947456,183300.11516809464,205100.0,3170800.0,ok,545951.0,2576896.0,26775.0,101685.0,38400.0,1519500.0,4.720013334530022,3.7977591036414564,1.4341736694677871,bface8fa33eca62a5c192ed37b882f9302fcf22852f3986399d36682fdb3af1e,semantic_live_support,True,32,256,155136,416,544,16777216,100,9,9cefa0882b85f38c869f467fc36dc462
abc_i10,validation_heldout,abc-i10-internal378-k8-87d45c212a,,dc00a878abd1c256d2e5950e0eb5a5c8b3b388b6a25cc31446929d028f73b3c2,dc00a878abd1c256d2e5950e0eb5a5c8b3b388b6a25cc31446929d028f73b3c2,b551b0932703d7d3c5e3b3cd0fc742b484d0f5d8332b1bf3dd7567679d1559d7,i10.aig,8,234,145409,225,51300.0,300.0,217,338,226,20,,,,309300.0,294700.0,132800.0,5644,2592000.0,2563599.9627411366,188499.9219328165,219799.92743581533,653099.9671667814,352300.35427957773,314600.0,,skipped_source_protocol,,,46288.0,170986.0,64800.0,2583000.0,,3.6939595575527133,1.399930867611476,dc00a878abd1c256d2e5950e0eb5a5c8b3b388b6a25cc31446929d028f73b3c2,semantic_live_support,True,32,256,,,640,16777216,100,9,87d45c212a2ac0ff371de25b27312760
abc_i10,validation_heldout,abc-i10-internal408-k8-242b07f39c,,f1d43c286ff78058859dbf2b2b8aed34bd2237aa04442358412afc979a578f1c,f1d43c286ff78058859dbf2b2b8aed34bd2237aa04442358412afc979a578f1c,b551b0932703d7d3c5e3b3cd0fc742b484d0f5d8332b1bf3dd7567679d1559d7,i10.aig,8,127,24019,123,28800.0,300.0,115,176,115,18,16523,25551,16523,170100.0,146800.0,76400.0,2981,1440400.0,1426699.9787651002,102599.90813210607,119000.14942511916,352800.2416715026,190099.70128536224,165100.0,15839400.0,ok,2993764.0,14826419.0,23605.0,88874.0,36400.0,1328900.0,4.952434126404086,3.7650497775894936,1.5420461766574878,f1d43c286ff78058859dbf2b2b8aed34bd2237aa04442358412afc979a578f1c,semantic_live_support,True,32,256,768608,448,576,16777216,100,9,242b07f39c46e69334e005c10991f755
