schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8764056037557184,0.9209979695304655,0.8540950212225035,0.897697594274147,stratified_by_cell,0.16728573791442894,63,64
blocked,live_k=8/family=xor_dom,16,0.7466263287873811,0.7849139561195796,0.6636132361767756,0.821155928692059,formula,0.21765911414733233,15,16
blocked,live_k=8/family=andor_dom,16,0.9041130522833615,0.9207746756886298,0.8640488086223997,0.9389776066878417,formula,0.08697309826626176,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9838609210210112,0.9957979318280115,0.9503574114155949,1.0094236589461039,formula,0.06408084600325918,15,16
blocked,live_k=8/family=mixed,16,0.8883023943741636,0.9041154607945062,0.8322314583244205,0.9382300424124309,formula,0.12488656377525494,15,16
blocked,live_k=8/shape=tree,32,0.9414184404206684,0.970424100036943,0.9116111261395089,0.9670458246132342,formula,0.0836353877795579,31,32
blocked,live_k=8/shape=shared,32,0.8158824485647523,0.8550601385533986,0.7583467610789826,0.8692400152892784,formula,0.19825544267119985,31,32
blocked,live_k=12,64,0.8613722254707156,0.888651550610206,0.8428331737951987,0.879159672485845,stratified_by_cell,0.14247012123952302,63,64
blocked,live_k=12/family=xor_dom,16,0.7531693908014561,0.7727047622451139,0.7130006133579008,0.7947366641492815,formula,0.11701345354062576,15,16
blocked,live_k=12/family=andor_dom,16,0.8656832235877517,0.8638297734809495,0.834977220137009,0.8996308186640569,formula,0.08114545557301936,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9539644123787302,0.9603539415203982,0.9248843773572996,0.9824509829637036,formula,0.06407704758878349,15,16
blocked,live_k=12/family=mixed,16,0.885074074256065,0.9269977316693365,0.8105007799125953,0.952135815169401,formula,0.17238127668452197,15,16
blocked,live_k=12/shape=tree,32,0.9128986613189749,0.9506495669567478,0.8801059249973429,0.9443706358153401,formula,0.10557626555993194,31,32
blocked,live_k=12/shape=shared,32,0.8127540791223978,0.8116891108661977,0.7712117446661978,0.8538645757488984,formula,0.1521030278598307,31,32
blocked,live_k=16,64,0.8991146652582038,0.9124314666382429,0.8884692326460594,0.9097241914655291,stratified_by_cell,0.09687050605695842,63,64
blocked,live_k=16/family=xor_dom,16,0.8044489999002213,0.8124523272420359,0.7710230829228336,0.8364432574087818,formula,0.0857017142411617,15,16
blocked,live_k=16/family=andor_dom,16,0.8877683777259963,0.900265859837308,0.8623824697818451,0.9131062391212468,formula,0.0610789762701607,15,16
blocked,live_k=16/family=impeqv_dom,16,0.9819005640637833,0.9937726542643066,0.9597134424352352,0.9985551733499919,formula,0.04264213146790575,15,16
blocked,live_k=16/family=mixed,16,0.9319543259584595,0.9386382267667915,0.9053589828989966,0.9583346055569603,formula,0.05912946909883589,15,16
blocked,live_k=16/shape=tree,32,0.9320930107817463,0.9522934295666313,0.9065825623239245,0.9552379729400523,formula,0.07618089721279878,31,32
blocked,live_k=16/shape=shared,32,0.8673031252582412,0.8676118979260272,0.8384724078680882,0.8968629900839016,formula,0.10289838727560763,31,32
blocked,family=xor_dom/shape=tree,24,0.8264156382194922,0.8255119074684459,0.8007331522328748,0.8539033232258929,formula,0.08370298384464707,23,24
blocked,family=xor_dom/shape=shared,24,0.7130682928556563,0.7418306617475763,0.6638087029279168,0.7582785660541275,formula,0.1690273654402745,23,24
blocked,family=andor_dom/shape=tree,24,0.9326249919101051,0.9342284428984124,0.9156102446749842,0.949398799068908,formula,0.04660027937765952,23,24
blocked,family=andor_dom/shape=shared,24,0.8411637695023808,0.8473228970247063,0.8196230479759141,0.8631012864380052,formula,0.06776685884033738,23,24
blocked,family=impeqv_dom/shape=tree,24,0.9868743808430591,0.9963810673319071,0.9729764239724221,0.9987375055554069,formula,0.03339121368373499,23,24
blocked,family=impeqv_dom/shape=shared,24,0.9596076931850641,0.9879226959873552,0.931123522082653,0.9867629696282372,formula,0.07370240245576234,23,24
blocked,family=mixed/shape=tree,24,0.9781044753974683,0.9949739891059621,0.9609566991506827,0.9935640096427254,formula,0.0422432880523629,23,24
blocked,family=mixed/shape=shared,24,0.8309434608739713,0.8863281424296056,0.7874828908236191,0.8718515364344559,formula,0.13164338730305158,23,24
blocked,all,192,0.8788276189961666,0.9066426029112955,0.8678547619297725,0.88894790011721,stratified_by_cell,0.1390421099944227,191,192
round_robin,live_k=8,64,0.8817266368786958,0.9186767244699099,0.8592559538368141,0.9036714947339078,stratified_by_cell,0.16376898827333955,63,64
round_robin,live_k=8/family=xor_dom,16,0.7642377747458154,0.8078383380003483,0.6829477879999332,0.8378046072793062,formula,0.20858546346169254,15,16
round_robin,live_k=8/family=andor_dom,16,0.9004709515982505,0.9199587114875977,0.858221470447412,0.9393835448618832,formula,0.09316143740503995,15,16
round_robin,live_k=8/family=impeqv_dom,16,0.9783977495038648,1.0060761543375318,0.9352211848100538,1.0093039572688893,formula,0.08413089587635329,15,16
round_robin,live_k=8/family=mixed,16,0.8976813267927013,0.9186767244699099,0.8342487863073776,0.953620535212731,formula,0.13859044482895685,15,16
round_robin,live_k=8/shape=tree,32,0.9544417104803792,0.9750044080022532,0.9271722958843246,0.9787896890298199,formula,0.0780133498382697,31,32
round_robin,live_k=8/shape=shared,32,0.81455143215621,0.8731950501187389,0.7618261361475931,0.8662035169433513,formula,0.1882953199625025,31,32
round_robin,live_k=12,64,0.8804058554895646,0.9020368251485112,0.8635141480849134,0.8973081565901917,stratified_by_cell,0.13184565222657207,63,64
round_robin,live_k=12/family=xor_dom,16,0.7777579117901002,0.7704940587352362,0.7417803802588956,0.8170909850656047,formula,0.10528073153437477,15,16
round_robin,live_k=12/family=andor_dom,16,0.880242221588376,0.8903906121319477,0.8494693472093013,0.9132395559998833,formula,0.07781976726225903,15,16
round_robin,live_k=12/family=impeqv_dom,16,0.9737336098847841,1.000156387276993,0.9420613738436318,1.000702644128156,formula,0.06364922386246633,15,16
round_robin,live_k=12/family=mixed,16,0.9012492058261267,0.9545806407164327,0.8320901495455036,0.9626083346075207,formula,0.15496365256489955,15,16
round_robin,live_k=12/shape=tree,32,0.9325246735507811,0.977331111721648,0.9007424196617173,0.9629786992600486,formula,0.0980487774221221,31,32
round_robin,live_k=12/shape=shared,32,0.8311999589554055,0.8337320635268451,0.7930702725017265,0.8697106892131375,formula,0.1374224851670591,31,32
round_robin,live_k=16,64,0.9206559818869987,0.9300901222638579,0.9087926263970718,0.9326537820445561,stratified_by_cell,0.10310518659339422,63,64
round_robin,live_k=16/family=xor_dom,16,0.8182780480561211,0.81847377292598,0.7826707262346232,0.8522930173869637,formula,0.08941729458488935,15,16
round_robin,live_k=16/family=andor_dom,16,0.9110779305384523,0.910852930551416,0.8819051118183869,0.9446266128289242,formula,0.07152219355801073,15,16
round_robin,live_k=16/family=impeqv_dom,16,1.0066506827437645,1.010983764127855,0.9814832971208178,1.0237822202906544,formula,0.047360828839591355,15,16
round_robin,live_k=16/family=mixed,16,0.9573137518151503,0.9488927989894556,0.9274858605862654,0.9877265043160074,formula,0.06498733075260686,15,16
round_robin,live_k=16/shape=tree,32,0.9572458642869196,0.9947959508001625,0.9272551156937855,0.9842144003558226,formula,0.08778221444261353,31,32
round_robin,live_k=16/shape=shared,32,0.8854647156044088,0.8909693717401752,0.8553993484819719,0.914930375097632,formula,0.10374319599847692,31,32
round_robin,family=xor_dom/shape=tree,24,0.8416085422943614,0.826645660584219,0.8171247311425508,0.8692331695733236,formula,0.07945088086370769,23,24
round_robin,family=xor_dom/shape=shared,24,0.7348619440538741,0.7590806327782208,0.6853562969219118,0.7798093361926604,formula,0.1632767342904433,23,24
round_robin,family=andor_dom/shape=tree,24,0.9509756799024032,0.953035142115658,0.9347013330994669,0.9681383035763527,formula,0.04536308656634189,23,24
round_robin,family=andor_dom/shape=shared,24,0.8464127749585156,0.8522068120461284,0.8247651284057858,0.8674824691841512,formula,0.0650815080061277,23,24
round_robin,family=impeqv_dom/shape=tree,24,1.0086662424301092,1.0121012158487614,0.995113693112065,1.0192787401740289,formula,0.03096981316940992,23,24
round_robin,family=impeqv_dom/shape=shared,24,0.9641444650902835,0.9990924840859774,0.9303532935251231,0.9932146591116415,formula,0.08454698239310615,23,24
round_robin,family=mixed/shape=tree,24,1.0005004518945164,1.0081404323208583,0.9877390891523345,1.0118360851728176,formula,0.030746812247104127,23,24
round_robin,family=mixed/shape=shared,24,0.8429405898725549,0.9020368251485112,0.8002835127823232,0.8838239795573491,formula,0.12838883591186373,23,24
round_robin,all,192,0.8940697905273598,0.9189324679267973,0.8833172722780614,0.9039524908359264,stratified_by_cell,0.13608317681686327,191,192
