corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-xor_dom-tree-1-8b6c553e4c62,4,4,xor_dom,tree,flat,6,6,6,9,9,9,7,7,7,4589.785,32644.160000000003,5024.735000000001,3681.62,0.9134382211201186,6.496692860419505,1.2466753766005183,8.866792335982531,1.3648163036923964,4345.415,4488.03,4934.055,4890.879999999999,3364.995,3533.8,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,100,24
b2,b2-k4-xor_dom-tree-2-186a2a5c9bf0,4,4,xor_dom,tree,flat,2,2,3,3,3,3,3,3,3,3044.7200000000003,30065.585,3446.92,2789.7799999999997,0.8833161198983441,8.722449317071472,1.0913835499573445,10.777045143344637,1.2355526242212649,2814.7200000000003,2982.825,3424.74,3393.34,2493.99,2678.37,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,True,100,24
b2,b2-k4-xor_dom-tree-3-128078f3da7b,4,4,xor_dom,tree,flat,7,7,8,11,11,11,8,8,8,4891.735,32053.925000000003,5318.575,4108.965,0.9197454205308753,6.02678819044575,1.1905029612079927,7.800972994415869,1.2943831354124455,4615.62,4808.715,5243.764999999999,5185.125,3798.1000000000004,3985.68,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,True,100,24
b2,b2-k4-xor_dom-tree-4-9a5b24a5b691,4,4,xor_dom,tree,flat,2,2,5,3,5,5,3,5,5,3077.2650000000003,30129.085,3599.7,3271.71,0.8548670722560214,8.369887768425146,0.9405677764838571,9.208971760944582,1.1002503278102276,2838.51,3005.06,3588.33,3562.145,2974.41,3159.985,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,True,100,24
b2,b2-k4-xor_dom-shared-1-b3e4cd19e589,4,4,xor_dom,shared,flat,4,5,17,7,12,19,6,11,18,3867.3,30870.695,5102.25,6401.795,0.7579597236513304,6.050408153265716,0.604096194895338,4.822193619133383,0.7970030280569746,3640.665,3794.1400000000003,5064.799999999999,5044.515,6079.52,6267.2,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,True,100,24
b2,b2-k4-xor_dom-shared-2-d4c0909c8173,4,4,xor_dom,shared,flat,7,8,27,14,18,29,12,16,27,5428.24,33037.6,6482.875,8764.345,0.8373198619439677,5.096134045465939,0.6193548975993072,3.769545813178281,0.7396873354483422,5263.195,5463.495000000001,6563.345,6529.145,8685.369999999999,8792.485,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,True,100,24
b2,b2-k4-xor_dom-shared-3-88f8242fa307,4,4,xor_dom,shared,flat,4,6,23,8,17,24,7,16,23,4106.36,32654.125,6045.62,7849.525,0.6792289293736622,5.401286385846282,0.5231348393692612,4.160012867020616,0.7701892789691096,3842.465,4009.1099999999997,5951.225,5935.4,7444.264999999999,7722.23,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,True,100,24
b2,b2-k4-xor_dom-shared-4-28c644b1084a,4,4,xor_dom,shared,flat,6,8,21,9,16,23,8,15,22,5088.025,34104.645000000004,6959.835,7715.07,0.7310554057675217,4.900208841157873,0.6594917479685861,4.420523080153519,0.9021091189062446,4814.725,5030.945,7048.42,6988.68,7402.3,7566.45,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,True,100,24
b2,b2-k4-andor_dom-tree-1-ea13a53017b8,4,4,andor_dom,tree,flat,2,2,3,5,5,5,4,4,4,3121.835,32467.09,3519.7749999999996,3008.015,0.8869416368944039,9.224194728356217,1.0378389070533225,10.79352662802546,1.170132130325148,2724.535,2892.24,3366.8500000000004,3329.1949999999997,2604.005,2779.92,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,True,100,24
b2,b2-k4-andor_dom-tree-2-e674d60a6337,4,4,andor_dom,tree,flat,5,5,5,6,6,6,5,5,5,4215.975,32539.504999999997,4710.865,3283.38,0.8949471063169928,6.907331243837384,1.284035049248031,9.910368279029536,1.4347608257344564,4218.88,4434.549999999999,4949.47,4899.745,3172.01,3380.575,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,True,100,24
