scope,corpus,live_k,metric,row_count,formula_cluster_count,row_weighted_geomean,paired_formula_cluster_geomean,paired_formula_cluster_bootstrap_ci95_low,paired_formula_cluster_bootstrap_ci95_high,bootstrap_repetitions
overall,all,all,cm_current_over_cse_flat_current,264,216,0.9143620784152485,0.908024179336752,0.8955310135469238,0.9195099465573897,10000
overall,all,all,cm_wrapper_over_cse_flat_current,264,216,3.701993611716076,3.8782188827774875,3.577988854809213,4.184310641772833,10000
overall,all,all,cm_current_over_raw_current,264,216,0.8313436943602988,0.8331039466174366,0.800101579559882,0.86567335890162,10000
overall,all,all,cm_wrapper_over_raw_current,264,216,3.3658756397644405,3.558230640342837,3.221828214362607,3.923902845474366,10000
overall,all,all,cse_flat_current_over_raw_current,264,216,0.9092062258325112,0.9174909276380291,0.8865403994003723,0.9485031786863584,10000
corpus,b2,all,cm_current_over_cse_flat_current,192,192,0.9036923756530831,0.9036923756530831,0.8899717130850882,0.9157703038472205,10000
corpus,b4,all,cm_current_over_cse_flat_current,72,24,0.9434345440882039,0.9434345440882039,0.9152187390275808,0.9675630958736782,10000
live_k,all,4,cm_current_over_cse_flat_current,32,32,0.844418193791944,0.844418193791944,0.7991485988889991,0.880678314387555,10000
live_k,all,6,cm_current_over_cse_flat_current,32,32,0.8714674203017903,0.8714674203017903,0.8366945508694527,0.8996272709122811,10000
live_k,all,8,cm_current_over_cse_flat_current,56,40,0.9046589958862769,0.9067582902896633,0.8885425874080992,0.9224177602857666,10000
live_k,all,10,cm_current_over_cse_flat_current,32,32,0.9051313974926047,0.9051313974926047,0.8777388335257059,0.9264187847176538,10000
live_k,all,12,cm_current_over_cse_flat_current,56,40,0.9328875063030087,0.9308188631469871,0.9100302483582093,0.9484718718221233,10000
live_k,all,16,cm_current_over_cse_flat_current,56,40,0.9800120953786031,0.9739867007233662,0.9550940763445701,0.9904300092978611,10000
corpus_live_k,b2,4,cm_current_over_cse_flat_current,32,32,0.844418193791944,0.844418193791944,0.7973351452698381,0.8807917472025377,10000
corpus_live_k,b2,6,cm_current_over_cse_flat_current,32,32,0.8714674203017903,0.8714674203017903,0.8369158765670758,0.8997269434707137,10000
corpus_live_k,b2,8,cm_current_over_cse_flat_current,32,32,0.9085991686504,0.9085991686504,0.8904491350339243,0.9242657454754383,10000
corpus_live_k,b2,10,cm_current_over_cse_flat_current,32,32,0.9051313974926047,0.9051313974926047,0.8768712305020239,0.9268629758685257,10000
corpus_live_k,b2,12,cm_current_over_cse_flat_current,32,32,0.9290125636206785,0.9290125636206785,0.9038984557608433,0.9497466577730943,10000
corpus_live_k,b2,16,cm_current_over_cse_flat_current,32,32,0.9687448773721368,0.9687448773721368,0.9455191548014497,0.9884647115057437,10000
corpus_live_k,b4,8,cm_current_over_cse_flat_current,24,8,0.8994319986957104,0.8994319986957104,0.841847167801217,0.9429635124644623,10000
corpus_live_k,b4,12,cm_current_over_cse_flat_current,24,8,0.9380792498820693,0.9380792498820693,0.9152019928915881,0.9599046807112633,10000
corpus_live_k,b4,16,cm_current_over_cse_flat_current,24,8,0.9952391650776811,0.9952391650776811,0.9670178864701933,1.0157094104353739,10000
