corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-xor_dom-tree-1-8b6c553e4c62,4,4,xor_dom,tree,flat,6,6,6,9,9,9,7,7,7,3105.0,27420.0,3334.0,2454.5,0.9313137372525495,8.224355128974205,1.2650234263597473,11.171317987370136,1.3583214503972296,2696.5,2871.5,3075.5,3052.0,2156.0,2283.5,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,100,24
b2,b2-k4-xor_dom-tree-2-186a2a5c9bf0,4,4,xor_dom,tree,flat,2,2,3,3,3,3,3,3,3,1670.5,19649.5,1894.5,1516.0,0.8817629981525469,10.371865927685405,1.1019129287598945,12.96141160949868,1.2496701846965699,1560.0,1663.5,1878.5,1839.5,1403.0,1481.0,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,True,100,24
b2,b2-k4-xor_dom-tree-3-128078f3da7b,4,4,xor_dom,tree,flat,7,7,8,11,11,11,8,8,8,2787.5,21200.5,3033.0,2431.0,0.9190570392350808,6.989943949884602,1.1466474701768818,8.720896750308516,1.2476347182229535,2817.0,2982.5,3278.0,3214.0,2382.0,2513.0,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,True,100,24
b2,b2-k4-xor_dom-tree-4-9a5b24a5b691,4,4,xor_dom,tree,flat,2,2,5,3,5,5,3,5,5,1774.5,20692.5,2073.5,1969.0,0.8557993730407524,9.979503255365325,0.9012188928390046,10.509141696292534,1.053072625698324,1627.0,1715.0,2041.5,1980.5,1742.5,1833.0,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,True,100,24
b2,b2-k4-xor_dom-shared-1-b3e4cd19e589,4,4,xor_dom,shared,flat,4,5,17,7,12,19,6,11,18,2171.0,20953.5,2882.5,3773.0,0.7531656548135299,7.269210754553339,0.5754041876490856,5.553538298436258,0.7639809170421415,1939.0,2039.5,2715.5,2673.0,3437.5,3535.5,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,True,100,24
b2,b2-k4-xor_dom-shared-2-d4c0909c8173,4,4,xor_dom,shared,flat,7,8,27,14,18,29,12,16,27,3107.0,22541.5,3740.5,5482.0,0.8306376152920733,6.026333377890657,0.5667639547610361,4.1119117110543595,0.6823239693542503,2775.5,2867.0,3475.0,3440.0,5029.0,5128.5,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,True,100,24
b2,b2-k4-xor_dom-shared-3-88f8242fa307,4,4,xor_dom,shared,flat,4,6,23,8,17,24,7,16,23,2205.0,20325.0,3192.0,4619.5,0.6907894736842105,6.367481203007519,0.4773243857560342,4.399826821084533,0.6909838727134971,2032.5,2126.0,3090.5,3063.5,4420.5,4479.0,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,True,100,24
b2,b2-k4-xor_dom-shared-4-28c644b1084a,4,4,xor_dom,shared,flat,6,8,21,9,16,23,8,15,22,2697.5,21065.5,3751.5,4440.5,0.7190457150473144,5.615220578435292,0.6074766355140186,4.743947753631348,0.8448372930976241,2541.5,2725.0,3697.5,3699.5,4240.5,4367.0,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,True,100,24
b2,b2-k4-andor_dom-tree-1-ea13a53017b8,4,4,andor_dom,tree,flat,2,2,3,5,5,5,4,4,4,1630.5,18657.0,1842.0,1537.0,0.8851791530944625,10.128664495114007,1.060832791151594,12.138581652569941,1.1984385165907612,1550.5,1645.5,1873.5,1819.5,1442.5,1524.5,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,True,100,24
b2,b2-k4-andor_dom-tree-2-e674d60a6337,4,4,andor_dom,tree,flat,5,5,5,6,6,6,5,5,5,2323.0,20421.0,2562.5,1805.0,0.9065365853658537,7.969170731707317,1.2869806094182825,11.313573407202217,1.419667590027701,2139.0,2234.5,2499.0,2459.0,1634.0,1713.0,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,True,100,24
b2,b2-k4-andor_dom-tree-3-269b85d31c4b,4,4,andor_dom,tree,flat,3,3,3,5,5,5,4,4,4,1858.5,19900.5,2122.5,1603.5,0.8756183745583039,9.375971731448763,1.1590271281571563,12.41066417212348,1.323666978484565,1717.5,1802.0,2057.5,1987.0,1415.5,1503.0,5eace7caa8a101d3105c0c338da64e3d62dd7d90b1e4f9a2846f43f9e99ab977,5eace7caa8a101d3105c0c338da64e3d62dd7d90b1e4f9a2846f43f9e99ab977,True,100,24
b2,b2-k4-andor_dom-tree-4-d96f9fff14ea,4,4,andor_dom,tree,flat,5,5,5,5,5,5,5,5,5,2377.0,21177.0,2523.5,1797.5,0.9419457103229641,8.39191598969685,1.3223922114047288,11.781363004172462,1.403894297635605,2263.0,2332.0,2627.0,2627.5,1673.0,1754.5,830dcc860e2f53775bdab51b1b2ff210ce23f6366ac76fba9168f62702456c31,830dcc860e2f53775bdab51b1b2ff210ce23f6366ac76fba9168f62702456c31,True,100,24
