schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8760307080605472,0.9172128233105307,0.8498775311806411,0.9018122341949684,stratified_by_cell,0.18013925286343185,63,64
blocked,live_k=8/family=xor_dom,16,0.7547889538401331,0.8051268337389392,0.6605942764940054,0.8400378013648555,formula,0.24956363789247793,15,16
blocked,live_k=8/family=andor_dom,16,0.9064637270713513,0.9137098260930677,0.8662085438892944,0.9442785337174029,formula,0.09149706270647068,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9729302302524837,1.0005099179987629,0.923816605712684,1.0116092515876633,formula,0.10042188003444028,15,16
blocked,live_k=8/family=mixed,16,0.8847481364872658,0.9161350496226739,0.8225338951070597,0.938669194470802,formula,0.13709263770858918,15,16
blocked,live_k=8/shape=tree,32,0.9491423739978588,0.9677966150727852,0.9215326378310805,0.9738710907652052,formula,0.08078820490675237,31,32
blocked,live_k=8/shape=shared,32,0.8085507743507349,0.8505867140072993,0.7488753587026366,0.8647679167504402,formula,0.2148378694936002,31,32
blocked,live_k=12,64,0.8729102720849296,0.8887697528357404,0.8512262621624308,0.8923412067268254,stratified_by_cell,0.1389505319895458,63,64
blocked,live_k=12/family=xor_dom,16,0.7745113658025421,0.7760887156158027,0.7328536022576285,0.8157571373287371,formula,0.11400736306043827,15,16
blocked,live_k=12/family=andor_dom,16,0.8815585341021442,0.8839636061035415,0.8493120034674656,0.9173972525280233,formula,0.08416337592564178,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9632633790634076,0.9873714538871344,0.9310579580548003,0.9914366189654394,formula,0.06658792984150727,15,16
blocked,live_k=12/family=mixed,16,0.8827839272060711,0.9255728588285456,0.8068291818056624,0.9521464290555837,formula,0.1753026531851933,15,16
blocked,live_k=12/shape=tree,32,0.9183637088200364,0.9461036246141029,0.8879900363133661,0.9497946341677127,formula,0.10151639257257396,31,32
blocked,live_k=12/shape=shared,32,0.8297065049428067,0.82972847420223,0.7871168062658108,0.8727899398058873,formula,0.1536626050859701,31,32
blocked,live_k=16,64,0.9273590392933003,0.9384098587764776,0.9115408979998447,0.9446830076482887,stratified_by_cell,0.09667445874132258,63,64
blocked,live_k=16/family=xor_dom,16,0.8526729575752727,0.857723468367684,0.810498776561079,0.9038923188198651,formula,0.11486133106009301,15,16
blocked,live_k=16/family=andor_dom,16,0.9244709879396572,0.9267680524812204,0.8977800860440209,0.9491711042297581,formula,0.05952571135185944,15,16
blocked,live_k=16/family=impeqv_dom,16,0.9783699996405809,0.9814472905932814,0.9443342845883121,1.0066892338679512,formula,0.06781484981546039,15,16
blocked,live_k=16/family=mixed,16,0.9589870329408714,0.9533934666471693,0.9262719666074234,0.9962027661243178,formula,0.0782885967784329,15,16
blocked,live_k=16/shape=tree,32,0.9556488264706093,0.9616808822405647,0.9233118629998233,0.9870532629581654,formula,0.09676806121658904,31,32
blocked,live_k=16/shape=shared,32,0.8999067062480632,0.9099986594105244,0.8740423291339934,0.9254917549399022,formula,0.08811980411772542,31,32
blocked,family=xor_dom/shape=tree,24,0.8553589619762487,0.8582999359016521,0.8191207372079026,0.8975826163208983,formula,0.11475706899552038,23,24
blocked,family=xor_dom/shape=shared,24,0.734979913730831,0.7698350233688894,0.6764382435833065,0.7877199385667059,formula,0.1956343622497801,23,24
blocked,family=andor_dom/shape=tree,24,0.9487594364004919,0.9459753758163686,0.928484353262794,0.9694625906223284,formula,0.053341337809819506,23,24
blocked,family=andor_dom/shape=shared,24,0.8613383922654522,0.8729066638891626,0.8366951118648334,0.8868131875605587,formula,0.07391281618898735,23,24
blocked,family=impeqv_dom/shape=tree,24,0.9912508732103662,0.9914378271465248,0.9748115756133742,1.0060051020324927,formula,0.03988656240047217,23,24
blocked,family=impeqv_dom/shape=shared,24,0.9521448006690418,0.9855919878262955,0.9127452790134976,0.9884037063135545,formula,0.10058883205660196,23,24
blocked,family=mixed/shape=tree,24,0.9743263345652747,0.9795715675161254,0.9475787232106446,1.0026569731004418,formula,0.07282282097478857,23,24
blocked,family=mixed/shape=shared,24,0.8464866206899363,0.8936401383301994,0.7965319206564534,0.8950542353731252,formula,0.1541686158973469,23,24
blocked,all,192,0.8917551262818025,0.9195218074982806,0.8785035446351434,0.9036894245246279,stratified_by_cell,0.14466162367059313,191,192
round_robin,live_k=8,64,0.8836206668647903,0.9212441619892613,0.8601474862024646,0.9065135982305684,stratified_by_cell,0.16357835353962458,63,64
round_robin,live_k=8/family=xor_dom,16,0.7672013997875925,0.8133292811748701,0.6838060784088862,0.8456797697572732,formula,0.21868565931579562,15,16
round_robin,live_k=8/family=andor_dom,16,0.9066724916590004,0.919743813800113,0.8683848114673641,0.9418495830100592,formula,0.08346297125169885,15,16
round_robin,live_k=8/family=impeqv_dom,16,0.9730662756654622,0.997812281487372,0.9312416834056096,1.0034874797400937,formula,0.08191732597117758,15,16
round_robin,live_k=8/family=mixed,16,0.9006606996192914,0.9285978033310935,0.8376182286558368,0.9552579225737731,formula,0.13630400496611747,15,16
round_robin,live_k=8/shape=tree,32,0.953633117318279,0.9836268401240318,0.9256970927468855,0.9777773141742936,formula,0.07844883644548534,31,32
round_robin,live_k=8/shape=shared,32,0.8187482887614381,0.8742903626986515,0.7647869141959202,0.8709066481737772,formula,0.19031841920608192,31,32
round_robin,live_k=12,64,0.8856083965538919,0.9044493333746557,0.8679077489172843,0.9028099488882225,stratified_by_cell,0.12886876027767316,63,64
round_robin,live_k=12/family=xor_dom,16,0.7849360063647157,0.7822515785428672,0.7483769585744297,0.8237704358140652,formula,0.10350875926887841,15,16
round_robin,live_k=12/family=andor_dom,16,0.8904680397459614,0.8940924343172784,0.8628086610588381,0.9198458709606361,formula,0.07091623293372225,15,16
round_robin,live_k=12/family=impeqv_dom,16,0.9693852129313606,0.9904572369199172,0.9380738644678026,0.9981455004694016,formula,0.06500686310602372,15,16
round_robin,live_k=12/family=mixed,16,0.9078579966329714,0.9507126228445907,0.8344086223072956,0.9690463672282746,formula,0.157623362105019,15,16
round_robin,live_k=12/shape=tree,32,0.9349358505626331,0.9656547035768401,0.9058758847203816,0.9620544739030914,formula,0.09023327434569132,31,32
round_robin,live_k=12/shape=shared,32,0.8388834716037168,0.852739798762957,0.7994832144112423,0.878304072871013,formula,0.13979448042015816,31,32
round_robin,live_k=16,64,0.9348151229525741,0.9340883268228902,0.9229113937539849,0.9469093762316237,stratified_by_cell,0.08872522816976253,63,64
round_robin,live_k=16/family=xor_dom,16,0.8534310493936543,0.868017101753614,0.82033195995761,0.8822466429111335,formula,0.0783065085518371,15,16
round_robin,live_k=16/family=andor_dom,16,0.9266128271575894,0.9228825531887989,0.8979181255340897,0.9573268457796728,formula,0.066964804650462,15,16
round_robin,live_k=16/family=impeqv_dom,16,1.0003698127991967,1.0095078756414595,0.9750631151109153,1.0220098733099445,formula,0.05164566503149346,15,16
round_robin,live_k=16/family=mixed,16,0.965329533256754,0.9547887328431619,0.9344061293990987,0.9980677639738269,formula,0.0696204715288422,15,16
round_robin,live_k=16/shape=tree,32,0.9698595408736582,0.984940606810867,0.9444844257225681,0.9935482482424706,formula,0.0738492276454997,31,32
round_robin,live_k=16/shape=shared,32,0.9010369824414345,0.8877491296544119,0.875194981601246,0.9268112192796603,formula,0.08802464346164408,31,32
round_robin,family=xor_dom/shape=tree,24,0.8604869095009609,0.8748037019830319,0.8328249675620377,0.8872415893378756,formula,0.08096271806974202,23,24
round_robin,family=xor_dom/shape=shared,24,0.7456421504111977,0.7658659221577518,0.6929739586315498,0.7932531585208105,formula,0.17114018177117854,23,24
round_robin,family=andor_dom/shape=tree,24,0.9579364647455236,0.963186251538993,0.9402920383491132,0.9748210845806862,formula,0.04509749372341897,23,24
round_robin,family=andor_dom/shape=shared,24,0.8602830191098012,0.8742903626986515,0.8405762787204063,0.8793491939757138,formula,0.05687141815459592,23,24
round_robin,family=impeqv_dom/shape=tree,24,0.9978930045316544,0.9999651313724237,0.9835281285588763,1.0109735190865665,formula,0.03514790786494764,23,24
round_robin,family=impeqv_dom/shape=shared,24,0.9640856420788253,0.9906345501272394,0.9287812859940543,0.9963793162114748,formula,0.08618134392063073,23,24
round_robin,family=mixed/shape=tree,24,1.001530906588133,1.0089926286143855,0.9832394444833333,1.0192958955513587,formula,0.04515545680209186,23,24
round_robin,family=mixed/shape=shared,24,0.8527835157970406,0.9012729508278355,0.8072722264687587,0.8953942367225796,formula,0.1340088272431692,23,24
round_robin,all,192,0.9010407653653512,0.9209399089364732,0.8900094355429564,0.9113475027551406,stratified_by_cell,0.13259591268496,191,192
