scope,corpus,live_k,metric,row_count,formula_cluster_count,row_weighted_geomean,paired_formula_cluster_geomean,paired_formula_cluster_bootstrap_ci95_low,paired_formula_cluster_bootstrap_ci95_high,bootstrap_repetitions
overall,all,all,cm_current_over_cse_flat_current,264,216,0.9116327512365443,0.9064515230370421,0.8944927115285883,0.9176835004082735,10000
overall,all,all,cm_wrapper_over_cse_flat_current,264,216,3.682457767439314,3.8561006789151424,3.5569294072138864,4.162141404942236,10000
overall,all,all,cm_current_over_raw_current,264,216,0.8203857423580918,0.8226265273941469,0.7906789504802846,0.8542255741999192,10000
overall,all,all,cm_wrapper_over_raw_current,264,216,3.3138737557917617,3.4995039780506234,3.1753924424105406,3.8564096362697264,10000
overall,all,all,cse_flat_current_over_raw_current,264,216,0.8999081496856224,0.9075240169909563,0.8777513816980294,0.937319447606189,10000
corpus,b2,all,cm_current_over_cse_flat_current,192,192,0.9029065205178302,0.9029065205178302,0.889597938173145,0.9149876195354548,10000
corpus,b4,all,cm_current_over_cse_flat_current,72,24,0.935317224201295,0.935317224201295,0.9094448064831073,0.9571989560659796,10000
live_k,all,4,cm_current_over_cse_flat_current,32,32,0.8383670648986532,0.8383670648986532,0.7953368527896922,0.873176381116442,10000
live_k,all,6,cm_current_over_cse_flat_current,32,32,0.8706866977213327,0.8706866977213327,0.8349360825369926,0.8996540980035952,10000
live_k,all,8,cm_current_over_cse_flat_current,56,40,0.9012593690557313,0.9056472593163912,0.8874595640739352,0.9221479359780175,10000
live_k,all,10,cm_current_over_cse_flat_current,32,32,0.9102823707380358,0.9102823707380358,0.8857632378595134,0.9298746093957072,10000
live_k,all,12,cm_current_over_cse_flat_current,56,40,0.9359076745549009,0.9338785601370162,0.9117522151893176,0.9525761213112657,10000
live_k,all,16,cm_current_over_cse_flat_current,56,40,0.9681468720208724,0.9647914941619209,0.9496402092484663,0.9781219461178016,10000
corpus_live_k,b2,4,cm_current_over_cse_flat_current,32,32,0.8383670648986532,0.8383670648986532,0.7937379954403939,0.8739515443534708,10000
corpus_live_k,b2,6,cm_current_over_cse_flat_current,32,32,0.8706866977213327,0.8706866977213327,0.8352368442489376,0.8993406144516629,10000
corpus_live_k,b2,8,cm_current_over_cse_flat_current,32,32,0.9095041840593959,0.9095041840593959,0.8904141035575711,0.9269896659032081,10000
corpus_live_k,b2,10,cm_current_over_cse_flat_current,32,32,0.9102823707380358,0.9102823707380358,0.8847046417666491,0.9305200909546352,10000
corpus_live_k,b2,12,cm_current_over_cse_flat_current,32,32,0.932106694119153,0.932106694119153,0.9058509073113863,0.9538886666976366,10000
corpus_live_k,b2,16,cm_current_over_cse_flat_current,32,32,0.9618650793118674,0.9618650793118674,0.9441400071436136,0.9774994947613217,10000
corpus_live_k,b4,8,cm_current_over_cse_flat_current,24,8,0.8903824284041509,0.8903824284041509,0.8408672663934803,0.9262012331222937,10000
corpus_live_k,b4,12,cm_current_over_cse_flat_current,24,8,0.940999770161103,0.940999770161103,0.9123092071204373,0.9684115699594618,10000
corpus_live_k,b4,16,cm_current_over_cse_flat_current,24,8,0.9765864592128491,0.9765864592128491,0.9512727991250749,0.9935897956868749,10000
