corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-xor_dom-tree-1-8b6c553e4c62,4,4,xor_dom,tree,flat,6,6,6,9,9,9,7,7,7,3044.0,26031.5,3486.0,3236.0,0.8732071141709696,7.467441193344808,0.9406674907292955,8.044344870210136,1.07725587144623,2505.0,2564.5,3085.0,3096.0,2893.0,2815.0,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,100,24
b2,b2-k4-xor_dom-tree-2-186a2a5c9bf0,4,4,xor_dom,tree,flat,2,2,3,3,3,3,3,3,3,1729.0,21426.5,2010.0,1669.0,0.8601990049751244,10.65995024875622,1.035949670461354,12.83792690233673,1.2043139604553625,1500.0,1580.0,1823.5,1776.5,1426.5,1506.0,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,True,100,24
b2,b2-k4-xor_dom-tree-3-128078f3da7b,4,4,xor_dom,tree,flat,7,7,8,11,11,11,8,8,8,2636.5,20474.5,2901.0,2369.5,0.9088245432609445,7.0577387107893825,1.11268200042203,8.640852500527538,1.2243089259337412,2798.5,2817.5,3105.5,3062.0,2521.0,2514.0,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,True,100,24
b2,b2-k4-xor_dom-tree-4-9a5b24a5b691,4,4,xor_dom,tree,flat,2,2,5,3,5,5,3,5,5,1863.5,22431.0,2230.5,2161.5,0.8354629006949115,10.056489576328177,0.8621327781633125,10.377515614156836,1.0319222761970854,1731.0,1802.5,2159.5,2114.5,2024.0,2086.5,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,True,100,24
b2,b2-k4-xor_dom-shared-1-b3e4cd19e589,4,4,xor_dom,shared,flat,4,5,17,7,12,19,6,11,18,2231.5,21478.0,2974.0,4009.5,0.7503362474781439,7.221923335574983,0.5565531861828158,5.35677765307395,0.741738371368001,2132.0,2270.5,2854.5,2840.0,4095.0,3946.5,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,True,100,24
b2,b2-k4-xor_dom-shared-2-d4c0909c8173,4,4,xor_dom,shared,flat,7,8,27,14,18,29,12,16,27,2970.5,21939.5,3627.0,5439.0,0.8189964157706093,6.048938516680452,0.5461481890053319,4.033737819452105,0.6668505239933812,3081.5,3095.0,3698.5,3693.0,5852.5,5630.0,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,True,100,24
b2,b2-k4-xor_dom-shared-3-88f8242fa307,4,4,xor_dom,shared,flat,4,6,23,8,17,24,7,16,23,2197.0,20938.0,3235.5,4758.0,0.6790295163035079,6.471333642404574,0.46174863387978143,4.400588482555696,0.6800126103404792,2003.5,2033.5,3033.0,2978.5,4693.0,4487.0,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,True,100,24
b2,b2-k4-xor_dom-shared-4-28c644b1084a,4,4,xor_dom,shared,flat,6,8,21,9,16,23,8,15,22,2607.5,20937.0,3638.0,4374.5,0.7167399670148433,5.755085211654755,0.5960681220710938,4.786146988227226,0.8316379014744543,2507.0,2542.5,3520.0,3505.5,4402.5,4283.0,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,True,100,24
b2,b2-k4-andor_dom-tree-1-ea13a53017b8,4,4,andor_dom,tree,flat,2,2,3,5,5,5,4,4,4,1730.5,20306.5,2001.0,1741.5,0.8648175912043978,10.148175912043978,0.9936836060867069,11.660350272753373,1.1490094745908699,1585.5,1638.5,1907.0,1851.5,1567.5,1642.5,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,True,100,24
b2,b2-k4-andor_dom-tree-2-e674d60a6337,4,4,andor_dom,tree,flat,5,5,5,6,6,6,5,5,5,2280.5,20624.5,2579.5,1870.5,0.8840860631905408,7.995541771661174,1.219192729216787,11.026196204223469,1.3790430366212243,2182.0,2216.0,2519.5,2455.0,1772.5,1792.5,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,True,100,24
