schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8894639958805075,0.9374951667253592,0.859817126732084,0.919384796986082,stratified_by_cell,0.18882270983111188,63,64
blocked,live_k=8/family=xor_dom,16,0.7597877024185822,0.7987632527555185,0.6761767437179603,0.8371836121688423,formula,0.22326701203873092,15,16
blocked,live_k=8/family=andor_dom,16,0.9302226079832927,0.9486411255947133,0.8700742460131169,0.9936885402259797,formula,0.1369900732269985,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9878878997381644,0.9877754641870986,0.9251079382836164,1.0581882238144813,formula,0.14283126723949255,15,16
blocked,live_k=8/family=mixed,16,0.8964512488536674,0.9461039945038567,0.8298884001115105,0.9543346635122091,formula,0.1424405487710347,15,16
blocked,live_k=8/shape=tree,32,0.944743503025511,0.9605055547271425,0.9116407549831104,0.9759617781874159,formula,0.09887881238090838,31,32
blocked,live_k=8/shape=shared,32,0.8374190427709731,0.8700341847944021,0.7717464735960091,0.9066459683867845,formula,0.2348952114466617,31,32
blocked,live_k=12,64,0.8797907199637464,0.8948069776935071,0.8467184113329166,0.9167246980701607,stratified_by_cell,0.18508987411942648,63,64
blocked,live_k=12/family=xor_dom,16,0.7864908956621183,0.8086382112721759,0.7255284975196366,0.8559376000642313,formula,0.1775273726133104,15,16
blocked,live_k=12/family=andor_dom,16,0.8754516283976151,0.8818480363917303,0.825813023406286,0.9265936272500221,formula,0.12470942131403782,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9595947718429592,0.980966545504101,0.8974317956003699,1.0272362493017795,formula,0.14421988496210172,15,16
blocked,live_k=12/family=mixed,16,0.9067838554213353,0.9776649229892042,0.8080493326430537,1.0069561052862235,formula,0.23145261085080804,15,16
blocked,live_k=12/shape=tree,32,0.9233095993104514,0.9761789946216959,0.8766632799730637,0.9616962124489918,formula,0.13598880203964248,31,32
blocked,live_k=12/shape=shared,32,0.8383230408439288,0.8606008345821777,0.7811395645057011,0.9027531131314918,formula,0.2152121376071269,31,32
blocked,live_k=16,64,0.9285038116144417,0.9541926119983232,0.8968663484746162,0.9594683464345444,stratified_by_cell,0.1635766154143063,63,64
blocked,live_k=16/family=xor_dom,16,0.8223951390332076,0.8321452031241575,0.7688171759541776,0.8759491671702674,formula,0.1356933445404477,15,16
blocked,live_k=16/family=andor_dom,16,0.9436377278625712,0.9472394235864546,0.8778203904141944,1.0267221918861815,formula,0.16434550682100235,15,16
blocked,live_k=16/family=impeqv_dom,16,0.9948963446152719,1.0138507215508012,0.9322791282805228,1.060008469950702,formula,0.1350612524885194,15,16
blocked,live_k=16/family=mixed,16,0.9626559457437631,0.9731969448276105,0.8965193071691652,1.033922230519916,formula,0.16201901555628112,15,16
blocked,live_k=16/shape=tree,32,0.9587424176637955,0.9715618436580404,0.9047199057936927,1.0129887977909278,formula,0.16226250258240346,31,32
blocked,live_k=16/shape=shared,32,0.8992189271058916,0.934039805734083,0.8515910851324745,0.9464990753378657,formula,0.16102245666047113,31,32
blocked,family=xor_dom/shape=tree,24,0.8487804591612454,0.8749474542436254,0.7988084437147102,0.8964937631015857,formula,0.14693578190629683,23,24
blocked,family=xor_dom/shape=shared,24,0.7336951084045272,0.7638106830197299,0.6797453089073847,0.7862670391363741,formula,0.1860040966134656,23,24
blocked,family=andor_dom/shape=tree,24,0.972479600492481,0.9532753324832116,0.9312563481924467,1.0194169538635223,formula,0.11732156016228495,23,24
blocked,family=andor_dom/shape=shared,24,0.8627184004385431,0.8688107701430982,0.8136523656679492,0.9118932754451079,formula,0.14475863211673692,23,24
blocked,family=impeqv_dom/shape=tree,24,0.9867892308787255,0.9917766935619596,0.9511234533600144,1.0240504446980339,formula,0.0895583786230236,23,24
blocked,family=impeqv_dom/shape=shared,24,0.9745957539446001,0.9819311482724589,0.9118206148689548,1.0454739603338887,formula,0.17656442290646723,23,24
blocked,family=mixed/shape=tree,24,0.9673508158031261,0.981645159057381,0.9198964394538883,1.0143727432711946,formula,0.12586108700434426,23,24
blocked,family=mixed/shape=shared,24,0.8778433697977043,0.9090508487222383,0.8028490456029729,0.9515336205531961,formula,0.21579206310853966,23,24
blocked,all,192,0.8990085324335667,0.9328193354520437,0.8812272230510237,0.9173965168044045,stratified_by_cell,0.18008221349766326,191,192
round_robin,live_k=8,64,0.8901837046423303,0.9281751166772034,0.8650141464563723,0.9156119878483296,stratified_by_cell,0.16938083638370469,63,64
round_robin,live_k=8/family=xor_dom,16,0.7707038051740862,0.806319572815889,0.6869910238195723,0.8524190377757612,formula,0.22202747113242605,15,16
round_robin,live_k=8/family=andor_dom,16,0.9250335502294836,0.9296892577161249,0.8792248293014896,0.9674430377975658,formula,0.09741502658771331,15,16
round_robin,live_k=8/family=impeqv_dom,16,0.9653877367221605,0.9930152015360336,0.9182146169559999,1.0036943333892852,formula,0.0945086556026488,15,16
round_robin,live_k=8/family=mixed,16,0.9123716762098996,0.9491015029360522,0.8449107026210485,0.9723574354515284,formula,0.14624515347246417,15,16
round_robin,live_k=8/shape=tree,32,0.9672111161157616,0.99907866528638,0.9349310850921964,0.9968985018246289,formula,0.09153381010092304,31,32
round_robin,live_k=8/shape=shared,32,0.8192906541366727,0.8708343342958035,0.7674793478196927,0.8720519725311175,formula,0.18896590903609028,31,32
round_robin,live_k=12,64,0.895487860598519,0.9173294665606221,0.8752040575594126,0.9164077498245577,stratified_by_cell,0.13393963076174353,63,64
round_robin,live_k=12/family=xor_dom,16,0.8055142271509692,0.8065936102023881,0.7573421698156059,0.8542977239995697,formula,0.12641068813204046,15,16
round_robin,live_k=12/family=andor_dom,16,0.8997487013071336,0.8958183664293056,0.871804665645832,0.9272748457810662,formula,0.06773129902591964,15,16
round_robin,live_k=12/family=impeqv_dom,16,0.9764752065723606,0.9838573229537411,0.9371786168888465,1.0176302737288676,formula,0.08566445540505706,15,16
round_robin,live_k=12/family=mixed,16,0.9086217883620872,0.9662134942091964,0.8333603888903566,0.9752056193738273,formula,0.1650328206731032,15,16
round_robin,live_k=12/shape=tree,32,0.9471568633715887,0.9726817659623805,0.9165364135378554,0.978147652775083,formula,0.09667890670506002,31,32
round_robin,live_k=12/shape=shared,32,0.8466374889844533,0.8804264494688386,0.8053160400606487,0.8878162141181823,formula,0.14357921169227028,31,32
round_robin,live_k=16,64,0.9329999871950581,0.9551808673455375,0.9215911993395096,0.9439580692648787,stratified_by_cell,0.08062753040198907,63,64
round_robin,live_k=16/family=xor_dom,16,0.8590329880570113,0.8634442277539484,0.8235312240290622,0.8919673485818219,formula,0.08696135114929476,15,16
round_robin,live_k=16/family=andor_dom,16,0.9320080313354224,0.9465029509206518,0.909575621370793,0.9549130261396075,formula,0.0522097484766656,15,16
round_robin,live_k=16/family=impeqv_dom,16,0.9922491767242658,1.0106934198948683,0.9638295514685201,1.0123943856084099,formula,0.054760487457867046,15,16
round_robin,live_k=16/family=mixed,16,0.953841705437252,0.9705772822855961,0.9321036429225655,0.9740927858274242,formula,0.0466259686592109,15,16
round_robin,live_k=16/shape=tree,32,0.9636171269217848,0.9743345738305107,0.9444993207970698,0.9804379204187471,formula,0.05551332065804934,31,32
round_robin,live_k=16/shape=shared,32,0.9033556500668493,0.9034906629239735,0.8763904321668291,0.9286812508597341,formula,0.08931499600184525,31,32
round_robin,family=xor_dom/shape=tree,24,0.8768437209767334,0.8733530319192786,0.8460951191428964,0.909759759842358,formula,0.0954348992057266,23,24
round_robin,family=xor_dom/shape=shared,24,0.74999467029127,0.7865489016728491,0.6989652085825693,0.798551401484745,formula,0.17261947762347388,23,24
round_robin,family=andor_dom/shape=tree,24,0.9644879584869545,0.9634827836385146,0.94353147254886,0.9852657559707388,formula,0.05447441653617219,23,24
round_robin,family=andor_dom/shape=shared,24,0.8753238636121768,0.8819958920827174,0.855398070944402,0.8949565295447414,formula,0.05967081292968841,23,24
