scope,corpus,live_k,metric,row_count,formula_cluster_count,row_weighted_geomean,paired_formula_cluster_geomean,paired_formula_cluster_bootstrap_ci95_low,paired_formula_cluster_bootstrap_ci95_high,bootstrap_repetitions
overall,all,all,cm_current_over_cse_flat_current,264,216,0.9135577661210665,0.9080504939200886,0.8955357522722714,0.9195542302293057,10000
overall,all,all,cm_wrapper_over_cse_flat_current,264,216,3.724803351742141,3.901754597862076,3.5998251809388755,4.212382609149886,10000
overall,all,all,cm_current_over_raw_current,264,216,0.8249032109525234,0.827167338192337,0.7946479391787578,0.85910135863733,10000
overall,all,all,cm_wrapper_over_raw_current,264,216,3.363336571550338,3.554212003189888,3.2195737303043916,3.9197357207737187,10000
overall,all,all,cse_flat_current_over_raw_current,264,216,0.9029568151503248,0.9109265880374383,0.8807428507292663,0.9414259943100091,10000
corpus,b2,all,cm_current_over_cse_flat_current,192,192,0.9042835149482614,0.9042835149482614,0.8905157924084625,0.9166434278485744,10000
corpus,b4,all,cm_current_over_cse_flat_current,72,24,0.9387567676507681,0.9387567676507681,0.9101854508549866,0.9631770597953704,10000
live_k,all,4,cm_current_over_cse_flat_current,32,32,0.8412227137173783,0.8412227137173783,0.7969189347848202,0.8776748593504241,10000
live_k,all,6,cm_current_over_cse_flat_current,32,32,0.8722060589506283,0.8722060589506283,0.8361527138457251,0.9004477521220132,10000
live_k,all,8,cm_current_over_cse_flat_current,56,40,0.9033885542705021,0.9045405254708586,0.88616586943544,0.9212286131986244,10000
live_k,all,10,cm_current_over_cse_flat_current,32,32,0.9072249723889622,0.9072249723889622,0.879433177288241,0.9317972275625183,10000
live_k,all,12,cm_current_over_cse_flat_current,56,40,0.9340393267034468,0.93216626699488,0.9114373382699089,0.9493550110560681,10000
live_k,all,16,cm_current_over_cse_flat_current,56,40,0.9764756395153071,0.9756106084737534,0.9606146934009425,0.9885310474480429,10000
corpus_live_k,b2,4,cm_current_over_cse_flat_current,32,32,0.8412227137173783,0.8412227137173783,0.7951151011871651,0.8774850090245838,10000
corpus_live_k,b2,6,cm_current_over_cse_flat_current,32,32,0.8722060589506283,0.8722060589506283,0.8368041021722781,0.9003022667647294,10000
corpus_live_k,b2,8,cm_current_over_cse_flat_current,32,32,0.9055497052097833,0.9055497052097833,0.8868183349936842,0.9219875546852866,10000
corpus_live_k,b2,10,cm_current_over_cse_flat_current,32,32,0.9072249723889622,0.9072249723889622,0.8789837635047287,0.9319940591157312,10000
corpus_live_k,b2,12,cm_current_over_cse_flat_current,32,32,0.9305304211898973,0.9305304211898973,0.905845572778421,0.9507266324218501,10000
corpus_live_k,b2,16,cm_current_over_cse_flat_current,32,32,0.9748543349456247,0.9748543349456247,0.9583820523951295,0.9890358382280929,10000
corpus_live_k,b4,8,cm_current_over_cse_flat_current,24,8,0.9005150406791009,0.9005150406791009,0.8416241812895338,0.9448596492184036,10000
corpus_live_k,b4,12,cm_current_over_cse_flat_current,24,8,0.9387384585147814,0.9387384585147814,0.9121327964090751,0.9632999786138878,10000
corpus_live_k,b4,16,cm_current_over_cse_flat_current,24,8,0.9786415741663461,0.9786415741663461,0.9417212001838009,0.9997895587948187,10000
