corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-xor_dom-tree-1-8b6c553e4c62,4,4,xor_dom,tree,flat,6,6,6,9,9,9,7,7,7,2734.0,24692.5,2953.5,2288.0,0.925681394955138,8.360419840866768,1.19493006993007,10.792176573426573,1.2908653846153846,2339.5,2443.0,2722.0,2634.0,1930.0,1994.0,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,100,24
b2,b2-k4-xor_dom-tree-2-186a2a5c9bf0,4,4,xor_dom,tree,flat,2,2,3,3,3,3,3,3,3,1705.0,22205.0,1945.0,1639.0,0.8766066838046273,11.416452442159382,1.0402684563758389,13.547895057962172,1.186699206833435,1468.0,1585.0,1804.5,1765.0,1366.5,1447.5,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,True,100,24
b2,b2-k4-xor_dom-tree-3-128078f3da7b,4,4,xor_dom,tree,flat,7,7,8,11,11,11,8,8,8,2697.0,22209.0,2966.0,2407.5,0.9093054619015509,7.4878624409979775,1.1202492211838007,9.224922118380062,1.2319833852544133,2484.0,2592.5,2846.5,2793.5,2158.0,2238.0,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,True,100,24
b2,b2-k4-xor_dom-tree-4-9a5b24a5b691,4,4,xor_dom,tree,flat,2,2,5,3,5,5,3,5,5,1630.0,20147.0,1944.5,1842.0,0.8382617639496014,10.36101825662124,0.8849077090119435,10.93756786102063,1.0556460369163951,1481.5,1586.5,1873.5,1835.0,1659.0,1765.5,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,True,100,24
b2,b2-k4-xor_dom-shared-1-b3e4cd19e589,4,4,xor_dom,shared,flat,4,5,17,7,12,19,6,11,18,2142.5,21342.0,2909.0,3933.5,0.7365073908559643,7.336541766930217,0.5446803101563493,5.425702300749968,0.7395449345366721,2188.5,2352.0,3070.5,3060.5,4117.0,4207.0,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,True,100,24
b2,b2-k4-xor_dom-shared-2-d4c0909c8173,4,4,xor_dom,shared,flat,7,8,27,14,18,29,12,16,27,3253.0,24685.5,3921.0,5852.0,0.8296352971180821,6.295715378729916,0.5558783321941216,4.2183014354066986,0.6700273410799726,3012.5,3076.0,3818.5,3729.5,5609.0,5727.0,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,True,100,24
b2,b2-k4-xor_dom-shared-3-88f8242fa307,4,4,xor_dom,shared,flat,4,6,23,8,17,24,7,16,23,2135.0,21242.5,3197.0,4720.0,0.6678135752267751,6.644510478573663,0.4523305084745763,4.500529661016949,0.6773305084745763,2031.5,2153.5,3222.0,3169.5,4748.0,4783.0,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,True,100,24
b2,b2-k4-xor_dom-shared-4-28c644b1084a,4,4,xor_dom,shared,flat,6,8,21,9,16,23,8,15,22,2572.5,21738.0,3623.0,4463.0,0.7100469224399669,6.0,0.5764060049294196,4.870714765852566,0.811785794308761,2453.5,2561.5,3632.5,3664.0,4371.0,4375.0,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,True,100,24
b2,b2-k4-andor_dom-tree-1-ea13a53017b8,4,4,andor_dom,tree,flat,2,2,3,5,5,5,4,4,4,1646.0,20849.5,1900.5,1641.0,0.8660878716127335,10.970534069981584,1.0030469226081657,12.705362583790372,1.1581352833638026,1477.0,1589.0,1835.0,1787.0,1423.0,1516.0,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,True,100,24
b2,b2-k4-andor_dom-tree-2-e674d60a6337,4,4,andor_dom,tree,flat,5,5,5,6,6,6,5,5,5,2340.0,21706.0,2544.5,1842.0,0.9196305757516211,8.530556101395167,1.270358306188925,11.783930510314875,1.3813789359391966,2171.0,2263.0,2588.5,2519.0,1715.0,1817.5,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,True,100,24
b2,b2-k4-andor_dom-tree-3-269b85d31c4b,4,4,andor_dom,tree,flat,3,3,3,5,5,5,4,4,4,1823.0,22651.0,2125.0,1681.0,0.8578823529411764,10.65929411764706,1.0844735276621058,13.47471743010113,1.2641284949434861,1621.0,1730.5,1960.5,1919.0,1396.5,1467.0,5eace7caa8a101d3105c0c338da64e3d62dd7d90b1e4f9a2846f43f9e99ab977,5eace7caa8a101d3105c0c338da64e3d62dd7d90b1e4f9a2846f43f9e99ab977,True,100,24
