source,line,literal,context,classification
cm_master_build_2026_08_03.py,1,2026,"""""""CM master knowledge-base builder (2026-08-03, evidence updated 2026-08-27).","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,1,08,"""""""CM master knowledge-base builder (2026-08-03, evidence updated 2026-08-27).","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,1,03,"""""""CM master knowledge-base builder (2026-08-03, evidence updated 2026-08-27).","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,1,2026,"""""""CM master knowledge-base builder (2026-08-03, evidence updated 2026-08-27).","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,1,08,"""""""CM master knowledge-base builder (2026-08-03, evidence updated 2026-08-27).","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,1,27,"""""""CM master knowledge-base builder (2026-08-03, evidence updated 2026-08-27).","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,3,2026,Reads the refreshed evidence of the 2026-08-03 comprehensive benchmark,"reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,3,08,Reads the refreshed evidence of the 2026-08-03 comprehensive benchmark,"reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,3,03,Reads the refreshed evidence of the 2026-08-03 comprehensive benchmark,"reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,4,2026,"campaign (B1-B7 + BX1/BX2), the accepted 2026-08-25 symmetric V3 correction,","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,4,08,"campaign (B1-B7 + BX1/BX2), the accepted 2026-08-25 symmetric V3 correction,","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,4,25,"campaign (B1-B7 + BX1/BX2), the accepted 2026-08-25 symmetric V3 correction,","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,5,2026,"the 2026-08-26/27 repeatability, guard, preparation, held-out selector, cache,","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,5,08,"the 2026-08-26/27 repeatability, guard, preparation, held-out selector, cache,","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,5,26,"the 2026-08-26/27 repeatability, guard, preparation, held-out selector, cache,","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,5,27,"the 2026-08-26/27 repeatability, guard, preparation, held-out selector, cache,","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,47,4,"EVIDENCE_REVISION = ""4dbfffc1db749e85401d533c5a07cb529a41eb37""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,57,8,"with p.open(""r"", encoding=""utf-8"") as fh:","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,62,8,"with p.open(""r"", encoding=""utf-8"", newline="""") as fh:","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,86,0,"""failures"": sum(int(s.attrib.get(""failures"", 0)) for s in suites),","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,87,0,"""errors"": sum(int(s.attrib.get(""errors"", 0)) for s in suites),","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,88,0,"""skipped"": sum(int(s.attrib.get(""skipped"", 0)) for s in suites),","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,122,2026,"P_RERUN = REPO / ""docs"" / ""audits"" / ""2026-08-25-cm-deep-performance"" / ""reruns"" / ""campaign-20260826-132038""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,122,08,"P_RERUN = REPO / ""docs"" / ""audits"" / ""2026-08-25-cm-deep-performance"" / ""reruns"" / ""campaign-20260826-132038""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,122,25,"P_RERUN = REPO / ""docs"" / ""audits"" / ""2026-08-25-cm-deep-performance"" / ""reruns"" / ""campaign-20260826-132038""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,122,20260826,"P_RERUN = REPO / ""docs"" / ""audits"" / ""2026-08-25-cm-deep-performance"" / ""reruns"" / ""campaign-20260826-132038""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,122,132038,"P_RERUN = REPO / ""docs"" / ""audits"" / ""2026-08-25-cm-deep-performance"" / ""reruns"" / ""campaign-20260826-132038""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,139,2026,"P_REMAINING = REPO / ""docs"" / ""audits"" / ""2026-08-25-cm-deep-performance"" / ""remaining-work""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,139,08,"P_REMAINING = REPO / ""docs"" / ""audits"" / ""2026-08-25-cm-deep-performance"" / ""remaining-work""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,139,25,"P_REMAINING = REPO / ""docs"" / ""audits"" / ""2026-08-25-cm-deep-performance"" / ""remaining-work""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
