claim_id,claim_text_or_token,value,source_file_and_field,evidence_date,evidence_role,page_audience,status,action
token:b1.identity_mismatches,"b1.identity_mismatches — cm_master_shared.js:1721: `(${T(""b1.identity_mismatches"")} mismatches over ${T(""b1.n_formulas"")} formulas), so this is a replay of ` +",0,deliverables_n22_24/b1_e3_replay_2026_08_03/b1_acceptance_check_results_2026_08_03.json :: n_identity_mismatches,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:b1.n_formulas,"b1.n_formulas — cm_master_shared.js:1721: `(${T(""b1.identity_mismatches"")} mismatches over ${T(""b1.n_formulas"")} formulas), so this is a replay of ` +",192,deliverables_n22_24/b1_e3_replay_2026_08_03/cm_gap_e3_corrected_results_2026_08_02.json :: len(formulas),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:b3.ladder.nodes,"b3.ladder.nodes — cm_master_shared.js:1687: `occurrences — but only ${T(""b3.ladder.nodes"")} distinct shared nodes — in ${T(""b3.ladder.prep_us"")}. ` +",77,deliverables_n22_24/b3_scaling_2026_08_03/CM_b3_scaling_summary_2026_08_03.csv :: structural_dag_nodes for shared_ladder_d20,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:b3.ladder.prep_us,"b3.ladder.prep_us — cm_master_shared.js:1687: `occurrences — but only ${T(""b3.ladder.nodes"")} distinct shared nodes — in ${T(""b3.ladder.prep_us"")}. ` +",984.499987680465,deliverables_n22_24/b3_scaling_2026_08_03/CM_b3_scaling_summary_2026_08_03.csv :: cm_prep_us for shared_ladder_d20,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:b3.ladder.sharing,"b3.ladder.sharing — cm_master_template.html:227: ""{{b3.ladder.sharing}} at the extreme case. Across all {{b3.n_cases}} cases, CM preparation costs "" +",108942.8961038961,deliverables_n22_24/b3_scaling_2026_08_03/CM_b3_scaling_summary_2026_08_03.csv :: sharing_factor for shared_ladder_d20,2026-08-03,accepted benchmark or repository evidence,master/index.html,current,retained or updated; builder uniqueness/provenance gate
token:b3.ladder.unfolded,"b3.ladder.unfolded — cm_master_shared.js:1686: note: `The extreme case compiles an expression whose unfolded form has ${T(""b3.ladder.unfolded"")} ` +",8388603,deliverables_n22_24/b3_scaling_2026_08_03/CM_b3_scaling_summary_2026_08_03.csv :: unfolded_occurrences for shared_ladder_d20,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:b3.n_cases,"b3.n_cases — cm_master_template.html:227: ""{{b3.ladder.sharing}} at the extreme case. Across all {{b3.n_cases}} cases, CM preparation costs "" +",31,deliverables_n22_24/b3_scaling_2026_08_03/CM_b3_scaling_summary_2026_08_03.csv :: row count,2026-08-03,accepted benchmark or repository evidence,master/index.html,current,retained or updated; builder uniqueness/provenance gate
token:b3.prep_ratio.max,"b3.prep_ratio.max — cm_master_content_2026_08_03.json:1042: ""technical_statement"": ""Preparation costs {{be.syn.prep}} plain-CSE prep on the synthetic corpus, {{be.epflcse.prep}} on the external corpus against the same baseline, and {{be.epfl.prep}} against CSE-flat, with a per-ca",7.929535998212754,deliverables_n22_24/b3_scaling_2026_08_03/CM_b3_scaling_summary_2026_08_03.csv :: max(prep_ratio_cm_vs_cse),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:b3.prep_ratio.min,"b3.prep_ratio.min — cm_master_content_2026_08_03.json:1042: ""technical_statement"": ""Preparation costs {{be.syn.prep}} plain-CSE prep on the synthetic corpus, {{be.epflcse.prep}} on the external corpus against the same baseline, and {{be.epfl.prep}} against CSE-flat, with a per-ca",2.2012786942198495,deliverables_n22_24/b3_scaling_2026_08_03/CM_b3_scaling_summary_2026_08_03.csv :: min(prep_ratio_cm_vs_cse),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:b4.ambient_ns,"b4.ambient_ns — cm_master_content_2026_08_03.json:513: ""This is not a modelling assumption; it was measured. Holding <code>live_k</code> fixed and varying the ambient namespace across {{b4.ambient_ns}} moves the measured ratio by {{b4.k16.spread}}.""","16, 20, 24",deliverables_n22_24/b4_sweep_2026_08_03/CM_b4_headline_summary_2026_08_03.csv :: distinct ambient_n,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:b4.geomean.max,"b4.geomean.max — cm_master_content_2026_08_03.json:977: ""replaced_by"": ""BitSet leads at every supported public-wrapper support measured: {{wrap.min_median}}–{{wrap.k4.median}} on the dedicated sweep, and {{b4.geomean.min}}–{{b4.geomean.max}} on the original-protocol rerun. Bo",1.8020119238705656,deliverables_n22_24/b4_sweep_2026_08_03/CM_b4_headline_summary_2026_08_03.csv :: max(paired_ratio_geomean),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:b4.geomean.min,"b4.geomean.min — cm_master_content_2026_08_03.json:977: ""replaced_by"": ""BitSet leads at every supported public-wrapper support measured: {{wrap.min_median}}–{{wrap.k4.median}} on the dedicated sweep, and {{b4.geomean.min}}–{{b4.geomean.max}} on the original-protocol rerun. Bo",1.2881254013967713,deliverables_n22_24/b4_sweep_2026_08_03/CM_b4_headline_summary_2026_08_03.csv :: min(paired_ratio_geomean),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:b4.k16.spread,"b4.k16.spread — cm_master_content_2026_08_03.json:513: ""This is not a modelling assumption; it was measured. Holding <code>live_k</code> fixed and varying the ambient namespace across {{b4.ambient_ns}} moves the measured ratio by {{b4.k16.spread}}.""",0.040134881185910354,deliverables_n22_24/b4_sweep_2026_08_03/CM_b4_headline_summary_2026_08_03.csv :: max-min of paired_ratio_geomean at live_k=16 across ambient n,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.epfl.finite,be.epfl.finite,74,deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: count finite breakeven,2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; token currently not rendered,current,retained or updated; builder uniqueness/provenance gate
token:be.epfl.median,"be.epfl.median — cm_master_content_2026_08_03.json:669: ""<b>Baselines must be matched before any two of these figures are compared.</b> Against plain CSE: synthetic median {{be.syn.median}} with {{be.syn.never}} of {{be.syn.total}} never, prep {{be.syn.prep}}; EPFL median {{b",174.5,deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: median of finite breakeven_evals_vs_cse_flat,2026-08-03,accepted benchmark or repository evidence,expert/expert.html; master/index.html; layperson/layperson.html; investor/investor.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.epfl.median.matched,"be.epfl.median.matched — cm_master_content_2026_08_03.json:663: ""That break-even number is the single most useful thing to know about your workload. Against a plain, unflattened baseline the typical synthetic expression needs about {{be.syn.median}} evaluations, and the typical real ",105.0,deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: median of finite breakeven_evals_vs_cse (matched to the synthetic arm's plain-CSE baseline),2026-08-03,accepted benchmark or repository evidence,layperson/layperson.html; investor/investor.html; expert/expert.html; master/index.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.epfl.never,"be.epfl.never — cm_master_content_2026_08_03.json:664: ""Against a properly flattened baseline, break-even depends on the workload. On the EPFL AND/INV workload each evaluation was effectively tied, so there was nothing to accumulate and {{be.epfl.never}} of {{be.epfl.total}}",55,deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: count never_breaks_even_vs_cse_flat,2026-08-03,accepted benchmark or repository evidence,investor/investor.html; expert/expert.html; master/index.html; layperson/layperson.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.epfl.never_pct,"be.epfl.never_pct — cm_master_content_2026_08_03.json:669: ""<b>Baselines must be matched before any two of these figures are compared.</b> Against plain CSE: synthetic median {{be.syn.median}} with {{be.syn.never}} of {{be.syn.total}} never, prep {{be.syn.prep}}; EPFL median {{b",42.63565891472868,deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: 100*never/total (vs CSE-flat),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.epfl.prep,"be.epfl.prep — cm_master_content_2026_08_03.json:669: ""<b>Baselines must be matched before any two of these figures are compared.</b> Against plain CSE: synthetic median {{be.syn.median}} with {{be.syn.never}} of {{be.syn.total}} never, prep {{be.syn.prep}}; EPFL median {{b",4.109734198700316,deliverables_n22_24/epfl_run_2026_08_03/cm_gap_epfl_analysis_2026_08_03.json :: prep_multiple_cm_vs_cse_flat_geomean,2026-08-03,accepted benchmark or repository evidence,expert/expert.html; master/index.html; layperson/layperson.html; investor/investor.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.epfl.total,"be.epfl.total — cm_master_content_2026_08_03.json:664: ""Against a properly flattened baseline, break-even depends on the workload. On the EPFL AND/INV workload each evaluation was effectively tied, so there was nothing to accumulate and {{be.epfl.never}} of {{be.epfl.total}}",129,deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: count rows status=ok,2026-08-03,accepted benchmark or repository evidence,investor/investor.html; expert/expert.html; master/index.html; layperson/layperson.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.epflcse.finite,be.epflcse.finite,100,deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: count finite breakeven_evals_vs_cse,2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; token currently not rendered,current,retained or updated; builder uniqueness/provenance gate
token:be.epflcse.never,"be.epflcse.never — cm_master_content_2026_08_03.json:669: ""<b>Baselines must be matched before any two of these figures are compared.</b> Against plain CSE: synthetic median {{be.syn.median}} with {{be.syn.never}} of {{be.syn.total}} never, prep {{be.syn.prep}}; EPFL median {{b",29,deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: count never_breaks_even_vs_cse (matched baseline),2026-08-03,accepted benchmark or repository evidence,expert/expert.html; master/index.html; layperson/layperson.html; investor/investor.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.epflcse.prep,"be.epflcse.prep — cm_master_content_2026_08_03.json:669: ""<b>Baselines must be matched before any two of these figures are compared.</b> Against plain CSE: synthetic median {{be.syn.median}} with {{be.syn.never}} of {{be.syn.total}} never, prep {{be.syn.prep}}; EPFL median {{b",4.214829880300661,deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: geomean(prep_ratio_cm_vs_cse) over status=ok rows,2026-08-03,accepted benchmark or repository evidence,expert/expert.html; master/index.html; layperson/layperson.html; investor/investor.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.syn.finite,be.syn.finite,157,deliverables_n22_24/b1_e3_replay_2026_08_03/cm_gap_e3_corrected_results_2026_08_02.json :: count finite breakeven,2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; token currently not rendered,current,retained or updated; builder uniqueness/provenance gate
token:be.syn.median,"be.syn.median — cm_master_content_2026_08_03.json:663: ""That break-even number is the single most useful thing to know about your workload. Against a plain, unflattened baseline the typical synthetic expression needs about {{be.syn.median}} evaluations, and the typical real ",78,deliverables_n22_24/b1_e3_replay_2026_08_03/cm_gap_e3_corrected_results_2026_08_02.json :: median of finite breakeven_evals_vs_cse,2026-08-03,accepted benchmark or repository evidence,layperson/layperson.html; investor/investor.html; expert/expert.html; master/index.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.syn.never,"be.syn.never — cm_master_content_2026_08_03.json:669: ""<b>Baselines must be matched before any two of these figures are compared.</b> Against plain CSE: synthetic median {{be.syn.median}} with {{be.syn.never}} of {{be.syn.total}} never, prep {{be.syn.prep}}; EPFL median {{b",35,deliverables_n22_24/b1_e3_replay_2026_08_03/cm_gap_e3_corrected_results_2026_08_02.json :: count never_breaks_even_vs_cse,2026-08-03,accepted benchmark or repository evidence,expert/expert.html; master/index.html; layperson/layperson.html; investor/investor.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.syn.prep,"be.syn.prep — cm_master_content_2026_08_03.json:669: ""<b>Baselines must be matched before any two of these figures are compared.</b> Against plain CSE: synthetic median {{be.syn.median}} with {{be.syn.never}} of {{be.syn.total}} never, prep {{be.syn.prep}}; EPFL median {{b",4.395430294833716,deliverables_n22_24/b1_e3_replay_2026_08_03/cm_gap_e3_corrected_results_2026_08_02.json :: geomean(prep_ratio_cm_vs_cse),2026-08-03,accepted benchmark or repository evidence,expert/expert.html; master/index.html; layperson/layperson.html; investor/investor.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:be.syn.total,"be.syn.total — cm_master_content_2026_08_03.json:669: ""<b>Baselines must be matched before any two of these figures are compared.</b> Against plain CSE: synthetic median {{be.syn.median}} with {{be.syn.never}} of {{be.syn.total}} never, prep {{be.syn.prep}}; EPFL median {{b",192,deliverables_n22_24/b1_e3_replay_2026_08_03/cm_gap_e3_corrected_results_2026_08_02.json :: len(formulas),2026-08-03,accepted benchmark or repository evidence,expert/expert.html; master/index.html; layperson/layperson.html; investor/investor.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
