claim_id,kind,token,displayed_or_referenced,routes,section_or_chart,data_path,raw_value,rendered_value,contract_identity,evidence_role,cutoff_class,verdict,recommended_action,provenance
NUM-0001,named_numeric_token,arch.complete.bitset_wins,True,expert.html,current exact architecture and query-ladder tables,,78,78,not applicable or defined by the adjacent chart/table contract,current_confirmation_or_control,at_or_before_normal_cutoff_or_undated,correct_for_named_architecture_contract_through_cutoff,"Retain explicit task, host, baseline, and charged-boundary labels; do not generalize to a universal CM winner.",docs/recognition/architecture_comparison_execution_retry_20260903/ANALYSIS.json :: lanes.A.direct_bitset_over_best_fixed_cm.case_clusters - candidate_case_wins
NUM-0002,named_numeric_token,arch.complete.cases,True,expert.html,current exact architecture and query-ladder tables,,78,78,not applicable or defined by the adjacent chart/table contract,current_confirmation_or_control,at_or_before_normal_cutoff_or_undated,correct_for_named_architecture_contract_through_cutoff,"Retain explicit task, host, baseline, and charged-boundary labels; do not generalize to a universal CM winner.",docs/recognition/architecture_comparison_execution_retry_20260903/ANALYSIS.json :: lanes.A.direct_bitset_over_best_fixed_cm.case_clusters
NUM-0003,named_numeric_token,arch.complete.cm_over_bitset,True,expert.html,current exact architecture and query-ladder tables,,0.929550053969419,0.930×,named_candidate speedup over comparator; above 1 favors the named candidate,current_confirmation_or_control,at_or_before_normal_cutoff_or_undated,correct_for_named_architecture_contract_through_cutoff,"Retain explicit task, host, baseline, and charged-boundary labels; do not generalize to a universal CM winner.",docs/recognition/architecture_comparison_execution_retry_20260903/ANALYSIS.json :: lanes.A.direct_bitset_over_best_fixed_cm.case_cluster_geomean_speedup
NUM-0004,named_numeric_token,arch.complete.cm_over_bitset_hi,True,expert.html,current exact architecture and query-ladder tables,,0.9372462694795436,0.937×,named_candidate speedup over comparator; above 1 favors the named candidate,current_confirmation_or_control,at_or_before_normal_cutoff_or_undated,correct_for_named_architecture_contract_through_cutoff,"Retain explicit task, host, baseline, and charged-boundary labels; do not generalize to a universal CM winner.",docs/recognition/architecture_comparison_execution_retry_20260903/ANALYSIS.json :: lanes.A.direct_bitset_over_best_fixed_cm.case_cluster_bootstrap_ci95_high
NUM-0005,named_numeric_token,arch.complete.cm_over_bitset_lo,True,expert.html,current exact architecture and query-ladder tables,,0.9219159117813743,0.922×,named_candidate speedup over comparator; above 1 favors the named candidate,current_confirmation_or_control,at_or_before_normal_cutoff_or_undated,correct_for_named_architecture_contract_through_cutoff,"Retain explicit task, host, baseline, and charged-boundary labels; do not generalize to a universal CM winner.",docs/recognition/architecture_comparison_execution_retry_20260903/ANALYSIS.json :: lanes.A.direct_bitset_over_best_fixed_cm.case_cluster_bootstrap_ci95_low
NUM-0006,named_numeric_token,arch.complete.cm_over_dense,True,expert.html,current exact architecture and query-ladder tables,,1.0533002936000821,1.053×,named_candidate speedup over comparator; above 1 favors the named candidate,current_confirmation_or_control,at_or_before_normal_cutoff_or_undated,correct_for_named_architecture_contract_through_cutoff,"Retain explicit task, host, baseline, and charged-boundary labels; do not generalize to a universal CM winner.",docs/recognition/architecture_comparison_execution_retry_20260903/ANALYSIS.json :: lanes.A.best_fixed_cm_over_dense.case_cluster_geomean_speedup
NUM-0007,named_numeric_token,arch.complete.cm_over_dense_hi,True,expert.html,current exact architecture and query-ladder tables,,1.060967111692112,1.061×,named_candidate speedup over comparator; above 1 favors the named candidate,current_confirmation_or_control,at_or_before_normal_cutoff_or_undated,correct_for_named_architecture_contract_through_cutoff,"Retain explicit task, host, baseline, and charged-boundary labels; do not generalize to a universal CM winner.",docs/recognition/architecture_comparison_execution_retry_20260903/ANALYSIS.json :: lanes.A.best_fixed_cm_over_dense.case_cluster_bootstrap_ci95_high
NUM-0008,named_numeric_token,arch.complete.cm_over_dense_lo,True,expert.html,current exact architecture and query-ladder tables,,1.0457643288196516,1.046×,named_candidate speedup over comparator; above 1 favors the named candidate,current_confirmation_or_control,at_or_before_normal_cutoff_or_undated,correct_for_named_architecture_contract_through_cutoff,"Retain explicit task, host, baseline, and charged-boundary labels; do not generalize to a universal CM winner.",docs/recognition/architecture_comparison_execution_retry_20260903/ANALYSIS.json :: lanes.A.best_fixed_cm_over_dense.case_cluster_bootstrap_ci95_low
NUM-0009,named_numeric_token,arch.ladder.memory_nonzero_rows,True,expert.html,current exact architecture and query-ladder tables,,0,0,not applicable or defined by the adjacent chart/table contract,current_confirmation_or_control,at_or_before_normal_cutoff_or_undated,correct_for_named_architecture_contract_through_cutoff,"Retain explicit task, host, baseline, and charged-boundary labels; do not generalize to a universal CM winner.",docs/recognition/architecture_query_ladder_cross_machine_execution_20260904/CROSS_MACHINE_ANALYSIS.json :: memory.prior_incremental_peak_nonzero_rows + memory.current_incremental_peak_nonzero_rows
NUM-0010,named_numeric_token,arch.ladder.q1.clang.cse,True,expert.html,current exact architecture and query-ladder tables,,0.8204151017574389,0.820×,named_candidate speedup over comparator; above 1 favors the named candidate,current_confirmation_or_control,at_or_before_normal_cutoff_or_undated,correct_for_named_architecture_contract_through_cutoff,"Retain explicit task, host, baseline, and charged-boundary labels; do not generalize to a universal CM winner.",docs/recognition/architecture_query_ladder_cross_machine_execution_20260904/CROSS_MACHINE_ANALYSIS.json :: hosts.clang_epyc_9575f.query_counts.1.speedup_over_r2.cse_flat_bigint.case_cluster_geomean_speedup
