corpus,role,id,cluster,live_k,repetitions,baseline_ns_median,candidate_ns_median,ratio,baseline_ns_p10,baseline_ns_p90,candidate_ns_p10,candidate_ns_p90,baseline_peak_bytes,candidate_peak_bytes,peak_bytes_ratio,canonical_key_equal,packed_output_equal,packed_sha256
bx1,tuning,bx1-k2-1-54f10b4162e0,bx1:family:unknown:tree,2,11,17451.0,17030.0,0.9758753080052719,16790.0,19270.0,16420.0,20071.0,,,,True,True,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9
bx1,tuning,bx1-k2-2-b518dd4ce7ff,bx1:family:unknown:tree,2,11,27301.0,26081.0,0.955312992198088,25471.0,29440.0,25060.0,28281.0,,,,True,True,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6
bx1,tuning,bx1-k2-3-95c6829453f6,bx1:family:unknown:tree,2,11,18680.0,18840.0,1.0085653104925054,17561.0,23130.0,17120.0,21690.0,,,,True,True,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a
bx1,tuning,bx1-k2-4-32783dec984f,bx1:family:unknown:tree,2,11,15520.0,15270.0,0.9838917525773195,15171.0,16331.0,14660.0,16130.0,,,,True,True,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6
bx1,tuning,bx1-k2-5-fc111ecef3a9,bx1:family:unknown:shared,2,11,62270.0,61191.0,0.9826722338204593,61031.0,65911.0,59271.0,66951.0,,,,True,True,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47
bx1,tuning,bx1-k2-6-7d06ed9915a2,bx1:family:unknown:shared,2,11,91971.0,90701.0,0.9861912994313425,91141.0,95251.0,89401.0,94241.0,,,,True,True,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,bx1:family:unknown:tree,2,11,32160.0,31191.0,0.9698694029850746,31000.0,35540.0,30641.0,33161.0,,,,True,True,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
bx1,tuning,bx1-k2-8-7cec1b883a82,bx1:family:unknown:shared,2,11,96812.0,95491.0,0.9863549973143825,95531.0,99291.0,93921.0,96991.0,,,,True,True,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879
bx1,tuning,bx1-k3-1-6189f2994067,bx1:family:unknown:tree,3,11,37671.0,36731.0,0.975047118473096,36990.0,41230.0,35800.0,38690.0,,,,True,True,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731
bx1,tuning,bx1-k3-2-c073c4cae16c,bx1:family:unknown:shared,3,11,119572.0,115731.0,0.9678770949720671,115991.0,122231.0,113871.0,117881.0,,,,True,True,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
bx1,tuning,bx1-k3-3-2cf6fe6bc52c,bx1:family:unknown:tree,3,11,44051.0,43200.0,0.9806814828267235,43511.0,45630.0,41860.0,45710.0,,,,True,True,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112
bx1,tuning,bx1-k3-4-6f4b1568a0b2,bx1:family:unknown:shared,3,11,85361.0,82951.0,0.9717669661789342,84401.0,91131.0,82141.0,85891.0,,,,True,True,50868f20258bbc9cce0da2719e8654c108733dd2f663b8737c574ec0ead93eb3
bx1,tuning,bx1-k3-5-9d6635482dd7,bx1:family:unknown:tree,3,11,30870.0,29791.0,0.9650469711694202,30001.0,32711.0,29250.0,32450.0,,,,True,True,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a
bx1,tuning,bx1-k3-6-6e2e20f77614,bx1:family:unknown:tree,3,11,31370.0,30691.0,0.9783551163532037,30250.0,32970.0,29411.0,32861.0,,,,True,True,9e076ceaf246b6003d9c2680a2b4cf0bffd069805902b0b5edeebf49039fe4bd
bx1,tuning,bx1-k3-7-7eea095f4c98,bx1:family:unknown:tree,3,11,29910.0,29341.0,0.9809762621196925,29331.0,32111.0,28410.0,32040.0,,,,True,True,3e151409ace91cb3394fecd59e92b5dc42c0aad29993a1858f2f70a0866a539b
bx1,tuning,bx1-k3-8-a6d677a5a9c6,bx1:family:unknown:shared,3,11,92721.0,99591.0,1.0740932474843887,75651.0,108661.0,73821.0,102791.0,,,,True,True,fe1dcd3abfcd6b1655a026e60a05d03a7f71e4b6070f36e6c7e9c4b6f3d3bf1b
bx1,tuning,bx1-k4-1-3d5e8d379589,bx1:family:unknown:tree,4,11,43821.0,43061.0,0.9826567170991077,42731.0,49710.0,41410.0,46040.0,,,,True,True,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec
bx1,tuning,bx1-k4-2-dc59c9d65758,bx1:family:unknown:tree,4,11,42670.0,41091.0,0.9629950785094914,41791.0,44200.0,40590.0,42681.0,,,,True,True,0c3f8fb85969c5f63bbb8cd980c4089845e43c24d46f2f3d36dac81ec4a6b5e9
bx1,tuning,bx1-k4-3-ab064aa12f01,bx1:family:unknown:tree,4,11,44741.0,44320.0,0.990590286314566,43711.0,47260.0,42801.0,45461.0,,,,True,True,fc5c2283015b212d975b85e56b2a75aac4b50bd5aba30cbe74f62857c380bd47
bx1,tuning,bx1-k4-4-341296acd12a,bx1:family:unknown:tree,4,11,43530.0,43740.0,1.0048242591316334,42011.0,46081.0,41720.0,46080.0,,,,True,True,dc957fb3268bfbc0fe10280b72493204a4a93b515bc94d24bd3a535c3f1cec88
bx1,tuning,bx1-k4-5-2c4ebec5300e,bx1:family:unknown:tree,4,11,35771.0,34971.0,0.9776355148024937,34800.0,38070.0,33380.0,36580.0,,,,True,True,a5f6a4547f1b079ee5452d9ca3ddca4e9c67df04289297a3865575f3f14539b3
bx1,tuning,bx1-k4-6-cfc288ac73fb,bx1:family:unknown:shared,4,11,154451.0,151762.0,0.9825899476209283,151922.0,157562.0,149672.0,156802.0,,,,True,True,51cf98f7d7cc561328db7f0f423f71139a220416148bc30dc5fc9c8f495b0a7f
bx1,tuning,bx1-k4-7-3e9177a0a359,bx1:family:unknown:tree,4,11,32491.0,32231.0,0.9919977840017236,31390.0,34650.0,30650.0,33720.0,,,,True,True,576058b879ad23fe9231e3e6bbc2ddb5547e70f54b9311e3ea35b63cda778021
