corpus,role,id,cluster,live_k,repetitions,baseline_ns_median,candidate_ns_median,ratio,baseline_ns_p10,baseline_ns_p90,candidate_ns_p10,candidate_ns_p90,baseline_peak_bytes,candidate_peak_bytes,peak_bytes_ratio,canonical_key_equal,packed_output_equal,packed_sha256
epfl,validation_reused,epfl-arithmetic-multiplier-po4-54b9cbe5da,epfl:circuit:multiplier.aig,10,5,1767139.0,1744069.0,0.9869449997991103,1751983.0,1856782.6,1718742.0,1751839.0,,,,True,True,a4bfed488609e5107454f3c60631dc9478e8d8058b5a710d99f59e3be21467ea
epfl,validation_reused,epfl-arithmetic-multiplier-po5-ad1045c3bc,epfl:circuit:multiplier.aig,12,5,1733689.0,1684248.0,0.9714821977874925,1719287.0,2198861.8,1663246.0,2291075.2,,,,True,True,9b6a7a15d2450265125ff2d0882f989c169ad27b5f22ac15faf1a9845b9d4be9
epfl,validation_reused,epfl-arithmetic-multiplier-po6-1ed43b9012,epfl:circuit:multiplier.aig,14,5,2220644.0,2210694.0,0.9955193178195154,2217566.0,2236592.4,2187900.0,2289293.0,,,,True,True,81f326f27605be20525566c09a58817cd052cfbbe82c0a03e4837c12214e4294
epfl,validation_reused,epfl-arithmetic-multiplier-internal72-32d8a19161,epfl:circuit:multiplier.aig,8,5,376674.0,365954.0,0.9715403770900035,371998.0,380416.0,364858.0,373454.4,,,,True,True,94b5b537c776457a60ff4d7497a7e9363e97323f91ba241e335eb0476f302a63
epfl,validation_reused,epfl-arithmetic-multiplier-internal2314-b18e1af7fc,epfl:circuit:multiplier.aig,15,5,764058.0,738238.0,0.9662067539375283,761268.0,775220.0,732617.4,749090.3999999999,,,,True,True,1d27d2717ee24a52912668cd788986209715cce7ce28d164e08dddf51a004507
epfl,validation_reused,epfl-arithmetic-multiplier-internal7576-a86c4496f1,epfl:circuit:multiplier.aig,16,5,810769.0,779049.0,0.9608766492058773,806829.0,857346.6,773572.6,784588.0,,,,True,True,fcfcfaa9e1207088156a88507dec2d35c22f1af36b590f96bcb98aff95237677
epfl,validation_reused,epfl-arithmetic-multiplier-internal26856-ce1452e666,epfl:circuit:multiplier.aig,8,5,263983.0,253763.0,0.9612853858013585,260136.59999999998,267624.6,253035.0,262427.0,,,,True,True,5b1311b0bd79a5281a8098298bbfab287bdf3484752e78841dd644636f1b2400
epfl,validation_reused,epfl-arithmetic-sin-internal473-3d94727928,epfl:circuit:sin.aig,15,5,292573.0,289673.0,0.9900879438635828,291077.0,294483.0,285865.6,290771.4,,,,True,True,ea2436278464508cf40dafdb68691a17b11649d0ad661adeb7fac75363fe48e0
epfl,validation_reused,epfl-arithmetic-sin-internal618-7a9d438d5b,epfl:circuit:sin.aig,13,5,215213.0,207652.0,0.9648673639603556,211640.0,215488.0,203820.0,211952.40000000002,,,,True,True,4c6aae58f1e5eb08bba9e16f5446a4787129b7312b7602726bae9c99a71c442f
epfl,validation_reused,epfl-arithmetic-sin-internal960-85572a6224,epfl:circuit:sin.aig,8,5,122331.0,117781.0,0.9628058300839526,120781.6,123433.0,116797.4,120089.4,,,,True,True,c898ea29e1a22accb12fa471817d9a314a8bad31404f711c42721a50e2de6c9f
epfl,validation_reused,epfl-arithmetic-sin-internal2610-34083b18d5,epfl:circuit:sin.aig,14,5,373864.0,366273.0,0.9796958252198661,371794.6,384816.0,365196.0,369608.0,,,,True,True,1941668a0bc7f7c56d381d239832a38c13b3ddda8208579a0893ec63d16ec83b
epfl,validation_reused,epfl-arithmetic-sin-internal2639-ac10ac7863,epfl:circuit:sin.aig,13,5,326893.0,320934.0,0.9817707935012374,326345.6,340122.0,318547.6,321259.6,,,,True,True,5f56ecd00688c513065dff9ebfe794aef190187d420700c059806a94264b2cea
epfl,validation_reused,epfl-arithmetic-sin-internal2747-d32e2cbf05,epfl:circuit:sin.aig,10,5,256143.0,248233.0,0.9691188125383087,251415.0,268873.0,245046.59999999998,249562.4,,,,True,True,dee17dc6fffdb437cc0fc8458ee6fa21b3f3bb6c68f3543f82696c920e561034
epfl,validation_reused,epfl-arithmetic-sin-internal2767-a8eda7f06b,epfl:circuit:sin.aig,10,5,419704.0,407645.0,0.9712678459104511,411744.0,422225.0,403268.4,409996.4,,,,True,True,2911254d25b48e8560e6fdac5481c650b0a1816803e90b2cb3ce7b7dcd28238e
epfl,validation_reused,epfl-arithmetic-sqrt-po56-f681a5806f,epfl:circuit:sqrt.aig,16,5,4420329.0,4397638.0,0.9948666716889173,4377821.4,4631300.2,4310545.4,4510747.6,,,,True,True,08c917b6f5d4403578735f27f1b4d9a707d04213386d5399f4719299bf90969a
epfl,validation_reused,epfl-arithmetic-sqrt-po57-bf55ec5ca5,epfl:circuit:sqrt.aig,14,5,3195965.0,3122924.0,0.9771458698702896,3158950.4,3313064.5999999996,3115928.0,3260359.6,,,,True,True,887381e00e8341985e2f4c4a753e64206825d568f1989680a9120b415f0b0fb8
epfl,validation_reused,epfl-arithmetic-sqrt-po58-036819cd52,epfl:circuit:sqrt.aig,12,5,2124443.0,2082572.0,0.980290833879751,2111643.0,2165211.0,2075940.6,2179533.6,,,,True,True,1edc01d694775274693859415b28a12a7e474c3aa52d13ee8d3b87e304aad8db
epfl,validation_reused,epfl-arithmetic-sqrt-po59-fa6cca6484,epfl:circuit:sqrt.aig,10,5,1311734.0,1276594.0,0.9732110321147428,1300662.0,1314868.6,1265958.0,1285970.0,,,,True,True,256f9b141dd39200db1847d03423d5f3524faed05e9b5320913137e807626310
epfl,validation_reused,epfl-arithmetic-sqrt-po60-dfcf257f53,epfl:circuit:sqrt.aig,8,5,688418.0,675247.0,0.9808677286183685,684281.4,691293.6,663385.0,678103.6,,,,True,True,6b8bffdb7c7349ae997eb466bb5e536075207cf52b23433bdda570eacff4162f
epfl,validation_reused,epfl-arithmetic-sqrt-internal35-0d85c1edda,epfl:circuit:sqrt.aig,8,5,391544.0,379604.0,0.9695053429499622,385412.0,394650.4,375198.0,380580.0,,,,True,True,878b0dc406d6e458ba4487335c2e75415103fde3d496590fac7466c13088321e
