corpus,role,id,cluster,live_k,repetitions,baseline_ns_median,candidate_ns_median,ratio,baseline_ns_p10,baseline_ns_p90,candidate_ns_p10,candidate_ns_p90,baseline_peak_bytes,candidate_peak_bytes,peak_bytes_ratio,canonical_key_equal,packed_output_equal,packed_sha256
bx1,tuning,bx1-k2-1-54f10b4162e0,bx1:family:unknown:tree,2,11,17170.0,16870.0,0.982527664531159,16330.0,19790.0,15800.0,20241.0,,,,True,True,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9
bx1,tuning,bx1-k2-2-b518dd4ce7ff,bx1:family:unknown:tree,2,11,25310.0,24680.0,0.9751086527064401,24290.0,26830.0,23570.0,27930.0,,,,True,True,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6
bx1,tuning,bx1-k2-3-95c6829453f6,bx1:family:unknown:tree,2,11,18270.0,17460.0,0.9556650246305419,17490.0,19430.0,17030.0,19200.0,,,,True,True,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a
bx1,tuning,bx1-k2-4-32783dec984f,bx1:family:unknown:tree,2,11,15430.0,14670.0,0.9507453013609851,15000.0,18460.0,14480.0,15790.0,,,,True,True,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6
bx1,tuning,bx1-k2-5-fc111ecef3a9,bx1:family:unknown:shared,2,11,62580.0,60530.0,0.9672419303291786,61381.0,67600.0,59600.0,64810.0,,,,True,True,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47
bx1,tuning,bx1-k2-6-7d06ed9915a2,bx1:family:unknown:shared,2,11,90620.0,89010.0,0.9822335025380711,89371.0,96160.0,88401.0,91550.0,,,,True,True,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,bx1:family:unknown:tree,2,11,31230.0,30530.0,0.9775856548190842,30410.0,33081.0,29830.0,32930.0,,,,True,True,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
bx1,tuning,bx1-k2-8-7cec1b883a82,bx1:family:unknown:shared,2,11,96120.0,94880.0,0.9870994590095714,94440.0,101070.0,93240.0,98250.0,,,,True,True,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879
bx1,tuning,bx1-k3-1-6189f2994067,bx1:family:unknown:tree,3,11,37110.0,36400.0,0.9808676906494206,36660.0,41160.0,35330.0,37590.0,,,,True,True,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731
bx1,tuning,bx1-k3-2-c073c4cae16c,bx1:family:unknown:shared,3,11,117821.0,115400.0,0.9794518803948362,116530.0,122081.0,112941.0,119690.0,,,,True,True,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
