corpus,role,id,cluster,live_k,repetitions,baseline_ns_median,candidate_ns_median,ratio,baseline_ns_p10,baseline_ns_p90,candidate_ns_p10,candidate_ns_p90,baseline_peak_bytes,candidate_peak_bytes,peak_bytes_ratio,canonical_key_equal,packed_output_equal,packed_sha256
epfl,validation_reused,epfl-arithmetic-adder-po3-e22ec7119f,epfl:circuit:adder.aig,8,5,270061.0,265271.0,0.9822632664472101,268255.0,287437.0,261281.40000000002,272881.6,,,,True,True,5f85ccec0d99b17c1f1e24b9cc46ce3319945912648ce0a7842f2114eafcb741
epfl,validation_reused,epfl-arithmetic-adder-po4-ed17ac917c,epfl:circuit:adder.aig,10,5,343472.0,338881.0,0.986633553826804,343285.4,350311.4,335355.4,341967.4,,,,True,True,7438036983e270a3aae7df9a97a7adb27b08600271f54b1528fb7c79033c2900
epfl,validation_reused,epfl-arithmetic-adder-po5-d8df03f32b,epfl:circuit:adder.aig,12,5,422962.0,407702.0,0.9639211087520865,416598.0,428778.0,406031.4,409574.0,,,,True,True,cc1392ab2872a16263358c49d54f6f6a042ee879c568ff666eff15a4b702977b
epfl,validation_reused,epfl-arithmetic-adder-po6-5e5f8d2bf9,epfl:circuit:adder.aig,14,5,507712.0,491683.0,0.9684289518467163,501846.0,537006.0,487042.0,494704.6,,,,True,True,ed2f865d4c1d045128523bd100e5c1052d90c4ffdde819b5e6e720ddda2ec6d0
epfl,validation_reused,epfl-arithmetic-adder-po7-7187a359bb,epfl:circuit:adder.aig,16,5,589323.0,571902.0,0.9704389613166294,582754.4,595592.6,565782.0,575347.0,,,,True,True,9d28057f0e1c91056edd5e0780e22fabb109924591d348fee488088f94b03a13
epfl,validation_reused,epfl-arithmetic-adder-internal23-c8f7e7c3d1,epfl:circuit:adder.aig,8,5,242361.0,230661.0,0.951724906234914,239295.0,244389.0,228151.59999999998,231973.0,,,,True,True,8c303820e642d3085b45ccf82e502f884e33901014b7355ce9947a191d911173
epfl,validation_reused,epfl-arithmetic-adder-internal59-0da2adafe4,epfl:circuit:adder.aig,16,5,550242.0,539182.0,0.9798997531995013,497974.4,560954.0,536446.6,549703.0,,,,True,True,314c7a0e9d6ef2861621e1abd2ac969b70fafecc64f84c17e6e40dabd4aec203
epfl,validation_reused,epfl-arithmetic-bar-internal12-c0943537bc,epfl:circuit:bar.aig,8,5,159961.0,154070.0,0.9631722732416026,156655.0,167099.0,153152.4,163544.6,,,,True,True,8c8c379a4908901531f2f5d87fbfdb999cc6f4d090cf41d953e14297a29dedec
epfl,validation_reused,epfl-arithmetic-bar-internal946-d4ec02cf11,epfl:circuit:bar.aig,8,5,153360.0,148731.0,0.9698161189358372,151122.59999999998,156281.0,145841.0,150740.6,,,,True,True,de79b1ebef3a6a2f2e4ad16d21d48d5e932615c52349246d16cc90d3647da400
epfl,validation_reused,epfl-arithmetic-bar-internal1491-d851acd11c,epfl:circuit:bar.aig,8,5,149241.0,147250.0,0.9866591620265208,148376.0,153045.0,146851.0,148931.0,,,,True,True,79570f48654881e6c3b0293a3404059220fadaf331d51391080aeb1a61f9888e
epfl,validation_reused,epfl-arithmetic-bar-internal1655-92b9245782,epfl:circuit:bar.aig,8,5,153241.0,148651.0,0.9700471805848304,151926.0,156177.0,148035.0,154270.6,,,,True,True,0b86792efa3f1ec23b5e5fef89798ce65887056f734a22f0ec3bea3a09139cbe
epfl,validation_reused,epfl-arithmetic-bar-internal2321-8f03a00382,epfl:circuit:bar.aig,12,5,292351.0,287502.0,0.9834137731699225,286581.0,297319.0,283089.4,309159.60000000003,,,,True,True,898ae3e0a2d5b9a004896620f6100d41741c1f7a6c59afda8fc4fc20331b6df5
epfl,validation_reused,epfl-arithmetic-div-internal11-6e2b7582e6,epfl:circuit:div.aig,8,5,112401.0,106640.0,0.9487460075977971,111112.0,114401.0,105227.0,108082.0,,,,True,True,01d0fabd251fcbbe2b93b4b927b26ad2a1a99077152e45ded1e678afa45dbec5
epfl,validation_reused,epfl-arithmetic-div-internal205-17fa719fea,epfl:circuit:div.aig,10,5,165180.0,157091.0,0.9510291802881705,160184.4,167288.6,155095.0,160937.0,,,,True,True,997c1bbe98efbc30bcb4fc4bbe24093055e0fa4b85351e419f04bc96f6a3bea2
