corpus,role,id,cluster,live_k,repetitions,baseline_ns_median,candidate_ns_median,ratio,baseline_ns_p10,baseline_ns_p90,candidate_ns_p10,candidate_ns_p90,baseline_peak_bytes,candidate_peak_bytes,peak_bytes_ratio,canonical_key_equal,packed_output_equal,packed_sha256
bx1,tuning,bx1-k2-1-54f10b4162e0,bx1:family:unknown:tree,2,11,14638.0,14316.0,0.9780024593523705,14147.0,20829.0,13505.0,17092.0,,,,True,True,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9
bx1,tuning,bx1-k2-2-b518dd4ce7ff,bx1:family:unknown:tree,2,11,19807.0,19667.0,0.9929317917907811,19646.0,24566.0,19296.0,21139.0,,,,True,True,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6
bx1,tuning,bx1-k2-3-95c6829453f6,bx1:family:unknown:tree,2,11,15239.0,14808.0,0.9717173042850581,14808.0,18244.0,14497.0,22782.0,,,,True,True,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a
bx1,tuning,bx1-k2-4-32783dec984f,bx1:family:unknown:tree,2,11,13475.0,12974.0,0.9628200371057514,13114.0,13696.0,12684.0,13946.0,,,,True,True,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6
bx1,tuning,bx1-k2-5-fc111ecef3a9,bx1:family:unknown:shared,2,11,49893.0,48901.0,0.9801174513458801,48791.0,52328.0,47639.0,52618.0,,,,True,True,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47
bx1,tuning,bx1-k2-6-7d06ed9915a2,bx1:family:unknown:shared,2,11,73788.0,73247.0,0.9926681845286497,72707.0,77966.0,71985.0,76323.0,,,,True,True,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,bx1:family:unknown:tree,2,11,32250.0,33172.0,1.0285891472868216,25749.0,37059.0,25057.0,37220.0,,,,True,True,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
bx1,tuning,bx1-k2-8-7cec1b883a82,bx1:family:unknown:shared,2,11,77215.0,77765.0,1.0071229683351681,76142.0,80851.0,74480.0,82896.0,,,,True,True,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879
bx1,tuning,bx1-k3-1-6189f2994067,bx1:family:unknown:tree,3,11,30417.0,29405.0,0.9667291317355426,30096.0,32451.0,29055.0,30397.0,,,,True,True,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731
bx1,tuning,bx1-k3-2-c073c4cae16c,bx1:family:unknown:shared,3,11,97172.0,98494.0,1.0136047421067798,96651.0,100648.0,96972.0,102933.0,,,,True,True,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
