corpus,role,id,cluster,live_k,repetitions,baseline_ns_median,candidate_ns_median,ratio,baseline_ns_p10,baseline_ns_p90,candidate_ns_p10,candidate_ns_p90,baseline_peak_bytes,candidate_peak_bytes,peak_bytes_ratio,canonical_key_equal,packed_output_equal,packed_sha256
epfl,validation_reused,epfl-arithmetic-hyp-internal60556-85a8c283b2,epfl:circuit:hyp.aig,12,5,270187.0,282900.0,1.0470525969051065,264985.0,276368.0,268835.4,286276.4,,,,True,True,068cc6dea0f88cf6c0cc4c18cb930df20504334f2df745ea0ba2b63d9c114d87
epfl,validation_reused,epfl-arithmetic-hyp-internal76240-1bc3a2623d,epfl:circuit:hyp.aig,12,5,330790.0,342953.0,1.0367695516793132,329573.4,384367.8,322191.6,347611.0,,,,True,True,e7557c59ce00eb6eac61299f2e160fc750fec37af064a2bf539668e19c462bdc
epfl,validation_reused,epfl-arithmetic-hyp-internal97454-29cafc7bc4,epfl:circuit:hyp.aig,10,5,206056.0,198021.0,0.9610057460107931,202862.0,221695.8,196588.40000000002,200132.8,,,,True,True,6ae90b00e22334d16b32f3d55eca283934424b24de7bb04bdf7380a4e42aeaaf
epfl,validation_reused,epfl-arithmetic-hyp-internal119304-16daab6b7b,epfl:circuit:hyp.aig,12,5,340618.0,331632.0,0.9736185404177113,329349.0,352081.8,317773.2,340221.8,,,,True,True,1c4d64d031df1f1e95ff233263a3bef9131a16bacc361ce541751c5252b84018
epfl,validation_reused,epfl-arithmetic-hyp-internal212060-c28ab69616,epfl:circuit:hyp.aig,8,5,569417.0,551824.0,0.9691034865485224,564343.2,577066.6,549201.0,587954.0,,,,True,True,c1ba94e94e9e5bda403528c481e360a007a4338aec7850571e72a8ba0d9e4a12
epfl,validation_reused,epfl-arithmetic-log2-internal16-c3a7b25434,epfl:circuit:log2.aig,8,5,103093.0,100418.0,0.9740525544896356,100310.0,111995.4,97903.4,103092.8,,,,True,True,3269aeb6831504cb8679ea40f749072951eb1728cc5e21e45fd0d6b423f6fa42
epfl,validation_reused,epfl-arithmetic-log2-internal1914-5f203d9539,epfl:circuit:log2.aig,8,5,5152763.0,5133968.0,0.9963524423692687,5115485.4,5173209.6,5031648.6,5453841.4,,,,True,True,572dbdacc4bddfa324214e5e0f808bf1673be4ab3cbd524794866e03edfe9660
epfl,validation_reused,epfl-arithmetic-log2-internal3778-4bd86194c9,epfl:circuit:log2.aig,8,5,483225.0,470291.0,0.9732340007243002,473394.80000000005,501491.4,456084.2,484241.4,,,,True,True,2ce995d729520a32007bd7dd1acacf3813d4a3757255e3ae7d1e898dd59a0203
epfl,validation_reused,epfl-arithmetic-log2-internal5717-7cc65aa43a,epfl:circuit:log2.aig,8,5,607999.0,590627.0,0.971427584584843,596235.2,649228.4,584264.2,596553.2000000001,,,,True,True,48187f7424e4a340a340f865bc4f2d47d3bb7ffaceccadf8e59ad718b98d0bd0
epfl,validation_reused,epfl-arithmetic-log2-internal7808-791f45c1ba,epfl:circuit:log2.aig,8,5,31034951.0,30249801.0,0.9747011039263442,30970232.2,31429402.2,29769482.4,30763638.6,,,,True,True,1f6f71b6077524958b516c869356dd36e7b353bbad0a2d3c892595e520fd611f
epfl,validation_reused,epfl-arithmetic-log2-internal10182-8de9088c0d,epfl:circuit:log2.aig,14,5,28262176.0,27543430.0,0.974568624864554,27529067.4,28904167.4,27214149.0,27821356.4,,,,True,True,502ede267c969d8728c23ca315ce2314b93f601aa83a1edaf60de9ea6bf43cd2
epfl,validation_reused,epfl-arithmetic-log2-internal13053-84f396fda2,epfl:circuit:log2.aig,8,5,565900.0,554539.0,0.9799240148436119,556975.2,572330.0,545971.0,583443.2,,,,True,True,cb1fffb7a2370c8034e8a614b6681b5037e45557b067c43afb4806c0f505bf57
