live_k,regime,n_formulas,ratio_median,ratio_geomean,ratio_p10,ratio_p90,cm_wrapper_us_median,bitset_us_median,wrapper_overhead_us_median
4,cached,32,5.252961186386199,4.766450695529946,2.7237936439431953,7.938188414488469,13.875999939045869,2.7749999571824446,
6,cached,32,0.7998577981023105,0.7181357754486405,0.31794316567859965,1.488287275455949,15.349499954027124,18.64024998212699,-0.6852501246612528
6,uncached_warmenv,32,3.7626252330835417,3.418403354522942,2.2009527342808055,4.931937804737984,,,
8,cached,32,0.7781388997635841,0.7659609639144317,0.44024531032139413,1.309233256600129,16.304000018863007,20.7609999779379,0.42200001189485103
8,uncached_warmenv,32,4.150794153732799,3.8997441090322997,2.997343756026099,4.974159121903549,,,
10,cached,32,0.6691438604840281,0.6786249329187618,0.37616847041340673,1.1209971574204591,17.70374998159241,26.372500069555826,-1.2127500667702407
10,uncached_warmenv,32,4.209084004657877,3.918498252863816,2.787527843397665,5.029665608573484,,,
12,cached,32,0.7275892562648647,0.7417574842339749,0.42553677860748906,1.1763441015540341,28.549749840749428,36.749749997397885,0.5262501508696005
12,uncached_warmenv,32,4.209224290812452,3.9527970424076075,2.7876134251034483,5.242901953453214,,,
16,cached,32,1.0850880293030478,1.0426514231386823,0.7516792350046374,1.3687916650490408,78.6140002310276,76.509999926202,18.244999810121953
16,uncached_warmenv,32,3.7229368826093525,3.558572925362158,2.6426477195181133,4.572531733981105,,,
