id,case_family,live_vars_syntactic,identity_dag_nodes,structural_dag_nodes,unfolded_occurrences,sharing_factor,max_depth,packed_equal_all_arms,cm_flat_instructions,cm_executed_word_ops,cse_flat_instructions,cse_executed_word_ops,cse_flat_flat_instructions,cse_flat_executed_word_ops,cm_prep_us,cm_lower_us,cse_prep_us,cse_flat_prep_us,prep_ratio_cm_vs_cse,raw_prep_us,raw_arm
shared_ladder_d4,shared_ladder,10,23,23,123,5.3478260869565215,10,True,13,13,13,13,13,13,282.29999588802457,41.99999966658652,64.4999963697046,73.80000897683203,4.3767443686341005,115.70000788196921,ok
shared_ladder_d6,shared_ladder,14,33,33,507,15.363636363636363,14,True,19,19,19,19,19,19,418.6000151094049,59.10001345910132,86.59999002702534,97.09998266771436,4.833718975934893,458.5999995470047,ok
shared_ladder_d8,shared_ladder,16,43,41,2043,49.829268292682926,18,True,25,25,25,25,25,25,395.4000130761415,53.800002206116915,80.80000407062471,96.10000415705144,4.893564271736111,4424.899991136044,ok
shared_ladder_d10,shared_ladder,16,53,47,8187,174.19148936170214,22,True,31,31,31,31,31,31,515.5999970156699,67.00001540593803,101.19998478330672,117.29999096132815,5.094862396666288,5950.20002219826,ok
shared_ladder_d12,shared_ladder,16,63,53,32763,618.1698113207547,26,True,37,37,37,37,37,37,670.000008540228,85.60001151636243,129.80002793483436,141.6000013705343,5.161786320081527,26313.900016248226,ok
shared_ladder_d16,shared_ladder,16,83,65,524283,8065.892307692307,34,True,49,49,49,49,49,49,832.8999974764884,99.40000018104911,159.5000212546438,179.0999958757311,5.221942861980896,,skipped_unfolded_cap
shared_ladder_d20,shared_ladder,16,103,77,8388603,108942.8961038961,42,True,61,61,61,61,61,61,1046.0000194143504,122.09999840706587,199.40000493079424,219.89998640492558,5.245737179281343,,skipped_unfolded_cap
chain_xor_L16,nary_chain,16,31,31,31,1.0,16,True,1,15,15,15,1,15,418.3000128250569,20.899984519928694,63.60001862049103,60.399994254112244,6.577042301215405,27.59997732937336,ok
chain_xor_L32,nary_chain,16,63,47,63,1.3404255319148937,32,True,0,0,31,31,1,31,756.9000008516014,3.100023604929447,117.39999172277749,105.79999070614576,6.447189558913322,46.699977247044444,ok
chain_xor_L64,nary_chain,16,127,79,127,1.6075949367088607,64,True,0,0,63,63,1,63,1380.1000022795051,3.1999952625483274,216.4000179618597,200.59998496435583,6.377541070827205,87.89999992586672,ok
chain_xor_L128,nary_chain,16,255,143,255,1.7832167832167831,128,True,0,0,127,127,1,127,2555.0000136718154,2.8999929782003164,387.40001036785543,401.99997602030635,6.595250245981451,186.89999706111848,ok
chain_xor_L256,nary_chain,16,511,271,511,1.8856088560885609,256,True,0,0,255,255,1,255,5792.300013126805,3.3999967854470015,805.2000193856657,970.1999952085316,7.193616335908798,410.69998405873775,ok
