n,depth,trials,seed_base,min_live_k,median_live_k,max_live_k,declined_count,declined_rate,wrong_guard_count,oversized_output_count
16,4,200,20260803,0,5.0,10,0,0.0,0,0
16,6,200,20260803,0,11.0,16,0,0.0,0,0
16,8,200,20260803,4,16.0,16,0,0.0,0,0
18,4,200,20260803,0,6.0,11,0,0.0,0,0
18,6,200,20260803,0,12.0,17,4,0.02,0,0
18,8,200,20260803,8,17.0,18,150,0.75,0,0
20,4,200,20260803,1,6.0,10,0,0.0,0,0
20,6,200,20260803,0,12.0,19,13,0.065,0,0
20,8,200,20260803,6,19.0,20,172,0.86,0,0
22,4,200,20260803,0,5.0,11,0,0.0,0,0
22,6,200,20260803,2,13.0,20,30,0.15,0,0
22,8,200,20260803,7,21.0,22,177,0.885,0,0
24,4,200,20260803,1,5.0,12,0,0.0,0,0
24,6,200,20260803,2,14.0,21,48,0.24,0,0
24,8,200,20260803,0,22.0,24,185,0.925,0,0
