live_k,n_formulas,recursive_bigint_us_median,flat_bigint_us_median,words_us_median,flat_vs_recursive_ratio_geomean,words_vs_flat_ratio_geomean,words_vs_recursive_ratio_geomean,fastest_engine_by_median
2,8,1.6054000006988645,1.1615999683272094,,0.6385743481201145,,,flat_bigint
3,8,2.0255999988876283,1.400300010573119,,0.613122628670326,,,flat_bigint
4,8,2.56170000648126,1.8440000130794942,,0.6465886356802819,,,flat_bigint
5,8,4.273200000170618,2.711200009798631,,0.5903941933864297,,,flat_bigint
6,8,4.962700011674315,2.7846999873872846,14.488799992250279,0.5559864857821638,5.340637679813738,2.9693223754354485,flat_bigint
7,8,4.922899999655783,2.88019998697564,11.57870001043193,0.5484228336361192,4.64179925120062,2.545668698513461,flat_bigint
8,8,5.349700018996373,2.958399971248582,13.726700010010973,0.5635829715641937,4.469091028912931,2.5187036022656297,flat_bigint
10,8,6.827100005466491,3.9191000105347484,16.56280001043342,0.5718988378985039,4.160662655420669,2.379478137522784,flat_bigint
12,8,11.442200018791482,7.142499991459772,19.279299973277375,0.6409960750746154,2.6206852940514436,1.6798489874927398,flat_bigint
16,8,68.41599999461323,61.629499978153035,53.42649994418025,0.8788019851430267,0.8349312111897476,0.7337392058514218,words
