corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,32050.0,17010.0,50590.0,0.10334014760403312
b2,ir_canonicalize_ns,192,17600.003047846258,4010.0276237353683,40859.99098606408,0.0621882709201217
b2,ir_rewrite_ns,192,27300.033252686262,12699.986109510064,62480.033375322826,0.08760311484939315
b2,ir_intern_ns,192,69400.03368072212,33919.97597645968,122519.9899636209,0.21540623033559433
b2,ir_live_vars_ns,192,38650.003261864185,14210.038352757694,90389.86172527075,0.12296220946602493
b2,lower_cm_ns_median,192,32700.0,18120.0,52590.00000000001,0.1095376273575776
b2,wrapper_current_ns_median,192,19950.0,16110.0,64200.0,
b2,end_to_end_current_ns_median,192,324100.0,177190.0,619690.0,
bx1,hash_ns_median,80,20600.0,8150.0,43230.00000000001,0.11281108748997506
bx1,ir_canonicalize_ns,80,9700.015652924776,2489.9927666410804,23440.00968150795,0.05690044749467696
bx1,ir_rewrite_ns,80,16349.964425899088,4170.005558989942,35940.005909651525,0.07564606871505872
bx1,ir_intern_ns,80,44649.976189248264,14939.968241378665,87730.03064561638,0.22454241188640206
bx1,ir_live_vars_ns,80,19950.020941905677,4589.976742863655,56460.00499837101,0.1059773155570145
bx1,lower_cm_ns_median,80,22750.0,10780.0,50330.0,0.12380989115234026
bx1,wrapper_current_ns_median,80,17500.0,12880.0,40670.00000000013,
bx1,end_to_end_current_ns_median,80,206500.0,86600.0,439670.00000000035,
epfl,hash_ns_median,129,72600.0,28760.000000000004,410780.00000000023,0.09745084745762712
epfl,ir_canonicalize_ns,129,46899.94966611266,18879.969138652086,366379.9434434623,0.07022825763502649
epfl,ir_rewrite_ns,129,59699.988923966885,24839.991237968206,427080.27758635586,0.08486027109654884
epfl,ir_intern_ns,129,173700.07117278874,77819.99302096665,1091079.8329859972,0.241955803277321
epfl,ir_live_vars_ns,129,79500.0814832747,24059.985298663378,706320.0406264515,0.11369774006927855
epfl,lower_cm_ns_median,129,76400.0,30720.0,457960.0000000001,0.1072300469483568
epfl,wrapper_current_ns_median,129,40000.0,21080.0,177380.00000000006,
epfl,end_to_end_current_ns_median,129,710900.0,340380.0,4415440.000000001,
