corpus,role,id,seed,truth_sha256_expected,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,2500.0,500.0,1,3,2,1,1,3,2,7400.0,7700.0,10000.0,95,49300.0,45499.99721348286,0.0,4200.0028770416975,9699.98654909432,3299.9960239976645,14000.0,9200.0,ok,963.0,1035.0,999.0,1062.0,21500.0,70100.0,1.074766355140187,1.063063063063063,21.52152152152152,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,469422568421749975,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,,andor_dom,2,4,5,3,1300.0,200.0,1,1,1,1,2,2,2,7700.0,6200.0,8100.0,119,55100.0,52699.99383017421,4099.973011761904,7000.024197623134,8000.002708286047,2300.017513334751,8000.0,6400.0,ok,1004.0,1071.0,1097.0,1045.0,14200.0,72900.0,1.0667330677290836,0.9525979945305378,12.944393801276208,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,True,1,0,5,0,0,8388608,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,452964046958912957,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,andor_dom,2,3,3,3,1400.0,200.0,1,1,1,1,1,1,1,5100.0,3900.0,6400.0,95,38400.0,36200.013710185885,2999.9937396496534,2000.01522898674,7299.997378140688,2099.9868866056204,6900.0,4900.0,ok,848.0,913.0,969.0,1037.0,11800.0,53500.0,1.0766509433962264,1.0701754385964912,12.177502579979361,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,True,1,0,3,0,0,8388608,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,5318592467202692467,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,,mixed,2,3,3,3,1300.0,200.0,1,3,2,1,1,3,2,5300.0,4100.0,6000.0,95,31600.0,29500.02090074122,0.0,1099.9792721122503,7299.968274310231,2099.9868866056204,6700.0,4600.0,ok,957.0,1029.0,969.0,1047.0,11500.0,58600.0,1.0752351097178683,1.0804953560371517,11.867905056759547,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,True,1,0,3,0,0,8388608,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,8616361440898826637,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,,impeqv_dom,2,11,31,3,1200.0,200.0,1,1,1,1,15,39,27,15500.0,20500.0,11500.0,295,125900.0,123200.00678300858,3799.9998312443495,12000.033166259527,21699.932403862476,7099.966751411557,7900.0,24900.0,ok,3496.0,3587.0,1060.0,1127.0,12500.0,117900.0,1.0260297482837528,1.0632075471698113,11.79245283018868,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,True,1,0,31,0,0,8388608,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,4522821221123432492,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,,xor_dom,2,10,25,6,2800.0,200.0,4,6,6,4,12,12,12,14900.0,15600.0,11900.0,270,159000.0,155999.994603917,14999.997802078724,22199.994418770075,27399.975806474686,12100.033927708864,18200.0,20400.0,ok,2453.0,2531.0,1823.0,1898.0,21100.0,224400.0,1.0317977986139422,1.0411409764125068,11.574328030718595,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,True,1,0,25,0,0,8388608,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,6260423800473009968,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,andor_dom,2,5,6,4,1700.0,300.0,2,3,2,2,3,4,3,8200.0,8100.0,8900.0,137,66300.0,63699.99027810991,4799.978341907263,3799.9998312443495,12899.95270781219,4100.0021155923605,9900.0,8400.0,ok,1265.0,1320.0,1255.0,1332.0,13000.0,81300.0,1.0434782608695652,1.0613545816733068,10.358565737051793,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,6,0,0,8388608,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,4008937263292170230,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,,xor_dom,2,12,31,8,3900.0,300.0,6,11,8,3,16,24,19,16200.0,18900.0,13000.0,310,253500.0,248399.99969117343,14800.054486840963,28399.983420968056,46599.94738176465,16499.980119988322,29300.0,33800.0,ok,3112.0,3172.0,1932.0,2014.0,14600.0,184200.0,1.019280205655527,1.0424430641821947,7.556935817805383,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,True,1,0,31,0,0,8388608,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,1700.0,300.0,2,4,3,2,3,4,3,7400.0,7500.0,8000.0,158,63400.0,60999.998822808266,4200.0028770416975,3200.024366378784,14999.968698248267,4399.975296109915,9400.0,6600.0,ok,1145.0,1214.0,1194.0,1275.0,12100.0,79900.0,1.0602620087336245,1.0678391959798994,10.134003350083752,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,2140984543467918017,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,impeqv_dom,3,16,56,16,5100.0,200.0,13,32,22,6,28,59,43,21000.0,23600.0,13700.0,412,198700.0,195299.97371137142,4700.0066842883825,12000.033166259527,50699.920393526554,24599.983589723706,28100.0,38200.0,ok,5323.0,5400.0,3159.0,3236.0,16500.0,207600.0,1.0144655269584821,1.02437480215258,5.223171889838556,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,56,0,0,8388608,100,5,c073c4cae16c20ea16679fb56d345d47
bx1,tuning,bx1-k3-3-2cf6fe6bc52c,351760472865490451,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,,mixed,3,6,7,6,2000.0,200.0,3,5,4,2,3,5,4,8900.0,8200.0,8200.0,164,73600.0,71099.98841769993,3699.9990697950125,6500.049494206905,15200.028428807855,6400.048732757568,15900.0,7500.0,ok,1215.0,1284.0,1393.0,1472.0,12300.0,88500.0,1.05679012345679,1.0567121320890165,8.829863603732951,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,True,1,0,7,0,0,8388608,100,5,2cf6fe6bc52ca9b0c580828a67d0e3b2
