arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,80,0,4,2.0372320629593954,1.7822192788853617,2.1304181955688932,1.4324892529536024,4.802379152553833,7.2472444599141435,39,0.4875
raw,tuning,threshold_k7,7,False,80,0,4,1.726728825926862,1.4779604480960014,1.8286119013897524,1.0,4.549335321640884,6.12320289441112,31,0.3875
raw,tuning,threshold_k8,8,False,80,0,4,1.485523451049696,1.2369196272743843,1.5938070124619668,1.0,4.25287340181805,4.964521452145214,23,0.2875
raw,tuning,threshold_k9,9,False,80,0,4,1.2772635325977004,1.1068768224375005,1.3397000876088496,1.0,3.78221492172914,4.540138224348751,15,0.1875
raw,tuning,threshold_k10,10,False,80,0,4,1.2772635325977004,1.1068768224375005,1.3397000876088496,1.0,3.78221492172914,4.540138224348751,15,0.1875
raw,tuning,threshold_k11,11,False,80,0,4,1.1081333951426942,1.032411138944944,1.1495390354959973,1.0,1.2965242358149978,3.773989898989899,7,0.0875
raw,tuning,threshold_k12,12,False,80,0,4,1.1081333951426942,1.032411138944944,1.1495390354959973,1.0,1.2965242358149978,3.773989898989899,7,0.0875
raw,tuning,threshold_k13,13,False,80,0,4,1.0053823903634787,1.0000390675093025,1.012710099568276,1.0,1.0,1.262532981530343,0,0.0
raw,tuning,threshold_k14,14,False,80,0,4,1.0053823903634787,1.0000390675093025,1.012710099568276,1.0,1.0,1.262532981530343,0,0.0
raw,tuning,threshold_k15,15,False,80,0,4,1.0053823903634787,1.0000161363949198,1.012710099568276,1.0,1.0,1.262532981530343,0,0.0
raw,tuning,threshold_k16,16,True,80,0,4,1.0053823903634787,1.0000390675093025,1.012710099568276,1.0,1.0,1.262532981530343,0,0.0
raw,held_out,threshold_k6,6,False,307,14,23,2.704907235132906,2.4987352583542823,2.9742149261545987,3.7444364680545585,5.528893730899837,7.2515014094864565,200,0.6514657980456026
raw,held_out,threshold_k7,7,False,307,14,23,2.262422761658578,2.05116595173063,2.6954820721549337,2.7160603371783494,4.9146705458905435,6.203946002076843,168,0.5472312703583062
raw,held_out,threshold_k8,8,False,307,14,23,2.262422761658578,2.0594417528501654,2.6935077163885968,2.7160603371783494,4.9146705458905435,6.203946002076843,168,0.5472312703583062
raw,held_out,threshold_k9,9,False,307,14,23,1.571132388909105,1.45271057222714,1.7447737100358458,1.0,4.080490456922419,5.870991613221509,95,0.30944625407166126
raw,held_out,threshold_k10,10,False,307,14,23,1.5345733542851132,1.4276821845643028,1.6625950777300553,1.0,3.9778379429961817,5.870991613221509,90,0.2931596091205212
raw,held_out,threshold_k11,11,False,307,14,23,1.2212937738195908,1.1565087642179326,1.3129703504349275,1.0,2.513781646629945,3.907427341227126,42,0.13680781758957655
raw,held_out,threshold_k12,12,False,307,14,23,1.1688019006491666,1.1033054037244445,1.227753068367538,1.0,1.990101276502614,3.907427341227126,31,0.10097719869706841
raw,held_out,threshold_k13,13,False,307,14,23,1.0203782455478492,1.0084279980579287,1.0362618650265834,1.0,1.0,1.768918918918919,0,0.0
raw,held_out,threshold_k14,14,False,307,14,23,1.01249395911526,1.0030313514769513,1.0212297848168574,1.0,1.0,1.656021897810219,0,0.0
raw,held_out,threshold_k15,15,False,307,14,23,1.0092762535190891,1.000051177631103,1.0188251357269413,1.0,1.0,1.656021897810219,0,0.0
