schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8755418255404693,0.9207817072568186,0.8512549905411451,0.8986999208770605,stratified_by_cell,0.1670796026008523,63,64
blocked,live_k=8/family=xor_dom,16,0.7610562944455483,0.8046311082602468,0.6760821057327108,0.8391174363901037,formula,0.22239681009929205,15,16
blocked,live_k=8/family=andor_dom,16,0.8968023552294833,0.9123263472310651,0.8572919883015063,0.9344139448293198,formula,0.088295834923697,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9683296305101587,0.9981510027632748,0.9228890558962857,1.0000376589077984,formula,0.08862335499816974,15,16
blocked,live_k=8/family=mixed,16,0.8891414297763648,0.9239463254273211,0.8262364854763109,0.9446207593671145,formula,0.13963307130170388,15,16
blocked,live_k=8/shape=tree,32,0.9464059632180724,0.9690874442499062,0.9194477392877816,0.9693113645894671,formula,0.07580290873223211,31,32
blocked,live_k=8/shape=shared,32,0.8099837892653922,0.8550058648083075,0.7556961991491447,0.8636432447968863,formula,0.1961637211950353,31,32
blocked,live_k=12,64,0.8668600030630521,0.8895839159623347,0.8489609986580287,0.8844466997408656,stratified_by_cell,0.135472666154162,63,64
blocked,live_k=12/family=xor_dom,16,0.7623225024957246,0.7668851963000848,0.7239283354083927,0.8017915719620674,formula,0.11091783262548348,15,16
blocked,live_k=12/family=andor_dom,16,0.8690041346717807,0.8816948112770632,0.8436012171097647,0.8967520493968592,formula,0.06681821623069517,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9606611466230177,0.9891308319763465,0.9300999590818596,0.9872002685870978,formula,0.06321515936650098,15,16
blocked,live_k=12/family=mixed,16,0.8872889061831541,0.9482124267552401,0.8137088699548288,0.9499970165208336,formula,0.1638833454715941,15,16
blocked,live_k=12/shape=tree,32,0.9147248030367243,0.9530260751469548,0.8845848315415782,0.9433230174969807,formula,0.0963167624727503,31,32
blocked,live_k=12/shape=shared,32,0.8214998242267032,0.8278906095725976,0.7804226835613536,0.8636602651006884,formula,0.1485167270549628,31,32
blocked,live_k=16,64,0.9186182041090162,0.9308020386671593,0.9088234619158267,0.9285352788411594,stratified_by_cell,0.07921285233180021,63,64
blocked,live_k=16/family=xor_dom,16,0.846806606279841,0.8553335030859096,0.8176168087353876,0.8735999603585344,formula,0.07065751337413805,15,16
blocked,live_k=16/family=andor_dom,16,0.9121090197124107,0.9191202442573658,0.88358863157713,0.9397851028510019,formula,0.06535585156738748,15,16
blocked,live_k=16/family=impeqv_dom,16,0.9803835486065614,0.9925035093073965,0.9580111920276476,0.995276330032675,formula,0.04489588792340938,15,16
blocked,live_k=16/family=mixed,16,0.940401227253976,0.940172762488306,0.915501129758057,0.9641128952462178,formula,0.05338636126941415,15,16
blocked,live_k=16/shape=tree,32,0.9498504551980412,0.9766156120612806,0.9299854287992974,0.9672390602628392,formula,0.05678965317769411,31,32
blocked,live_k=16/shape=shared,32,0.88841290784509,0.8851562262062891,0.8636834635460675,0.9129500152579866,formula,0.08496421408198762,31,32
blocked,family=xor_dom/shape=tree,24,0.8477170616384949,0.8526572818804375,0.8218333250627882,0.8745021328546053,formula,0.08053169770807674,23,24
blocked,family=xor_dom/shape=shared,24,0.7344725717805385,0.7497047310111357,0.6807825888473373,0.7840318121815257,formula,0.17756209960622477,23,24
blocked,family=andor_dom/shape=tree,24,0.9397470002569204,0.937067717401683,0.9226044781847469,0.9566877509972392,formula,0.04783959396776847,23,24
blocked,family=andor_dom/shape=shared,24,0.8475511955625923,0.8550058648083075,0.826992457256409,0.867241247397607,formula,0.06140023902167037,23,24
blocked,family=impeqv_dom/shape=tree,24,0.9867560585026046,0.9940699426189142,0.9746374228150196,0.9958452494429002,formula,0.02783612301237257,23,24
blocked,family=impeqv_dom/shape=shared,24,0.9530518018445707,0.9949019310751502,0.9168068106770814,0.9834983108182572,formula,0.08822628269795259,23,24
blocked,family=mixed/shape=tree,24,0.9799995380139992,0.9877425376175153,0.967946214049683,0.9906468007475596,formula,0.02970558473285299,23,24
blocked,family=mixed/shape=shared,24,0.8362578086620599,0.8827813672007796,0.7900454946018187,0.8801775542318186,formula,0.13998167573518702,23,24
blocked,all,192,0.8867209513702878,0.9162758410208635,0.8758636705844679,0.8970414696992589,stratified_by_cell,0.13407217811872998,191,192
round_robin,live_k=8,64,0.8790855736445364,0.9216782990458758,0.8555686445398772,0.9015461631433765,stratified_by_cell,0.1622620977729641,63,64
round_robin,live_k=8/family=xor_dom,16,0.772774491346338,0.8323923341720977,0.6862425561007127,0.8523401053573124,formula,0.22071500885055068,15,16
round_robin,live_k=8/family=andor_dom,16,0.8972247593063544,0.9144213277222168,0.8565013901891396,0.935414901378567,formula,0.09170650095647252,15,16
round_robin,live_k=8/family=impeqv_dom,16,0.9686679182009325,0.9920636504836087,0.925898537814328,1.0000656827704628,formula,0.08660794143663164,15,16
round_robin,live_k=8/family=mixed,16,0.8891922489867097,0.9213680068450255,0.8291916057347718,0.9413760942462382,formula,0.13268499153066915,15,16
round_robin,live_k=8/shape=tree,32,0.9516667840089659,0.9812437051481723,0.9282730969617777,0.9719780104910388,formula,0.06687781256675669,31,32
round_robin,live_k=8/shape=shared,32,0.8120399479894667,0.8600964815873892,0.7590361488770264,0.8637021177634737,formula,0.18984534618356647,31,32
round_robin,live_k=12,64,0.8726751158573709,0.896879343858475,0.8554620502971593,0.889614166380403,stratified_by_cell,0.13004618704965826,63,64
round_robin,live_k=12/family=xor_dom,16,0.7759524877695982,0.7710407064646823,0.7382126557191985,0.8161914932748825,formula,0.10942540098778816,15,16
round_robin,live_k=12/family=andor_dom,16,0.8739684165284493,0.881582786078744,0.8458436719229215,0.9033266973999952,formula,0.07292500864426803,15,16
round_robin,live_k=12/family=impeqv_dom,16,0.9632189488253899,0.9889948269698942,0.9318542263429068,0.9891577150109483,formula,0.06245156157715957,15,16
round_robin,live_k=12/family=mixed,16,0.8878804295393851,0.9389986978573917,0.8189043600929146,0.9485970524092089,formula,0.15621522391377982,15,16
round_robin,live_k=12/shape=tree,32,0.9221015690976104,0.9519713231986228,0.8926978517275416,0.9504728621640215,formula,0.09209596096527262,31,32
round_robin,live_k=12/shape=shared,32,0.8258980174840799,0.8284027032914355,0.7865292188924755,0.8648454163291583,formula,0.14007791977467934,31,32
round_robin,live_k=16,64,0.9209069926829873,0.9320157275697588,0.9107334108976219,0.9307568146814639,stratified_by_cell,0.08015615518467313,63,64
round_robin,live_k=16/family=xor_dom,16,0.8467908489554111,0.8577618328985734,0.816143062004818,0.8746917371642678,formula,0.07293042699138114,15,16
round_robin,live_k=16/family=andor_dom,16,0.918313403057092,0.925026818277681,0.8891867614491366,0.9470277344686152,formula,0.06613565174587714,15,16
round_robin,live_k=16/family=impeqv_dom,16,0.982281439860812,0.994578004272595,0.9588741279936591,0.9977809375506452,formula,0.04688316738806177,15,16
round_robin,live_k=16/family=mixed,16,0.9415861581751997,0.9386494033754201,0.9179509735371815,0.9643677637090821,formula,0.051089147231484625,15,16
round_robin,live_k=16/shape=tree,32,0.9529300245691205,0.9754467944238232,0.9331521909026974,0.9702675664808723,formula,0.05730665835679927,31,32
round_robin,live_k=16/shape=shared,32,0.8899600886811067,0.8933118339716575,0.8650951701579981,0.9148943105406718,formula,0.08579605901084966,31,32
round_robin,family=xor_dom/shape=tree,24,0.8578378571216484,0.8626264975752879,0.8319390962483364,0.8850058139298349,formula,0.07973677329293448,23,24
round_robin,family=xor_dom/shape=shared,24,0.7419435000523428,0.760634067574421,0.6897431875197476,0.7904856786696894,formula,0.17150294735928856,23,24
round_robin,family=andor_dom/shape=tree,24,0.9491756017486741,0.9498477361882164,0.9342006678713616,0.9643725683494924,formula,0.0418282825571396,23,24
round_robin,family=andor_dom/shape=shared,24,0.846405950106395,0.8678635078728197,0.8254292676526083,0.866787956722215,formula,0.06370063412203829,23,24
round_robin,family=impeqv_dom/shape=tree,24,0.988636447373287,0.99421816699299,0.9761735929840404,0.9975686475306975,formula,0.029035153650106862,23,24
round_robin,family=impeqv_dom/shape=shared,24,0.9543784642644861,0.9902822865547611,0.9191996601211445,0.9841829218447861,formula,0.08671033537485075,23,24
round_robin,family=mixed/shape=tree,24,0.9786885767993962,0.987682922049565,0.9674998205152924,0.9883542014350067,formula,0.027210255470745785,23,24
round_robin,family=mixed/shape=shared,24,0.8384856329892827,0.8698910321913683,0.7940902717555203,0.8801631195278157,formula,0.13208444524285973,23,24
round_robin,all,192,0.8906351655883977,0.9204645062697497,0.8801062947257414,0.9005484156214428,stratified_by_cell,0.1302016449723757,191,192
