corpus,role,id,seed,truth_sha256_expected,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-1-9f9a10d83773,2283024197844612547,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,,xor_dom,13,26,26,17,4928.0,441.0,4,16,14,2,13,16,14,23746.0,28804.0,20812.0,617,270992.0,264921.2256073952,18474.645912647247,33921.562135219574,62533.654272556305,29908.493161201477,23386.0,18078.0,ok,5630.6,13498.6,4937.6,10459.8,22063.0,265374.0,2.3973644016623448,2.1183976020738817,4.468365197666882,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,True,1024,13312,26624,4096,2048,16777216,5,5,9f9a10d83773d78f05d14fd0223a1358
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-2-8f95e55d7b67,6798686009557510971,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,,xor_dom,13,26,27,19,4246.0,180.0,6,17,15,3,13,17,15,24988.0,26110.0,18188.0,623,263380.0,259043.6488389969,15511.177480220795,30037.015676498413,61085.447669029236,33316.20246171951,21723.0,17506.0,ok,5648.6,14299.6,5434.2,12146.4,15674.0,265624.0,2.5315299366214634,2.2351772109970187,2.884325199661404,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,True,1024,13312,27648,4096,3072,16777216,5,5,8f95e55d7b67dbfd2eccf7ef34cf073b
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-1-eff7cf0ccbc6,1424053974641043770,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,,xor_dom,13,33,61,17,4136.0,211.0,4,17,16,3,30,32,31,28103.0,34913.0,21723.0,805,387680.0,382651.57490968704,29644.928872585297,56296.586990356445,81803.64966392517,55214.39015865326,19981.0,35484.0,ok,8340.6,28968.0,4825.4,12296.8,15163.0,369942.0,3.4731314293935687,2.5483483234550506,3.1423301695196257,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,True,1024,13312,62464,5120,3072,16777216,5,5,eff7cf0ccbc63d6a62f81dd8dfc54fdd
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-2-dc1141c5a731,6107769996622208047,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,,xor_dom,13,45,113,30,7742.0,200.0,17,40,34,9,61,79,65,43346.0,48243.0,28233.0,1094,570517.0,563777.9831886292,42050.14556646347,80422.49828577042,120779.49941158295,91549.00908470154,38859.0,64688.0,ok,22143.8,52998.6,11177.0,24018.4,21462.0,567974.0,2.3933832494874414,2.148912946228863,1.9201932540037576,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,True,1024,13312,115712,5120,9216,16777216,5,5,dc1141c5a731d0b0c7dce3d6eccbec89
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-1-e717aa4b182d,8870036969255502751,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,,andor_dom,13,32,38,27,6359.0,230.0,14,22,20,4,19,22,20,35223.0,32980.0,20982.0,769,318425.0,313336.0296487808,21050.68415403366,23338.012397289276,74824.31828975677,43563.54475021362,34052.0,25659.0,ok,7066.8,19583.8,7924.0,18197.6,18027.0,332205.0,2.7712401652799,2.296516910651186,2.274987380111055,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,True,1024,13312,38912,4096,4096,16777216,5,5,e717aa4b182d81fb7f014621e488dfa4
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-2-2b02c2ce353d,3509592225480496666,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,,andor_dom,13,31,33,27,5658.0,191.0,14,21,17,4,18,22,18,33200.0,30076.0,20121.0,723,278464.0,273725.9492278099,17342.157661914825,21119.602024555206,69811.94019317627,31086.616218090057,31518.0,21152.0,ok,7233.0,17172.2,7723.6,15285.2,18007.0,289981.0,2.3741462740218444,1.9790253249779894,2.3314257600082864,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,True,1024,13312,33792,5120,4096,16777216,5,5,2b02c2ce353d6de4fd4c42b31fc40c0d
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-1-edd8877715e2,1596869751077217417,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,,andor_dom,13,41,66,30,7812.0,210.0,17,31,28,7,35,40,35,42474.0,43656.0,26380.0,992,462673.0,456525.0128507614,35775.82538127899,42696.48343324661,104465.52187204361,72517.43227243423,39440.0,38989.0,ok,11097.0,32283.0,9370.2,22872.8,19740.0,458998.0,2.9091646390916464,2.441015133081471,2.10667861945316,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,True,1024,13312,67584,4096,7168,16777216,5,5,edd8877715e24daa4abd7dda0f05fdfd
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-2-9afc69d8f8fe,3454281855025251075,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,,andor_dom,13,44,67,30,8233.0,290.0,17,36,32,7,34,40,36,44377.0,48784.0,28623.0,1073,485118.0,477955.6766152382,36990.270018577576,39923.93612861633,109686.51622533798,75655.9893488884,45529.0,40291.0,ok,11253.0,32617.6,10460.0,24893.8,21122.0,508934.0,2.8985692704167776,2.3799043977055447,2.0193116634799235,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,True,1024,13312,68608,5120,7168,16777216,5,5,9afc69d8f8fe0a445bc160e2d2c7a066
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-1-77031942351a,3914099624317553999,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,,impeqv_dom,13,30,33,28,5979.0,201.0,15,38,26,4,17,39,27,32379.0,31357.0,19851.0,715,248438.0,243630.26022911072,6811.69331073761,16338.19192647934,66362.32137680054,32964.16252851486,33661.0,21273.0,ok,10634.2,13270.2,10279.6,12230.6,18658.0,211231.0,1.2478794831769198,1.189793377174209,1.8150511693061986,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,True,1024,13312,33792,6144,4096,16777216,5,5,77031942351ab96188ccc50b84682d78
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-2-56d7f366df96,3816016164161023029,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,,impeqv_dom,13,29,32,28,4607.0,160.0,15,41,28,4,16,41,28,23045.0,22104.0,16906.0,696,178771.0,175106.33915662766,3845.430910587311,14115.124940872192,48181.97339773178,25318.9355134964,25689.0,14743.0,ok,11393.4,13085.8,11838.0,12651.2,19620.0,208307.0,1.1485421384310215,1.0686940361547559,1.6573745565129245,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,True,1024,13312,32768,4096,4096,16777216,5,5,56d7f366df963c8ab9dbafffce31d8e9
