arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,48,0,4,1.4710720203979708,1.1426751992704525,1.89384777982354,1.3587665915733793,2.494199501627055,3.4731314293935687,14,0.2916666666666667
raw,tuning,threshold_k7,7,False,48,0,4,1.4710720203979708,1.1426751992704525,1.89384777982354,1.3587665915733793,2.494199501627055,3.4731314293935687,14,0.2916666666666667
raw,tuning,threshold_k8,8,False,48,0,4,1.4710720203979708,1.1426751992704525,1.89384777982354,1.3587665915733793,2.494199501627055,3.4731314293935687,14,0.2916666666666667
raw,tuning,threshold_k9,9,False,48,0,4,1.4710720203979708,1.1426751992704525,1.89384777982354,1.3587665915733793,2.494199501627055,3.4731314293935687,14,0.2916666666666667
raw,tuning,threshold_k10,10,False,48,0,4,1.4710720203979708,1.1426751992704525,1.89384777982354,1.3587665915733793,2.494199501627055,3.4731314293935687,14,0.2916666666666667
raw,tuning,threshold_k11,11,False,48,0,4,1.4710720203979708,1.1426751992704525,1.89384777982354,1.3587665915733793,2.494199501627055,3.4731314293935687,14,0.2916666666666667
raw,tuning,threshold_k12,12,False,48,0,4,1.4710720203979708,1.1426751992704525,1.89384777982354,1.3587665915733793,2.494199501627055,3.4731314293935687,14,0.2916666666666667
raw,tuning,threshold_k13,13,False,48,0,4,1.4710720203979708,1.1426751992704525,1.89384777982354,1.3587665915733793,2.494199501627055,3.4731314293935687,14,0.2916666666666667
raw,tuning,threshold_k14,14,False,48,0,4,1.1798505309316447,1.0231357441435427,1.3605694877808747,1.0,1.6480849499447827,2.4782007437723084,4,0.08333333333333333
raw,tuning,threshold_k15,15,False,48,0,4,1.1020422677427628,1.0354589721019845,1.1545530168233005,1.0,1.4462382641642035,2.2413896876880894,1,0.020833333333333332
raw,tuning,threshold_k16,16,True,48,0,4,1.1138175251687725,1.0,1.3087209100916783,1.0,1.4462382641642035,2.4486424217212526,3,0.0625
raw,held_out,threshold_k6,6,False,17,6,9,1.1028493073066783,1.0320522434108161,1.18553218673505,1.0,1.403440949809311,1.581218452870055,0,0.0
raw,held_out,threshold_k7,7,False,17,6,9,1.1028493073066783,1.0304255010754468,1.187398498699305,1.0,1.403440949809311,1.581218452870055,0,0.0
raw,held_out,threshold_k8,8,False,17,6,9,1.1028493073066783,1.0273319830629761,1.1859804316554003,1.0,1.403440949809311,1.581218452870055,0,0.0
raw,held_out,threshold_k9,9,False,17,6,9,1.1028493073066783,1.0233230764092058,1.1841458946785297,1.0,1.403440949809311,1.581218452870055,0,0.0
raw,held_out,threshold_k10,10,False,17,6,9,1.1028493073066783,1.0304255010754468,1.1825347269339113,1.0,1.403440949809311,1.581218452870055,0,0.0
raw,held_out,threshold_k11,11,False,17,6,9,1.1028493073066783,1.0223708362568404,1.186007322076054,1.0,1.403440949809311,1.581218452870055,0,0.0
raw,held_out,threshold_k12,12,False,17,6,9,1.1028493073066783,1.0298534491004165,1.1847634174474204,1.0,1.403440949809311,1.581218452870055,0,0.0
raw,held_out,threshold_k13,13,False,17,6,9,1.1028493073066783,1.0248871743410592,1.1819766495412498,1.0,1.403440949809311,1.581218452870055,0,0.0
raw,held_out,threshold_k14,14,False,17,6,9,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0
raw,held_out,threshold_k15,15,False,17,6,9,1.0563171403000922,1.021941662108474,1.0975404351110618,1.0,1.1720025568129913,1.2376007174298487,0,0.0
raw,held_out,threshold_k16,16,True,17,6,9,1.165896819002954,1.093444675488324,1.2608840998663398,1.099376849160841,1.5428503378027023,1.6395156619527969,0,0.0
cm,tuning,threshold_k6,6,False,48,0,4,1.364095641077074,1.1010695331575147,1.6899540510120363,1.2689234939834086,2.2535791208932694,2.91806660772178,8,0.16666666666666666
cm,tuning,threshold_k7,7,False,48,0,4,1.364095641077074,1.1010695331575147,1.6899540510120363,1.2689234939834086,2.2535791208932694,2.91806660772178,8,0.16666666666666666
cm,tuning,threshold_k8,8,False,48,0,4,1.364095641077074,1.1010695331575147,1.6899540510120363,1.2689234939834086,2.2535791208932694,2.91806660772178,8,0.16666666666666666
cm,tuning,threshold_k9,9,False,48,0,4,1.364095641077074,1.1010695331575147,1.6899540510120363,1.2689234939834086,2.2535791208932694,2.91806660772178,8,0.16666666666666666
cm,tuning,threshold_k10,10,False,48,0,4,1.364095641077074,1.1010695331575147,1.6899540510120363,1.2689234939834086,2.2535791208932694,2.91806660772178,8,0.16666666666666666
cm,tuning,threshold_k11,11,False,48,0,4,1.364095641077074,1.1010695331575147,1.6899540510120363,1.2689234939834086,2.2535791208932694,2.91806660772178,8,0.16666666666666666
cm,tuning,threshold_k12,12,False,48,0,4,1.364095641077074,1.1010695331575147,1.6899540510120363,1.2689234939834086,2.2535791208932694,2.91806660772178,8,0.16666666666666666
cm,tuning,threshold_k13,13,False,48,0,4,1.364095641077074,1.1010695331575147,1.6899540510120363,1.2689234939834086,2.2535791208932694,2.91806660772178,8,0.16666666666666666
cm,tuning,threshold_k14,14,False,48,0,4,1.1435403782174922,1.0157147976910537,1.287452540404515,1.0,1.5269032675624965,2.91806660772178,1,0.020833333333333332
cm,tuning,threshold_k15,15,False,48,0,4,1.0891263322600881,1.0264451277969675,1.1329942205697,1.0,1.4475282467936914,1.9031634334981615,0,0.0
cm,tuning,threshold_k16,16,True,48,0,4,1.124519527612395,1.0048287704083598,1.3272273892033222,1.0,1.4987373572801208,2.32753038232946,3,0.0625
cm,held_out,threshold_k6,6,False,23,0,12,1.0524432637966041,1.0172510644425434,1.089185996426844,1.0,1.2237585353574638,1.3133000910965145,0,0.0
cm,held_out,threshold_k7,7,False,23,0,12,1.0524432637966041,1.019418798703129,1.091561810665707,1.0,1.2237585353574638,1.3133000910965145,0,0.0
cm,held_out,threshold_k8,8,False,23,0,12,1.0524432637966041,1.0173921403758615,1.0916252289670778,1.0,1.2237585353574638,1.3133000910965145,0,0.0
cm,held_out,threshold_k9,9,False,23,0,12,1.0524432637966041,1.0180546517717735,1.0899352728750804,1.0,1.2237585353574638,1.3133000910965145,0,0.0
cm,held_out,threshold_k10,10,False,23,0,12,1.0524432637966041,1.0181200188411732,1.0886638064231142,1.0,1.2237585353574638,1.3133000910965145,0,0.0
