schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8780786493517622,0.9246937430738037,0.8536582021287454,0.901824082879766,stratified_by_cell,0.16700656015860968,63,64
blocked,live_k=8/family=xor_dom,16,0.7633254453691448,0.8090064464673177,0.6787154084524386,0.8411768326771866,formula,0.22122985149089572,15,16
blocked,live_k=8/family=andor_dom,16,0.8971753041606174,0.9098261378383827,0.8575911150244164,0.9336917951788395,formula,0.08857534686120168,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9720758799876316,1.0014448363851773,0.9268649581401616,1.0041150313746423,formula,0.08867567396205088,15,16
blocked,live_k=8/family=mixed,16,0.8929897044029874,0.929072220927876,0.828756228053964,0.9492179214913649,formula,0.1405032088742478,15,16
blocked,live_k=8/shape=tree,32,0.9479555529295596,0.9699628398337874,0.920934256164568,0.9712894904884459,formula,0.07679316393350452,31,32
blocked,live_k=8/shape=shared,32,0.8133526008309672,0.8596773387164053,0.7589799689683066,0.8674947304332,formula,0.19667298873597389,31,32
blocked,live_k=12,64,0.8728777921621853,0.8962201083940442,0.8553686791315058,0.889894205706784,stratified_by_cell,0.13369037636888037,63,64
blocked,live_k=12/family=xor_dom,16,0.7676392767039908,0.778398904765947,0.7284996258159755,0.806786791911357,formula,0.10939314789984125,15,16
blocked,live_k=12/family=andor_dom,16,0.8716629174247462,0.8826434843882096,0.845010812967933,0.9002898959029401,formula,0.07004048970804931,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9695055681680362,0.9945214849723057,0.9383604147905305,0.9967502772982682,formula,0.06401462463523878,15,16
blocked,live_k=12/family=mixed,16,0.8948653895967265,0.9590811279149479,0.8250471171171961,0.955097353223791,formula,0.1551456147819667,15,16
blocked,live_k=12/shape=tree,32,0.9195177528257205,0.9615255425216497,0.8883518280016119,0.9496084658495896,formula,0.09882493728538876,31,32
blocked,live_k=12/shape=shared,32,0.8286035127745268,0.8287632521594533,0.7882538833189527,0.8694722245139493,formula,0.1447840128298848,31,32
blocked,live_k=16,64,0.9273447599343864,0.9426960772286844,0.9161281636537424,0.9384618985797466,stratified_by_cell,0.07908432697212542,63,64
