corpus,role,id,seed,truth_sha256_expected,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-1-9f9a10d83773,2283024197844612547,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,,xor_dom,13,26,26,17,4567.0,501.0,4,16,14,2,13,16,14,24487.0,28623.0,21412.0,617,269469.0,263099.5586514473,18055.550754070282,32259.151339530945,61613.50756883621,29886.141419410706,24086.0,17917.0,ok,5618.6,12911.6,5007.6,10117.2,22394.0,264322.0,2.2980101804720037,2.0203690390606277,4.472002556114705,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,True,1024,13312,26624,4096,2048,16777216,5,5,9f9a10d83773d78f05d14fd0223a1358
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-2-8f95e55d7b67,6798686009557510971,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,,xor_dom,13,26,27,19,4447.0,190.0,6,17,15,3,13,17,15,24988.0,27192.0,18408.0,623,258183.0,253845.9375500679,15321.187674999237,29649.585485458374,59749.93109703064,32792.799174785614,22284.0,17637.0,ok,5654.6,13642.6,5492.2,11751.8,16024.0,268558.0,2.412655183390514,2.1397254287899203,2.917592221696224,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,True,1024,13312,27648,4096,3072,16777216,5,5,8f95e55d7b67dbfd2eccf7ef34cf073b
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-1-eff7cf0ccbc6,1424053974641043770,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,,xor_dom,13,33,61,17,4256.0,241.0,4,17,16,3,30,32,31,28073.0,34833.0,21963.0,805,386939.0,381960.53355932236,29703.60219478607,56748.27843904495,81781.2979221344,55042.095482349396,20170.0,35765.0,ok,8439.0,27421.6,4893.4,11856.0,15353.0,372026.0,3.2493897381206303,2.422855274451302,3.137491314832223,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,True,1024,13312,62464,5120,3072,16777216,5,5,eff7cf0ccbc63d6a62f81dd8dfc54fdd
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-2-dc1141c5a731,6107769996622208047,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,,xor_dom,13,45,113,30,7972.0,220.0,17,40,34,9,61,79,65,44568.0,50456.0,28473.0,1094,565119.0,558247.7897405624,43095.08949518204,80685.13125181198,119050.033390522,92620.03004550934,38508.0,65089.0,ok,21769.0,50442.6,11189.0,23107.2,21583.0,563147.0,2.3171758004501815,2.0651711502368397,1.9289480740012512,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,True,1024,13312,115712,5120,9216,16777216,5,5,dc1141c5a731d0b0c7dce3d6eccbec89
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-1-e717aa4b182d,8870036969255502751,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,,andor_dom,13,32,38,27,6200.0,220.0,14,22,20,4,19,22,20,35634.0,33120.0,21593.0,769,308910.0,303842.12732315063,20883.046090602875,23212.283849716187,72993.33810806274,43212.43613958359,34412.0,23406.0,ok,7118.8,18460.0,7854.0,17132.0,17947.0,328820.0,2.593133674214755,2.18130888719124,2.285077667430609,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,True,1024,13312,38912,4096,4096,16777216,5,5,e717aa4b182d81fb7f014621e488dfa4
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-2-2b02c2ce353d,3509592225480496666,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,,andor_dom,13,31,33,27,5799.0,210.0,14,21,17,4,18,22,18,33461.0,31127.0,19920.0,723,268869.0,264192.00003147125,16539.357602596283,21022.744476795197,68133.69691371918,30384.398996829987,31378.0,20932.0,ok,7177.0,16266.6,7563.6,14522.0,17557.0,289830.0,2.266490176954159,1.919985192236501,2.321249140620868,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,True,1024,13312,33792,5120,4096,16777216,5,5,2b02c2ce353d6de4fd4c42b31fc40c0d
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-1-edd8877715e2,1596869751077217417,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,,andor_dom,13,41,66,30,7671.0,240.0,17,31,28,7,35,40,35,42444.0,43596.0,25498.0,992,454371.0,448232.5166463852,36678.27695608139,44233.16568136215,102637.33565807343,71651.30227804184,38769.0,38279.0,ok,10890.6,30145.8,9025.8,21612.8,19590.0,454832.0,2.7680568563715497,2.3945578231292517,2.1704447251213193,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,True,1024,13312,67584,4096,7168,16777216,5,5,edd8877715e24daa4abd7dda0f05fdfd
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-2-9afc69d8f8fe,3454281855025251075,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,,andor_dom,13,44,67,30,7962.0,211.0,17,36,32,7,34,40,36,44288.0,49825.0,28554.0,1073,477276.0,470224.7679233551,36986.544728279114,40074.81038570404,106569.37956809998,73742.12145805359,40382.0,39389.0,ok,11040.8,30856.8,10510.0,23868.2,21413.0,507551.0,2.794797478443591,2.2709990485252143,2.037392959086584,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,True,1024,13312,68608,5120,7168,16777216,5,5,9afc69d8f8fe0a445bc160e2d2c7a066
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-1-77031942351a,3914099624317553999,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,,impeqv_dom,13,30,33,28,5769.0,210.0,15,38,26,4,17,39,27,32810.0,32179.0,19760.0,715,242068.0,237281.434237957,6848.946213722229,16234.815120697021,66257.08192586899,32573.00704717636,33421.0,21042.0,ok,10668.2,12841.6,10293.6,11826.0,18538.0,210771.0,1.2037269642488893,1.1488692002797856,1.800924846506567,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,True,1024,13312,33792,6144,4096,16777216,5,5,77031942351ab96188ccc50b84682d78
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-2-56d7f366df96,3816016164161023029,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,,impeqv_dom,13,29,32,28,4657.0,200.0,15,41,28,4,16,41,28,23586.0,23095.0,14002.0,696,179734.0,175897.0320224762,3795.139491558075,14551.915228366852,47393.14317703247,25467.01580286026,25469.0,14552.0,ok,11651.6,12785.4,11667.8,12324.8,20010.0,209058.0,1.0973085241511895,1.0563088157150449,1.7149762594490823,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,True,1024,13312,32768,4096,4096,16777216,5,5,56d7f366df963c8ab9dbafffce31d8e9
