arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,48,0,4,1.441382042479348,1.1304361587170098,1.8378589329094814,1.3209159116190963,2.4134348995598005,3.2493897381206303,11,0.22916666666666666
raw,tuning,threshold_k7,7,False,48,0,4,1.441382042479348,1.1304361587170098,1.8378589329094814,1.3209159116190963,2.4134348995598005,3.2493897381206303,11,0.22916666666666666
raw,tuning,threshold_k8,8,False,48,0,4,1.441382042479348,1.1304361587170098,1.8378589329094814,1.3209159116190963,2.4134348995598005,3.2493897381206303,11,0.22916666666666666
raw,tuning,threshold_k9,9,False,48,0,4,1.441382042479348,1.1304361587170098,1.8378589329094814,1.3209159116190963,2.4134348995598005,3.2493897381206303,11,0.22916666666666666
raw,tuning,threshold_k10,10,False,48,0,4,1.441382042479348,1.1304361587170098,1.8378589329094814,1.3209159116190963,2.4134348995598005,3.2493897381206303,11,0.22916666666666666
raw,tuning,threshold_k11,11,False,48,0,4,1.441382042479348,1.1304361587170098,1.8378589329094814,1.3209159116190963,2.4134348995598005,3.2493897381206303,11,0.22916666666666666
raw,tuning,threshold_k12,12,False,48,0,4,1.441382042479348,1.1304361587170098,1.8378589329094814,1.3209159116190963,2.4134348995598005,3.2493897381206303,11,0.22916666666666666
raw,tuning,threshold_k13,13,False,48,0,4,1.441382042479348,1.1304361587170098,1.8378589329094814,1.3209159116190963,2.4134348995598005,3.2493897381206303,11,0.22916666666666666
raw,tuning,threshold_k14,14,False,48,0,4,1.1722657014384774,1.0240856494328017,1.3418866630248765,1.0,1.6372928046252526,2.4152542372881354,2,0.041666666666666664
raw,tuning,threshold_k15,15,False,48,0,4,1.1016118540320108,1.0393075542599202,1.151886447556095,1.0,1.4616625800779885,2.193259683960285,1,0.020833333333333332
raw,tuning,threshold_k16,16,True,48,0,4,1.1195745130667638,1.0,1.3230390352710157,1.0,1.489269347926454,2.434762773722628,3,0.0625
raw,held_out,threshold_k6,6,False,17,6,9,1.0919322518206884,1.029092005823841,1.163641415459928,1.0,1.3464985362779591,1.4896621280887543,0,0.0
raw,held_out,threshold_k7,7,False,17,6,9,1.0919322518206884,1.0281948635998235,1.1665986915561517,1.0,1.3464985362779591,1.4896621280887543,0,0.0
raw,held_out,threshold_k8,8,False,17,6,9,1.0919322518206884,1.024549874172367,1.1624116524087513,1.0,1.3464985362779591,1.4896621280887543,0,0.0
raw,held_out,threshold_k9,9,False,17,6,9,1.0919322518206884,1.0220764011902936,1.1610366332493844,1.0,1.3464985362779591,1.4896621280887543,0,0.0
raw,held_out,threshold_k10,10,False,17,6,9,1.0919322518206884,1.0281948635998235,1.1617908815449725,1.0,1.3464985362779591,1.4896621280887543,0,0.0
raw,held_out,threshold_k11,11,False,17,6,9,1.0919322518206884,1.0216186024392904,1.1644870257748425,1.0,1.3464985362779591,1.4896621280887543,0,0.0
raw,held_out,threshold_k12,12,False,17,6,9,1.0919322518206884,1.026412669544345,1.1617746690910569,1.0,1.3464985362779591,1.4896621280887543,0,0.0
raw,held_out,threshold_k13,13,False,17,6,9,1.0919322518206884,1.024549874172367,1.160211325313707,1.0,1.3464985362779591,1.4896621280887543,0,0.0
raw,held_out,threshold_k14,14,False,17,6,9,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0
raw,held_out,threshold_k15,15,False,17,6,9,1.0722011747657068,1.0316779084873384,1.1223155292072164,1.0,1.2099982989914426,1.2831042525414031,0,0.0
raw,held_out,threshold_k16,16,True,17,6,9,1.1895187060180277,1.1121698439035754,1.2905331765672257,1.1499804379207532,1.569036854862962,1.676762327201549,0,0.0
