schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8720778030811774,0.9203641520213961,0.8483760699275479,0.8947130107175352,stratified_by_cell,0.16791135511512947,63,64
blocked,live_k=8/family=xor_dom,16,0.7522892633317738,0.7963854058337635,0.6700109285345478,0.828354532115858,formula,0.21796656904673248,15,16
blocked,live_k=8/family=andor_dom,16,0.8969554670026242,0.9171503546504696,0.8549956978884099,0.9348984433503006,formula,0.092568145296409,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9655321783059607,0.9924796656132273,0.9208585632942757,0.9968088399419948,formula,0.08646714665549537,15,16
blocked,live_k=8/family=mixed,16,0.8877658468492687,0.9142912327468737,0.8249883513464675,0.9431970060717597,formula,0.13905311310776938,15,16
blocked,live_k=8/shape=tree,32,0.9447990488834412,0.967505773756026,0.9164691410916747,0.9693588863778226,formula,0.07974315665255013,31,32
blocked,live_k=8/shape=shared,32,0.8049539164181752,0.8575502701140567,0.7513565986881425,0.8578198697095547,formula,0.19415231667880745,31,32
blocked,live_k=12,64,0.8646016443612246,0.884421459260597,0.8469143061731255,0.8820503295965783,stratified_by_cell,0.13433953589144162,63,64
blocked,live_k=12/family=xor_dom,16,0.7607437245636098,0.7610195761587322,0.7250707515722649,0.7990267071089054,formula,0.10632009121000241,15,16
blocked,live_k=12/family=andor_dom,16,0.8672297477192595,0.8725791840709058,0.8417253803700443,0.894522862052145,formula,0.06748834488140777,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9569068061769213,0.9864328124026399,0.9254287854358852,0.984674668391808,formula,0.06562043716658475,15,16
blocked,live_k=12/family=mixed,16,0.8851605295866947,0.9481952266014221,0.8113295064437338,0.9473455446097905,formula,0.16306475802127088,15,16
blocked,live_k=12/shape=tree,32,0.9119078208239831,0.9576610962109521,0.8815001220533414,0.940886538915524,formula,0.09789229781778731,31,32
blocked,live_k=12/shape=shared,32,0.819749525513087,0.8249986736692176,0.7793345822180091,0.8603061431770378,formula,0.14572238592273823,31,32
blocked,live_k=16,64,0.90632776117782,0.9214777315055209,0.8960116646374848,0.916599618300488,stratified_by_cell,0.08620393673979605,63,64
blocked,live_k=16/family=xor_dom,16,0.8223666125260134,0.8267240942716423,0.7905756117791658,0.8515515342462208,formula,0.07833400209292582,15,16
blocked,live_k=16/family=andor_dom,16,0.9033131565128023,0.9104587123093326,0.8746600124272358,0.9305983869188434,formula,0.06533831400386841,15,16
blocked,live_k=16/family=impeqv_dom,16,0.9728764285872805,0.9820796203520142,0.9522599910431526,0.9851553569220978,formula,0.040745874297365155,15,16
blocked,live_k=16/family=mixed,16,0.9336404180739606,0.9319661784951336,0.9091995399824483,0.9573953534462061,formula,0.05250714990254132,15,16
blocked,live_k=16/shape=tree,32,0.9370969850878365,0.967439021858212,0.9151413569237073,0.9560302509981154,formula,0.06374818307744293,31,32
blocked,live_k=16/shape=shared,32,0.8765688330590508,0.8813241509805966,0.8504063423645389,0.903218432325998,formula,0.09347186649181023,31,32
blocked,family=xor_dom/shape=tree,24,0.8353183378872383,0.8327372458534885,0.8104428677411836,0.861644765844779,formula,0.07927946571773775,23,24
blocked,family=xor_dom/shape=shared,24,0.7243366481444378,0.7403916280053744,0.6735023218905034,0.7705346547536989,formula,0.16954476687060202,23,24
blocked,family=andor_dom/shape=tree,24,0.9373816824187549,0.9415015336270982,0.9215533475362708,0.9533196379677326,formula,0.04515549317560155,23,24
blocked,family=andor_dom/shape=shared,24,0.8431647848416411,0.8575502701140567,0.8215988255450638,0.8631735017234158,formula,0.0641091983495205,23,24
blocked,family=impeqv_dom/shape=tree,24,0.9846133214484377,0.987531040191861,0.9729051331141555,0.9933858130111798,formula,0.028125127823004872,23,24
blocked,family=impeqv_dom/shape=shared,24,0.9459401891450575,0.9864616961738624,0.9116375532776722,0.9749512627025995,formula,0.0850521013631227,23,24
blocked,family=mixed/shape=tree,24,0.975137187725596,0.9808516446203194,0.9625553699917531,0.9866971417864226,formula,0.031244476512156925,23,24
blocked,family=mixed/shape=shared,24,0.8341952120252681,0.883213861032158,0.7879908045553716,0.8778025646273017,formula,0.13895453314580966,23,24
blocked,all,192,0.8808166676689728,0.9118387613702296,0.8702511669700183,0.8908310805074728,stratified_by_cell,0.13463144737957106,191,192
round_robin,live_k=8,64,0.8813731160056231,0.9307686683479742,0.8582968522804431,0.9036525058083403,stratified_by_cell,0.16248225301941951,63,64
round_robin,live_k=8/family=xor_dom,16,0.7640918330766634,0.811305110110013,0.6825686436262217,0.8389807089847864,formula,0.21172822590472679,15,16
round_robin,live_k=8/family=andor_dom,16,0.9058441986814878,0.9322087704166816,0.8650451159616407,0.9436885243564909,formula,0.0901947279419694,15,16
round_robin,live_k=8/family=impeqv_dom,16,0.9691030739036954,0.9930767715284508,0.9270353693704095,1.000316732733103,formula,0.08464136475730079,15,16
round_robin,live_k=8/family=mixed,16,0.8996429090061675,0.9241936284492838,0.8375434161759457,0.9544493391106618,formula,0.13472700720312167,15,16
round_robin,live_k=8/shape=tree,32,0.9538264538819934,0.9848948781051371,0.9263100145235862,0.9778779025037233,formula,0.07842386645480331,31,32
round_robin,live_k=8/shape=shared,32,0.8144233853610112,0.8620338544564228,0.7618865711521222,0.8652540939315131,formula,0.18605757284439076,31,32
round_robin,live_k=12,64,0.8735430421604741,0.899209668143073,0.8560367056047764,0.8909588538289271,stratified_by_cell,0.13148048011390034,63,64
round_robin,live_k=12/family=xor_dom,16,0.7696216784142969,0.7637130770978126,0.7333251130627548,0.8090670973907572,formula,0.10601712524364212,15,16
round_robin,live_k=12/family=andor_dom,16,0.8802490202732955,0.8941006303736463,0.8542841201294296,0.907926163592271,formula,0.06615515492201664,15,16
round_robin,live_k=12/family=impeqv_dom,16,0.9601442277084654,0.9874770316515483,0.927007592830027,0.9884362908737727,formula,0.06833590671755557,15,16
