corpus,role,id,seed,truth_sha256_expected,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-1-9f9a10d83773,2283024197844612547,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,,xor_dom,13,26,26,17,3477.0,311.0,4,16,14,2,13,16,14,16941.0,21731.0,15268.0,617,190845.0,186525.28524398804,12256.205081939697,22299.587726593018,44181.9429397583,21636.486053466797,18976.0,13846.0,ok,4183.8,9369.4,3546.4,6898.8,16851.0,199010.0,2.2394473923227687,1.945296638845026,4.751579066095195,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,True,1024,13312,26624,4096,2048,16777216,5,5,9f9a10d83773d78f05d14fd0223a1358
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-2-8f95e55d7b67,6798686009557510971,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,,xor_dom,13,26,27,19,3467.0,130.0,6,17,15,3,13,17,15,17373.0,20358.0,13465.0,623,185624.0,182479.6199798584,10937.45231628418,20757.317543029785,43518.84126663208,24341.046810150146,17472.0,12573.0,ok,4131.6,9814.2,3943.4,8283.4,12212.0,190864.0,2.3753993610223643,2.1005731094994164,3.0968200030430593,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,True,1024,13312,27648,4096,3072,16777216,5,5,8f95e55d7b67dbfd2eccf7ef34cf073b
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-1-eff7cf0ccbc6,1424053974641043770,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,,xor_dom,13,33,61,17,3035.0,140.0,4,17,16,3,30,32,31,19727.0,25969.0,15759.0,805,272897.0,269249.0816116333,20012.259483337402,39428.4725189209,57756.900787353516,40307.64102935791,15680.0,27621.0,ok,6372.0,19989.2,3572.6,8087.0,11982.0,269971.0,3.1370370370370373,2.263617533449029,3.353859933941667,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,True,1024,13312,62464,5120,3072,16777216,5,5,eff7cf0ccbc63d6a62f81dd8dfc54fdd
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-2-dc1141c5a731,6107769996622208047,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,,xor_dom,13,45,113,30,5871.0,150.0,17,40,34,9,61,79,65,31288.0,37640.0,22842.0,1094,425920.0,421054.6612739563,29243.528842926025,59418.38026046753,91582.5366973877,69245.69606781006,30206.0,50143.0,ok,16226.2,36664.0,8732.2,16382.4,16331.0,411143.0,2.25955553364312,1.8760907904079154,1.8702045303589014,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,True,1024,13312,115712,5120,9216,16777216,5,5,dc1141c5a731d0b0c7dce3d6eccbec89
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-1-e717aa4b182d,8870036969255502751,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,,andor_dom,13,32,38,27,4909.0,180.0,14,22,20,4,19,22,20,25047.0,25267.0,18204.0,769,222674.0,219061.9707107544,14305.11474609375,16167.759895324707,53621.82855606079,32402.57501602173,25848.0,19255.0,ok,5243.8,13194.6,5848.8,11960.2,17151.0,237130.0,2.516228689118578,2.0448980987553003,2.9323963890028724,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,True,1024,13312,38912,4096,4096,16777216,5,5,e717aa4b182d81fb7f014621e488dfa4
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-2-2b02c2ce353d,3509592225480496666,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,,andor_dom,13,31,33,27,4248.0,171.0,14,21,17,4,18,22,18,23643.0,26138.0,15168.0,723,191987.0,188663.60187530518,11816.620826721191,14446.675777435303,48264.86110687256,22858.381271362305,24315.0,16120.0,ok,5323.8,11367.2,5596.4,10166.8,13695.0,208436.0,2.13516661031594,1.8166678579086555,2.4471088556929455,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,True,1024,13312,33792,5120,4096,16777216,5,5,2b02c2ce353d6de4fd4c42b31fc40c0d
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-1-edd8877715e2,1596869751077217417,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,,andor_dom,13,41,66,30,5850.0,150.0,17,31,28,7,35,40,35,29415.0,32891.0,18334.0,992,326476.0,322207.8084945679,25235.116481781006,30025.839805603027,74073.6722946167,52757.56120681763,30747.0,29505.0,ok,8173.2,21476.0,6870.8,15158.0,14727.0,326376.0,2.6276121959575196,2.206147755719858,2.1434185247714965,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,True,1024,13312,67584,4096,7168,16777216,5,5,edd8877715e24daa4abd7dda0f05fdfd
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-2-9afc69d8f8fe,3454281855025251075,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,,andor_dom,13,44,67,30,6071.0,180.0,17,36,32,7,34,40,36,32109.0,38682.0,20658.0,1073,344359.0,339441.0014152527,25734.305381774902,28669.83413696289,80555.67741394043,54799.020290374756,34254.0,31097.0,ok,8207.2,22026.8,7814.4,16881.4,16320.0,368194.0,2.683838580758358,2.160293816543817,2.0884520884520885,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,True,1024,13312,68608,5120,7168,16777216,5,5,9afc69d8f8fe0a445bc160e2d2c7a066
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-1-77031942351a,3914099624317553999,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,,impeqv_dom,13,30,33,28,4739.0,171.0,15,38,26,4,17,39,27,22302.0,24455.0,14887.0,715,173141.0,169731.67657852173,4343.688488006592,10788.440704345703,50529.8376083374,24333.596229553223,25427.0,16220.0,ok,9954.4,13022.2,9677.8,12056.4,18034.0,199510.0,1.3081853250823758,1.2457789993593587,1.8634400380251712,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,True,1024,13312,33792,6144,4096,16777216,5,5,77031942351ab96188ccc50b84682d78
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-2-56d7f366df96,3816016164161023029,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,,impeqv_dom,13,29,32,28,4809.0,191.0,15,41,28,4,16,41,28,21270.0,23664.0,13685.0,696,172911.0,169865.78702926636,3151.5955924987793,12181.699275970459,50999.2241859436,25920.569896697998,26038.0,15969.0,ok,10748.0,12998.2,10816.2,12617.4,18995.0,202086.0,1.209359880908076,1.1665279857990791,1.7561620532164715,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,True,1024,13312,32768,4096,4096,16777216,5,5,56d7f366df963c8ab9dbafffce31d8e9
