arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,48,0,4,1.47566588034139,1.1666715489029245,1.866497723760744,1.3860297423843249,2.394075410941067,3.1370370370370373,13,0.2708333333333333
raw,tuning,threshold_k7,7,False,48,0,4,1.47566588034139,1.1666715489029245,1.866497723760744,1.3860297423843249,2.394075410941067,3.1370370370370373,13,0.2708333333333333
raw,tuning,threshold_k8,8,False,48,0,4,1.47566588034139,1.1666715489029245,1.866497723760744,1.3860297423843249,2.394075410941067,3.1370370370370373,13,0.2708333333333333
raw,tuning,threshold_k9,9,False,48,0,4,1.47566588034139,1.1666715489029245,1.866497723760744,1.3860297423843249,2.394075410941067,3.1370370370370373,13,0.2708333333333333
raw,tuning,threshold_k10,10,False,48,0,4,1.47566588034139,1.1666715489029245,1.866497723760744,1.3860297423843249,2.394075410941067,3.1370370370370373,13,0.2708333333333333
raw,tuning,threshold_k11,11,False,48,0,4,1.47566588034139,1.1666715489029245,1.866497723760744,1.3860297423843249,2.394075410941067,3.1370370370370373,13,0.2708333333333333
raw,tuning,threshold_k12,12,False,48,0,4,1.47566588034139,1.1666715489029245,1.866497723760744,1.3860297423843249,2.394075410941067,3.1370370370370373,13,0.2708333333333333
raw,tuning,threshold_k13,13,False,48,0,4,1.47566588034139,1.1666715489029245,1.866497723760744,1.3860297423843249,2.394075410941067,3.1370370370370373,13,0.2708333333333333
raw,tuning,threshold_k14,14,False,48,0,4,1.193864005314871,1.0335636814028815,1.3790260714771403,1.0,1.70613125909522,2.437652860751373,4,0.08333333333333333
raw,tuning,threshold_k15,15,False,48,0,4,1.0971966134690552,1.028927929559494,1.1615138285494129,1.0,1.3600962025198395,2.2449761432103923,1,0.020833333333333332
raw,tuning,threshold_k16,16,True,48,0,4,1.091606723263486,1.0,1.247562163049588,1.0,1.3166799174437696,2.2565984961800827,1,0.020833333333333332
raw,held_out,threshold_k6,6,False,17,6,9,1.1059917109682256,1.032544582165829,1.1924225998147178,1.0,1.423353879463129,1.5499434239352867,0,0.0
raw,held_out,threshold_k7,7,False,17,6,9,1.1059917109682256,1.030941503415213,1.1932422921823653,1.0,1.423353879463129,1.5499434239352867,0,0.0
raw,held_out,threshold_k8,8,False,17,6,9,1.1059917109682256,1.027357104036826,1.1924270968827853,1.0,1.423353879463129,1.5499434239352867,0,0.0
raw,held_out,threshold_k9,9,False,17,6,9,1.1059917109682256,1.0245951656296846,1.188602211597791,1.0,1.423353879463129,1.5499434239352867,0,0.0
raw,held_out,threshold_k10,10,False,17,6,9,1.1059917109682256,1.030941503415213,1.1877677124105155,1.0,1.423353879463129,1.5499434239352867,0,0.0
raw,held_out,threshold_k11,11,False,17,6,9,1.1059917109682256,1.0237172426258379,1.1932415019963327,1.0,1.423353879463129,1.5499434239352867,0,0.0
raw,held_out,threshold_k12,12,False,17,6,9,1.1059917109682256,1.029542726577616,1.1882287222489136,1.0,1.423353879463129,1.5499434239352867,0,0.0
raw,held_out,threshold_k13,13,False,17,6,9,1.1059917109682256,1.027357104036826,1.1871092167160204,1.0,1.423353879463129,1.5499434239352867,0,0.0
raw,held_out,threshold_k14,14,False,17,6,9,1.0003660074045515,1.0,1.000957533139818,1.0,1.0,1.0062403780142652,0,0.0
raw,held_out,threshold_k15,15,False,17,6,9,1.0380544503690643,1.009854146206579,1.0724063575227274,1.0,1.1313325295148018,1.1805994697475282,0,0.0
raw,held_out,threshold_k16,16,True,17,6,9,1.1391033458516795,1.0710138971580316,1.2253875208371057,1.06596869473605,1.5092234794942896,1.6135538754202363,0,0.0
cm,tuning,threshold_k6,6,False,48,0,4,1.3482917617433552,1.1146114310681545,1.630963602304777,1.2648971208872055,2.0616006019785353,2.7099174514591327,6,0.125
cm,tuning,threshold_k7,7,False,48,0,4,1.3482917617433552,1.1146114310681545,1.630963602304777,1.2648971208872055,2.0616006019785353,2.7099174514591327,6,0.125
cm,tuning,threshold_k8,8,False,48,0,4,1.3482917617433552,1.1146114310681545,1.630963602304777,1.2648971208872055,2.0616006019785353,2.7099174514591327,6,0.125
cm,tuning,threshold_k9,9,False,48,0,4,1.3482917617433552,1.1146114310681545,1.630963602304777,1.2648971208872055,2.0616006019785353,2.7099174514591327,6,0.125
cm,tuning,threshold_k10,10,False,48,0,4,1.3482917617433552,1.1146114310681545,1.630963602304777,1.2648971208872055,2.0616006019785353,2.7099174514591327,6,0.125
cm,tuning,threshold_k11,11,False,48,0,4,1.3482917617433552,1.1146114310681545,1.630963602304777,1.2648971208872055,2.0616006019785353,2.7099174514591327,6,0.125
cm,tuning,threshold_k12,12,False,48,0,4,1.3482917617433552,1.1146114310681545,1.630963602304777,1.2648971208872055,2.0616006019785353,2.7099174514591327,6,0.125
cm,tuning,threshold_k13,13,False,48,0,4,1.3482917617433552,1.1146114310681545,1.630963602304777,1.2648971208872055,2.0616006019785353,2.7099174514591327,6,0.125
cm,tuning,threshold_k14,14,False,48,0,4,1.1416056871291498,1.0144549753979217,1.2846933343438045,1.0,1.5501395961505058,2.7099174514591327,1,0.020833333333333332
