schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8855932873577815,0.9326446884430408,0.8625203696692652,0.9076834099558786,stratified_by_cell,0.1569441886544283,63,64
blocked,live_k=8/family=xor_dom,16,0.776657326946103,0.816073367594234,0.6935277324793011,0.8526917562565893,formula,0.21087768082982103,15,16
blocked,live_k=8/family=andor_dom,16,0.9119771856313061,0.9280107712472359,0.8743579548037668,0.946097877704245,formula,0.08057748693231394,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9676955963197856,0.9962029163719326,0.9219888076164764,0.998459859266967,formula,0.08721900842584943,15,16
blocked,live_k=8/family=mixed,16,0.8973979675763905,0.9336324841119117,0.8369702099941826,0.9493823897398435,formula,0.13044004339643783,15,16
blocked,live_k=8/shape=tree,32,0.9540626409775151,0.982484301343329,0.9304990968171148,0.974459942472037,formula,0.06626106239339549,31,32
blocked,live_k=8/shape=shared,32,0.8220377121250737,0.8745870290136409,0.7700446811716213,0.8730882712410157,formula,0.1849788307664343,31,32
blocked,live_k=12,64,0.8837091461179043,0.9115869950173433,0.865953524468048,0.9007564560023229,stratified_by_cell,0.12245098616091019,63,64
blocked,live_k=12/family=xor_dom,16,0.7973266642316273,0.8073070950560652,0.7591210617022315,0.8354605812190405,formula,0.10385078872262353,15,16
blocked,live_k=12/family=andor_dom,16,0.8862716894768223,0.8967086543052393,0.8615246574925728,0.9132701056813316,formula,0.06337219974815694,15,16
blocked,live_k=12/family=impeqv_dom,16,0.961135963039631,0.9899380925889455,0.9308300692886142,0.9871786700940688,formula,0.06213170145788949,15,16
blocked,live_k=12/family=mixed,16,0.8979443185887068,0.9583277451141752,0.8234738825343751,0.9585263068651806,formula,0.15881623151688715,15,16
blocked,live_k=12/shape=tree,32,0.9300775996778234,0.9637797519511174,0.9049397294780628,0.9537619748438918,formula,0.07843621175994027,31,32
blocked,live_k=12/shape=shared,32,0.8396523636339073,0.8499776646646215,0.8002802214585255,0.8783211940425559,formula,0.13755216618061575,31,32
blocked,live_k=16,64,0.9193447452196211,0.9337789366850386,0.9096407827228093,0.9290606061525637,stratified_by_cell,0.0756094396791742,63,64
blocked,live_k=16/family=xor_dom,16,0.8476463206688591,0.8613570136875324,0.818382263624979,0.873452535737234,formula,0.06886925433230384,15,16
