corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,35962.5,18037.100000000002,57174.0,0.09456173314989492
b2,ir_canonicalize_ns,192,18890.48144221306,4183.687269687653,43534.3012213707,0.05645150664549264
b2,ir_rewrite_ns,192,30364.375561475754,13566.762208938599,66857.31932520866,0.08053218541997628
b2,ir_intern_ns,192,92664.73352909088,44984.370470047,155394.24493908882,0.23998668083718155
b2,ir_live_vars_ns,192,50931.23763799667,18956.139683723453,119843.42709183693,0.13599399948174384
b2,lower_cm_ns_median,192,37490.0,20410.0,61475.9,0.10522357527306853
b2,wrapper_current_ns_median,192,20664.0,17076.0,62559.60000000002,
b2,end_to_end_current_ns_median,192,388122.0,202954.4,709553.5,
bx1,hash_ns_median,80,23564.5,10035.0,48092.30000000002,0.10442684167828926
bx1,ir_canonicalize_ns,80,10189.134627580643,2574.3618607521057,27951.78443193438,0.05191927541170245
bx1,ir_rewrite_ns,80,16470.439732074738,4839.897155761719,40207.1513235569,0.06784291449092736
bx1,ir_intern_ns,80,57042.57637262344,22855.58730363846,121163.76310586934,0.25086309977340576
bx1,ir_live_vars_ns,80,25589.484721422195,6400.607526302339,76408.21859240533,0.11638734172358581
bx1,lower_cm_ns_median,80,25933.5,12898.8,55066.70000000003,0.12299802165314407
bx1,wrapper_current_ns_median,80,19056.0,16301.0,39239.30000000015,
bx1,end_to_end_current_ns_median,80,247759.0,103710.90000000001,529456.2000000002,
epfl,hash_ns_median,129,79279.0,29646.800000000003,481482.40000000026,0.09102600196726554
epfl,ir_canonicalize_ns,129,48578.716814517975,17748.959362506866,407872.53528833395,0.06471813446906438
epfl,ir_rewrite_ns,129,69760.71745157242,26313.02922964096,493548.9967465401,0.08191862018271853
epfl,ir_intern_ns,129,221486.20337247849,88783.91236066818,1339197.345077992,0.26565153088309723
epfl,ir_live_vars_ns,129,106367.28256940842,29901.4151096344,999539.9042963983,0.1275163914090544
epfl,lower_cm_ns_median,129,90950.0,30564.8,531127.2000000002,0.10392412999008414
epfl,wrapper_current_ns_median,129,42439.0,19604.8,155289.2,
epfl,end_to_end_current_ns_median,129,825477.0,314773.8,5470361.0,
