corpus,role,id,seed,truth_sha256_expected,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,3467.0,821.0,1,3,2,1,1,3,2,9999.0,11020.0,14337.0,95,85831.0,80641.35909080505,0.0,5669.891834259033,15198.253095149994,4848.465323448181,17843.0,10810.0,ok,1767.01,1903.77,1764.61,1918.19,29816.0,86421.0,1.0773962795909475,1.0870333954811546,16.89665138472524,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,469422568421749975,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,,andor_dom,2,4,5,3,1943.0,341.0,1,1,1,1,2,2,2,11952.0,9708.0,12172.0,119,79389.0,75972.63902425766,5120.411515235901,9496.696293354034,13407.319784164429,3545.5450415611267,13856.0,9828.0,ok,1815.2,1943.34,1823.11,1987.73,19527.0,103674.0,1.07059277214632,1.0902962520089299,10.710818326924871,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,True,1,0,5,0,0,8388608,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,452964046958912957,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,andor_dom,2,3,3,3,2074.0,341.0,1,1,1,1,1,1,1,7735.0,6312.0,9979.0,95,57117.0,53951.51674747467,2995.133399963379,2835.877239704132,12802.891433238983,3325.752913951874,10440.0,7444.0,ok,1596.59,1748.78,1819.31,1951.05,19818.0,83106.0,1.0953219048096257,1.0724120683116127,10.893140806129797,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,True,1,0,3,0,0,8388608,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,5318592467202692467,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,,mixed,2,3,3,3,1973.0,351.0,1,3,2,1,1,3,2,8586.0,6833.0,9759.0,95,53240.0,50494.447350502014,0.0,1473.352313041687,13595.446944236755,3405.846655368805,10590.0,7113.0,ok,1731.95,1873.41,1735.35,1891.54,18585.0,82655.0,1.081676722769133,1.0900048981473478,10.709655112801453,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,True,1,0,3,0,0,8388608,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,8616361440898826637,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,,impeqv_dom,2,11,31,3,1933.0,340.0,1,1,1,1,15,39,27,25507.0,31970.0,20739.0,295,173996.0,170209.44505929947,4057.77245759964,16282.31257200241,39914.62290287018,10098.330676555634,10620.0,40216.0,ok,5527.85,5656.7,1793.56,1959.17,19186.0,172874.0,1.0233092431958175,1.092335912932938,10.697160953634114,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,True,1,0,31,0,0,8388608,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,4522821221123432492,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,,xor_dom,2,10,25,6,4157.0,341.0,4,6,6,4,12,12,12,22432.0,26780.0,18986.0,270,236834.0,232526.10117197037,20598.992705345154,31969.51001882553,44542.36477613449,19627.62326002121,22152.0,32761.0,ok,3655.55,3756.43,2202.52,2312.33,16621.0,202098.0,1.027596394523396,1.0498565279770444,7.5463559922270855,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,True,1,0,25,0,0,8388608,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,6260423800473009968,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,andor_dom,2,5,6,4,1763.0,280.0,2,3,2,2,3,4,3,8136.0,9728.0,9397.0,137,81944.0,79068.35526227951,5148.351192474365,4298.053681850433,16361.474990844727,5281.530320644379,11121.0,8465.0,ok,1474.06,1584.27,1496.21,1594.79,15779.0,96340.0,1.074766291738464,1.0658864731555062,10.545979508224113,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,6,0,0,8388608,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,4008937263292170230,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,,xor_dom,2,12,31,8,3566.0,270.0,6,11,8,3,16,24,19,18254.0,24105.0,15909.0,310,208400.0,204492.36035346985,12430.362403392792,25035.813450813293,46086.497604846954,16010.366380214691,20027.0,28363.0,ok,3609.06,3657.05,2441.97,2554.48,17533.0,211085.0,1.0132970912093455,1.0460734570858774,7.17985888442528,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,True,1,0,31,0,0,8388608,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,2064.0,270.0,2,4,3,2,3,4,3,8867.0,9498.0,9948.0,158,89819.0,86732.20872879028,4809.349775314331,4098.750650882721,23013.91214132309,6471.76057100296,11461.0,8085.0,ok,1500.21,1595.19,1558.82,1642.98,15860.0,103715.0,1.0633111364408983,1.0539895562027688,10.174362658934323,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,2140984543467918017,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,impeqv_dom,3,16,56,16,6562.0,290.0,13,32,22,6,28,59,43,31750.0,33413.0,18826.0,412,241923.0,237224.62356090546,5870.126187801361,14496.967196464539,62597.91553020477,34135.766327381134,39404.0,48490.0,ok,6246.6,6317.04,4025.24,4080.45,18385.0,264415.0,1.0112765344347325,1.01371595234073,4.567429519730501,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,56,0,0,8388608,100,5,c073c4cae16c20ea16679fb56d345d47
bx1,tuning,bx1-k3-3-2cf6fe6bc52c,351760472865490451,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,,mixed,3,6,7,6,2465.0,271.0,3,5,4,2,3,5,4,10810.0,11070.0,10109.0,164,95069.0,92001.63185596466,4308.298230171204,7924.623787403107,23183.412849903107,8464.790880680084,14537.0,8756.0,ok,1600.2,1696.37,1846.16,1937.43,21630.0,119083.0,1.0600987376577926,1.0494377518741604,11.716210945963512,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,True,1,0,7,0,0,8388608,100,5,2cf6fe6bc52ca9b0c580828a67d0e3b2
bx1,tuning,bx1-k3-4-6f4b1568a0b2,3528185177367768437,50868f20258bbc9cce0da2719e8654c108733dd2f663b8737c574ec0ead93eb3,,impeqv_dom,3,14,37,8,3176.0,271.0,5,14,9,3,19,45,31,22743.0,28273.0,17343.0,363,182832.0,179045.83364725113,5700.625479221344,15798.956155776978,41187.74086236954,14298.595488071442,18835.0,33072.0,ok,4720.25,4772.44,2216.35,2269.25,16491.0,195095.0,1.0110566177638896,1.0238680713786181,7.440611816725698,50868f20258bbc9cce0da2719e8654c108733dd2f663b8737c574ec0ead93eb3,True,1,0,37,0,0,8388608,100,5,6f4b1568a0b24d9f538b69e1ddaf3168
bx1,tuning,bx1-k3-5-9d6635482dd7,2879241967487364291,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,mixed,3,6,6,6,2474.0,261.0,3,8,5,2,3,8,5,8466.0,9688.0,9758.0,158,67627.0,64690.59735536575,0.0,1532.9569578170776,21430.663764476776,5660.578608512878,13095.0,7905.0,ok,1743.17,1843.86,1743.97,1846.66,16040.0,94707.0,1.0577625819627459,1.0588828936277574,9.197405918679793,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,True,1,0,6,0,0,8388608,100,5,9d6635482dd776daa8fdfaeb834e3d4b
bx1,tuning,bx1-k3-6-6e2e20f77614,6222481568918042885,9e076ceaf246b6003d9c2680a2b4cf0bffd069805902b0b5edeebf49039fe4bd,,andor_dom,3,5,5,5,1994.0,281.0,2,4,3,2,2,4,3,8466.0,8405.0,8827.0,139,73859.0,71052.46186256409,2313.4052753448486,4868.954420089722,17662.53262758255,5760.230123996735,11482.0,7334.0,ok,1441.2,1545.5,1584.16,1684.26,15619.0,93325.0,1.0723702470163752,1.063188061811938,9.85948389051611,9e076ceaf246b6003d9c2680a2b4cf0bffd069805902b0b5edeebf49039fe4bd,True,1,0,5,0,0,8388608,100,5,6e2e20f7761486ffa97f9643074ee08b
bx1,tuning,bx1-k3-7-7eea095f4c98,5572147757052189078,3e151409ace91cb3394fecd59e92b5dc42c0aad29993a1858f2f70a0866a539b,,mixed,3,5,5,5,2094.0,281.0,2,4,3,2,2,4,3,8476.0,8336.0,8907.0,138,70623.0,67917.63007640839,2604.9092411994934,2483.837306499481,17373.82262945175,5740.67234992981,11842.0,7113.0,ok,1431.08,1540.99,1582.37,1671.03,15689.0,90840.0,1.0768021354501496,1.0560298792317853,9.914874523657552,3e151409ace91cb3394fecd59e92b5dc42c0aad29993a1858f2f70a0866a539b,True,1,0,5,0,0,8388608,100,5,7eea095f4c986451937dd28e2dc782e7
bx1,tuning,bx1-k3-8-a6d677a5a9c6,9188566006954337819,fe1dcd3abfcd6b1655a026e60a05d03a7f71e4b6070f36e6c7e9c4b6f3d3bf1b,,xor_dom,3,16,38,5,2214.0,271.0,2,3,3,2,19,22,20,21330.0,31198.0,24225.0,413,208641.0,205345.45183181763,16803.85321378708,29767.86345243454,32471.492886543274,11088.326573371887,12042.0,32931.0,ok,3771.66,3836.89,1686.96,1765.51,15239.0,211917.0,1.0172947720632295,1.0465630483236117,9.033409209465548,fe1dcd3abfcd6b1655a026e60a05d03a7f71e4b6070f36e6c7e9c4b6f3d3bf1b,True,1,0,38,0,0,8388608,100,5,a6d677a5a9c6e5a710b944d3546e59a6
bx1,tuning,bx1-k4-1-3d5e8d379589,2912613150875055739,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,,andor_dom,4,9,11,9,3487.0,270.0,5,11,8,4,5,11,8,14968.0,15940.0,12303.0,232,131106.0,127659.17927026749,4689.209163188934,10030.344128608704,33440.06836414337,14417.804777622223,19958.0,12523.0,ok,2225.47,2305.42,2482.95,2586.65,16732.0,155411.0,1.0359249956189032,1.0417648361827665,6.738758331823034,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,True,2,0,22,0,0,8388608,100,5,3d5e8d3795898edaa2d1f391c12bd94e
bx1,tuning,bx1-k4-2-dc59c9d65758,7097291320739778651,0c3f8fb85969c5f63bbb8cd980c4089845e43c24d46f2f3d36dac81ec4a6b5e9,,andor_dom,4,8,9,8,2916.0,260.0,4,4,4,3,4,4,4,14156.0,13425.0,11542.0,206,123081.0,119944.10306215286,6621.703505516052,9117.648005485535,29284.507036209106,12374.483048915863,17903.0,10529.0,ok,1707.0,1811.49,2330.56,2370.44,16391.0,146915.0,1.061212653778559,1.0171117671289305,7.033073596045586,0c3f8fb85969c5f63bbb8cd980c4089845e43c24d46f2f3d36dac81ec4a6b5e9,True,2,0,18,0,0,8388608,100,5,dc59c9d65758cde975d26a122e6a5109
bx1,tuning,bx1-k4-3-ab064aa12f01,1101616449022087241,fc5c2283015b212d975b85e56b2a75aac4b50bd5aba30cbe74f62857c380bd47,,mixed,4,9,10,8,3036.0,261.0,4,8,6,3,5,8,6,13415.0,14197.0,12473.0,226,129423.0,125845.89421749115,7004.477083683014,8296.221494674683,33503.398299217224,12264.586985111237,16781.0,11331.0,ok,1968.09,2087.51,2174.07,2285.08,16130.0,152366.0,1.0606781193949466,1.0510609134020523,7.419264329115437,fc5c2283015b212d975b85e56b2a75aac4b50bd5aba30cbe74f62857c380bd47,True,2,0,20,0,0,8388608,100,5,ab064aa12f01ab07398c8f0813f4e1ad
bx1,tuning,bx1-k4-4-341296acd12a,1570959925577742463,dc957fb3268bfbc0fe10280b72493204a4a93b515bc94d24bd3a535c3f1cec88,,andor_dom,4,8,9,8,2976.0,291.0,4,6,5,3,4,6,5,14266.0,13906.0,11692.0,207,127149.0,124001.8755197525,5952.082574367523,9758.397936820984,30546.44912481308,11771.917343139648,17473.0,11231.0,ok,1833.63,1934.33,2241.6,2307.02,16320.0,143288.0,1.0549183859339124,1.029184511063526,7.28051391862955,dc957fb3268bfbc0fe10280b72493204a4a93b515bc94d24bd3a535c3f1cec88,True,2,0,18,0,0,8388608,100,5,341296acd12a5b8fb41f5050d99bae4c
