schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8764625744471165,0.9239885702698012,0.8526938803001595,0.89965107481511,stratified_by_cell,0.16524280421866494,63,64
blocked,live_k=8/family=xor_dom,16,0.762288585416819,0.8058705061817122,0.6778454830069301,0.8404624079443558,formula,0.22030926057787803,15,16
blocked,live_k=8/family=andor_dom,16,0.9008460175086737,0.9162332995471665,0.8616293727491896,0.9373496997725995,formula,0.08550551324037067,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9641339869594884,0.9923681453428598,0.9173243005918302,0.9963485188911113,formula,0.09027167677765197,15,16
blocked,live_k=8/family=mixed,16,0.8913045682737241,0.926215501226629,0.8284049742821041,0.9456211609065697,formula,0.13823339353990372,15,16
blocked,live_k=8/shape=tree,32,0.9481454703802156,0.9743746073665601,0.9216561528031837,0.9710648741477097,formula,0.07465759095799127,31,32
blocked,live_k=8/shape=shared,32,0.8101991396936347,0.8613072175959793,0.7568600338095743,0.8626616757183669,formula,0.19276515253018975,31,32
blocked,live_k=12,64,0.8746819535572656,0.8965300529606315,0.8564084011764393,0.892003724893252,stratified_by_cell,0.12967658603182672,63,64
blocked,live_k=12/family=xor_dom,16,0.7781164623136386,0.7828375415531608,0.7393273565952122,0.8168411323270766,formula,0.10832827560555766,15,16
blocked,live_k=12/family=andor_dom,16,0.8778679867444539,0.8901260011613839,0.8516271878236905,0.9060141154210386,formula,0.06720485361084061,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9583106027539362,0.9838462224648793,0.9274463909810606,0.9842091453657633,formula,0.06185997230678057,15,16
blocked,live_k=12/family=mixed,16,0.8941709499737841,0.9556169853605027,0.8199913103380896,0.9561808203225507,formula,0.16286717263339887,15,16
blocked,live_k=12/shape=tree,32,0.9230670966303116,0.9591381183883816,0.8952541801168303,0.9493884526515108,formula,0.08793027471794564,31,32
blocked,live_k=12/shape=shared,32,0.8288330530593754,0.8391421181331946,0.7883096193106712,0.8690835511355826,formula,0.14303109088299412,31,32
blocked,live_k=16,64,0.9164373598513439,0.9206540363734445,0.9066480425287821,0.926077095389962,stratified_by_cell,0.07857731891996389,63,64
blocked,live_k=16/family=xor_dom,16,0.8414226384909592,0.8524228069321373,0.8112053133689837,0.8683261792717859,formula,0.07199149076884989,15,16
blocked,live_k=16/family=andor_dom,16,0.9120336041901489,0.9168832640701736,0.8864572073564218,0.9366014197638817,formula,0.058157126949933434,15,16
blocked,live_k=16/family=impeqv_dom,16,0.9777636094454688,0.9896448341983257,0.955693753693066,0.992246171489037,formula,0.04245201499537866,15,16
blocked,live_k=16/family=mixed,16,0.9400527831003069,0.9489505413769419,0.9164154994769069,0.9625360250562531,formula,0.0509443588577992,15,16
blocked,live_k=16/shape=tree,32,0.9446714696970311,0.9659895754448473,0.9240548714241102,0.9623659073453871,formula,0.0590478915656811,31,32
blocked,live_k=16/shape=shared,32,0.8890471041754391,0.8991729011384355,0.8641194170188582,0.913368913879902,formula,0.08461946039305959,31,32
blocked,family=xor_dom/shape=tree,24,0.8510329463726853,0.8475449553315079,0.827828167675094,0.8757071600864099,formula,0.0727959689382512,23,24
blocked,family=xor_dom/shape=shared,24,0.7393313154858007,0.7589828263598347,0.6857673088804384,0.7887888332398296,formula,0.17560616636640744,23,24
blocked,family=andor_dom/shape=tree,24,0.9428304367130607,0.9453678306241093,0.9278727276602944,0.9581063445249755,formula,0.04195223237173594,23,24
blocked,family=andor_dom/shape=shared,24,0.8530218375641149,0.8652882781296346,0.8331299349014921,0.8717138289754685,formula,0.05881946690660667,23,24
blocked,family=impeqv_dom/shape=tree,24,0.9861208727926932,0.9903334655715247,0.9749914743884721,0.9941471880521073,formula,0.02592254326735438,23,24
blocked,family=impeqv_dom/shape=shared,24,0.9476650967058239,0.9879524040096502,0.9129232076364546,0.9776545509122517,formula,0.0873834390569135,23,24
blocked,family=mixed/shape=tree,24,0.9807130182827346,0.991088250573921,0.9686246554674107,0.9918961659736734,formula,0.030062899304348308,23,24
blocked,family=mixed/shape=shared,24,0.8411188099629526,0.8957801345000543,0.7946994831960625,0.8851894570068758,formula,0.13960625914890387,23,24
blocked,all,192,0.8889870664741696,0.9153559742738736,0.8782911748868683,0.8991328111741086,stratified_by_cell,0.13059546812722472,191,192
round_robin,live_k=8,64,0.8712827852499809,0.9192568709348704,0.8469228866249069,0.8944471048738364,stratified_by_cell,0.16476362480443188,63,64
round_robin,live_k=8/family=xor_dom,16,0.7561307894871468,0.8072382067334933,0.6730020600898208,0.8319772610791043,formula,0.217749291223427,15,16
round_robin,live_k=8/family=andor_dom,16,0.8984586500428604,0.9327199045165959,0.8567872910118416,0.9354740608111126,formula,0.09116093215958238,15,16
