corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,37281.5,19213.100000000002,59475.0,0.09975531418352973
b2,ir_canonicalize_ns,192,20400.15533566475,4633.050411939621,47110.25394499302,0.05923767853406188
b2,ir_rewrite_ns,192,33261.021599173546,14648.959040641786,72112.12068796158,0.08508730050164134
b2,ir_intern_ns,192,89239.0962690115,42424.723505973816,156420.98151147366,0.22905216461853306
b2,ir_live_vars_ns,192,49970.34557163715,17476.128414273262,113970.08784115316,0.12791879479601792
b2,lower_cm_ns_median,192,39401.0,20909.100000000002,66371.0,0.10821445554554948
b2,wrapper_current_ns_median,192,23135.5,17734.0,65367.0,
b2,end_to_end_current_ns_median,192,407711.5,208588.0,769275.0,
bx1,hash_ns_median,80,25455.5,10383.0,49147.100000000006,0.10655363235025932
bx1,ir_canonicalize_ns,80,11180.52750825882,2642.069011926651,29226.858168840427,0.05319304169171328
bx1,ir_rewrite_ns,80,18015.73671400547,5329.72626388073,43019.65236663821,0.07378728855395084
bx1,ir_intern_ns,80,54486.56156659126,21426.426246762276,121029.41982448102,0.23974326785975528
bx1,ir_live_vars_ns,80,24010.42729616165,6040.465086698532,70430.89717626576,0.10760959994722386
bx1,lower_cm_ns_median,80,28875.5,13925.0,57181.90000000003,0.127690434025591
bx1,wrapper_current_ns_median,80,20260.5,17190.9,44991.000000000095,
bx1,end_to_end_current_ns_median,80,258132.0,121872.0,536912.1000000001,
epfl,hash_ns_median,129,81023.0,27576.199999999997,477402.8000000003,0.09333257190097029
epfl,ir_canonicalize_ns,129,53860.24713516235,19255.373626947403,451732.79941082,0.06818277105114808
epfl,ir_rewrite_ns,129,71010.08668541908,27935.393154621124,514050.7593750954,0.08573752954787581
epfl,ir_intern_ns,129,214392.31932163239,86436.04815006256,1307692.0993626122,0.25740516831354104
epfl,ir_live_vars_ns,129,98051.96896195412,29550.67902803421,928472.2618758681,0.12045351265365531
epfl,lower_cm_ns_median,129,94042.0,32173.0,548357.6000000002,0.11000088725008289
epfl,wrapper_current_ns_median,129,44361.0,22231.0,161996.8,
epfl,end_to_end_current_ns_median,129,855345.0,343066.0,5548301.800000001,
