corpus,role,id,seed,truth_sha256_expected,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,3921.0,820.0,1,3,2,1,1,3,2,11020.0,12760.0,16131.0,95,76502.0,71031.97276592255,0.0,6479.676812887192,17102.34209895134,5390.029400587082,19690.0,12181.0,ok,1945.65,2076.06,1949.06,2109.66,33091.0,100113.0,1.0670264436049648,1.0823986947554205,16.977927821616575,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,469422568421749975,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,,andor_dom,2,4,5,3,2350.0,480.0,1,1,1,1,2,2,2,14001.0,11470.0,13750.0,119,95382.0,91421.88355326653,6609.596312046051,11261.086910963058,15821.307897567749,4199.7991502285,12520.0,11230.0,ok,2006.25,2151.96,2055.26,2238.87,23431.0,131294.0,1.0726280373831776,1.0893366289423234,11.400504072477446,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,True,1,0,5,0,0,8388608,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,452964046958912957,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,andor_dom,2,3,3,3,2560.0,410.0,1,1,1,1,1,1,1,9040.0,7570.0,10990.0,95,68792.0,65142.28880405426,3790.01721739769,3430.0610423088074,15221.53615951538,3910.1578295230865,12100.0,8720.0,ok,1761.95,1913.65,2017.95,2180.76,24071.0,104393.0,1.0860977893810835,1.0806808890210362,11.928442230976982,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,True,1,0,3,0,0,8388608,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,5318592467202692467,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,,mixed,2,3,3,3,2350.0,470.0,1,3,2,1,1,3,2,9541.0,8131.0,11341.0,95,57022.0,53551.97936296463,0.0,1760.1996660232544,15239.696949720383,3890.1343941688538,11881.0,8070.0,ok,1921.15,2063.45,1919.75,2075.85,16470.0,69572.0,1.0740702183587953,1.0813126709206928,8.579242088813647,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,True,1,0,3,0,0,8388608,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,8616361440898826637,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,,impeqv_dom,2,11,31,3,1530.0,220.0,1,1,1,1,15,39,27,20491.0,26401.0,14830.0,295,152474.0,148863.9973104,3950.204700231552,15451.572835445404,32000.24366378784,8590.053766965866,9331.0,29871.0,ok,4255.72,4425.03,1389.44,1514.24,16860.0,157915.0,1.0397841023375596,1.089820359281437,12.134385076001841,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,True,1,0,31,0,0,8388608,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,4522821221123432492,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,,xor_dom,2,10,25,6,3460.0,290.0,4,6,6,4,12,12,12,17791.0,22131.0,13900.0,270,223216.0,219075.94054937363,19500.497728586197,29141.54902100563,37960.2424800396,16310.252249240875,19000.0,25910.0,ok,2916.88,3023.99,2388.67,2510.27,18291.0,213246.0,1.03672074271139,1.0509069900823471,7.657399305889888,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,True,1,0,25,0,0,8388608,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,6260423800473009968,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,andor_dom,2,5,6,4,1650.0,280.0,2,3,2,2,3,4,3,9431.0,10541.0,10021.0,137,81263.0,78392.68073439598,5421.2287068367,5090.143531560898,16919.802874326706,5379.784852266312,12151.0,9051.0,ok,1540.75,1656.34,1554.34,1668.45,17191.0,102413.0,1.0750219049164367,1.0734137962093238,11.059999742656048,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,6,0,0,8388608,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,4008937263292170230,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,,xor_dom,2,12,31,8,3720.0,330.0,6,11,8,3,16,24,19,19561.0,32351.0,16010.0,310,214976.0,210945.0288116932,13250.857591629028,27339.43983912468,45550.987124443054,15771.482139825821,21391.0,29261.0,ok,3862.31,3984.62,2658.28,2749.18,18151.0,225406.0,1.0316675771753174,1.034195043411529,6.828099372526595,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,True,1,0,31,0,0,8388608,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,2190.0,270.0,2,4,3,2,3,4,3,10120.0,10420.0,10410.0,158,86463.0,83342.66021847725,5310.866981744766,4549.97643828392,21470.244973897934,6069.4292187690735,12980.0,8690.0,ok,1541.74,1672.34,1647.94,1758.15,17250.0,112073.0,1.0847094840894054,1.0668774348580652,10.467614112164277,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,2140984543467918017,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,impeqv_dom,3,16,56,16,6860.0,280.0,13,32,22,6,28,59,43,26210.0,35701.0,18450.0,412,256308.0,252138.35760951042,6219.837814569473,16040.634363889694,63563.697040081024,34713.18632364273,37871.0,50671.0,ok,6670.79,6776.19,4371.82,4452.13,19911.0,280968.0,1.0158002275592546,1.0183699237388548,4.5543961096293994,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,56,0,0,8388608,100,5,c073c4cae16c20ea16679fb56d345d47
bx1,tuning,bx1-k3-3-2cf6fe6bc52c,351760472865490451,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,,mixed,3,6,7,6,2760.0,311.0,3,5,4,2,3,5,4,11310.0,12431.0,10571.0,164,98173.0,94852.41025686264,4569.534212350845,8680.392056703568,22019.25963163376,8149.538189172745,16591.0,9341.0,ok,1685.14,1794.25,1972.05,2075.55,16951.0,127614.0,1.0647483295156486,1.052483456301818,8.595623843208843,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,True,1,0,7,0,0,8388608,100,5,2cf6fe6bc52ca9b0c580828a67d0e3b2
bx1,tuning,bx1-k3-4-6f4b1568a0b2,3528185177367768437,50868f20258bbc9cce0da2719e8654c108733dd2f663b8737c574ec0ead93eb3,,impeqv_dom,3,14,37,8,3420.0,300.0,5,14,9,3,19,45,31,23620.0,34711.0,17290.0,363,182645.0,178695.1906979084,6250.105798244476,16441.10307097435,40291.80854558945,14050.398021936417,20921.0,36321.0,ok,5108.34,5256.15,2322.17,2414.17,17921.0,212255.0,1.028935035647588,1.0396181158140876,7.717350581568102,50868f20258bbc9cce0da2719e8654c108733dd2f663b8737c574ec0ead93eb3,True,1,0,37,0,0,8388608,100,5,6f4b1568a0b24d9f538b69e1ddaf3168
bx1,tuning,bx1-k3-5-9d6635482dd7,2879241967487364291,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,mixed,3,6,6,6,2580.0,340.0,3,8,5,2,3,8,5,9060.0,10970.0,10160.0,158,71522.0,68381.8943798542,0.0,1929.2347133159637,21032.05770254135,5779.78789806366,14370.0,7940.0,ok,1812.26,1944.35,1832.65,1951.86,16480.0,112493.0,1.0728868926092283,1.0650478814830981,8.992442637710418,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,True,1,0,6,0,0,8388608,100,5,9d6635482dd776daa8fdfaeb834e3d4b
bx1,tuning,bx1-k3-6-6e2e20f77614,6222481568918042885,9e076ceaf246b6003d9c2680a2b4cf0bffd069805902b0b5edeebf49039fe4bd,,andor_dom,3,5,5,5,2070.0,280.0,2,4,3,2,2,4,3,9241.0,9311.0,9281.0,139,71732.0,68591.90762042999,2460.0885808467865,5349.516868591309,17269.980162382126,5709.938704967499,12211.0,7701.0,ok,1527.14,1638.85,1675.45,1783.75,16421.0,99223.0,1.0731498094477256,1.064639350622221,9.800948998776448,9e076ceaf246b6003d9c2680a2b4cf0bffd069805902b0b5edeebf49039fe4bd,True,1,0,5,0,0,8388608,100,5,6e2e20f7761486ffa97f9643074ee08b
