arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,80,0,4,1.9517787852597133,1.7351570175870132,2.026183504336753,1.554063989530252,4.2091336697563,5.7849623916247195,39,0.4875
raw,tuning,threshold_k7,7,False,80,0,4,1.6844962818966458,1.460822325177785,1.7736172133401231,1.0,3.9692355794359373,5.7849623916247195,31,0.3875
raw,tuning,threshold_k8,8,False,80,0,4,1.4643399952512894,1.2328066455584903,1.5633861101343847,1.0,3.843829963182625,4.355021399458998,23,0.2875
raw,tuning,threshold_k9,9,False,80,0,4,1.2746664756758548,1.1106789227775904,1.3345430101440543,1.0,3.507755097651782,4.208419228193648,15,0.1875
raw,tuning,threshold_k10,10,False,80,0,4,1.2746664756758548,1.1106789227775904,1.3345430101440543,1.0,3.507755097651782,4.208419228193648,15,0.1875
raw,tuning,threshold_k11,11,False,80,0,4,1.1158552422870984,1.0400196056474398,1.1581434916124267,1.0,1.3978055153878477,3.763499617371341,7,0.0875
raw,tuning,threshold_k12,12,False,80,0,4,1.1158552422870984,1.0400196056474398,1.1581434916124267,1.0,1.3978055153878477,3.763499617371341,7,0.0875
raw,tuning,threshold_k13,13,False,80,0,4,1.0071130606331335,1.0,1.0171128111207646,1.0,1.0,1.3587408968522423,0,0.0
raw,tuning,threshold_k14,14,False,80,0,4,1.0071130606331335,1.0,1.0171128111207646,1.0,1.0,1.3587408968522423,0,0.0
raw,tuning,threshold_k15,15,False,80,0,4,1.0071130606331335,1.0,1.0171128111207646,1.0,1.0,1.3587408968522423,0,0.0
raw,tuning,threshold_k16,16,True,80,0,4,1.0071130606331335,1.0,1.0171128111207646,1.0,1.0,1.3587408968522423,0,0.0
raw,held_out,threshold_k6,6,False,307,14,23,2.611413838632992,2.416660936567942,2.8408249683883686,3.5367459809676025,4.926531499016413,6.534949632299696,213,0.6938110749185668
raw,held_out,threshold_k7,7,False,307,14,23,2.217341560596615,2.0253114101688334,2.595237883444139,2.9661347955318536,4.500905781010319,5.718245028898581,181,0.5895765472312704
raw,held_out,threshold_k8,8,False,307,14,23,2.217341560596615,2.0296373410798756,2.597230312075537,2.9661347955318536,4.500905781010319,5.718245028898581,181,0.5895765472312704
raw,held_out,threshold_k9,9,False,307,14,23,1.5799362726049337,1.4592995219697735,1.754185170039328,1.0,3.8300604174891344,5.615088511855754,108,0.3517915309446254
raw,held_out,threshold_k10,10,False,307,14,23,1.545226253444365,1.4348046435870676,1.672827507047459,1.0,3.7836371737036023,5.615088511855754,103,0.3355048859934853
raw,held_out,threshold_k11,11,False,307,14,23,1.2432959676261066,1.1717835311498799,1.337509060565028,1.0,2.728339960673473,4.114071513316696,55,0.1791530944625407
raw,held_out,threshold_k12,12,False,307,14,23,1.1914549305413278,1.1161818822028058,1.2590860600210703,1.0,2.2630772064825626,4.114071513316696,44,0.14332247557003258
raw,held_out,threshold_k13,13,False,307,14,23,1.023156240362368,1.008343622899859,1.0410927247615278,1.0,1.0,1.8290268236117795,0,0.0
raw,held_out,threshold_k14,14,False,307,14,23,1.015224684528138,1.0019474416326954,1.0283629317797094,1.0,1.0,1.8290268236117795,0,0.0
raw,held_out,threshold_k15,15,False,307,14,23,1.0129576488636634,1.0,1.0268564849883652,1.0,1.0,1.8290268236117795,0,0.0
raw,held_out,threshold_k16,16,True,307,14,23,1.015387104280777,1.0020029951705256,1.0294071630591406,1.0,1.0,1.8290268236117795,0,0.0
cm,tuning,threshold_k6,6,False,80,0,4,1.7787158264647618,1.578716243484008,1.8666167335267252,1.4893140076459939,3.7053029550915983,4.5487443720461975,39,0.4875
cm,tuning,threshold_k7,7,False,80,0,4,1.5595558251985386,1.369536613699716,1.636925362812144,1.0,3.341058939118015,3.776664964896711,31,0.3875
cm,tuning,threshold_k8,8,False,80,0,4,1.381795106874988,1.1932042953497621,1.4558695762002085,1.0,3.0892364646994617,3.701864858618529,23,0.2875
cm,tuning,threshold_k9,9,False,80,0,4,1.2282441421283228,1.0943737366113764,1.2797187563263714,1.0,2.878852413030695,3.4182248911019317,15,0.1875
cm,tuning,threshold_k10,10,False,80,0,4,1.2282441421283228,1.0943737366113764,1.2797187563263714,1.0,2.878852413030695,3.4182248911019317,15,0.1875
cm,tuning,threshold_k11,11,False,80,0,4,1.0966436102922505,1.0336736662086665,1.1287983766202145,1.0,1.2730627120587568,2.86563821122445,7,0.0875
cm,tuning,threshold_k12,12,False,80,0,4,1.0966436102922505,1.0336736662086665,1.128444222701036,1.0,1.2730627120587568,2.86563821122445,7,0.0875
cm,tuning,threshold_k13,13,False,80,0,4,1.0036982055903436,1.0,1.0077095640218265,1.0,1.0,1.2189998881619415,0,0.0
cm,tuning,threshold_k14,14,False,80,0,4,1.0036982055903436,1.0,1.0077095640218265,1.0,1.0,1.2189998881619415,0,0.0
cm,tuning,threshold_k15,15,False,80,0,4,1.0036982055903436,1.0,1.0077095640218265,1.0,1.0,1.2189998881619415,0,0.0
cm,tuning,threshold_k16,16,True,80,0,4,1.0036982055903436,1.0,1.0077095640218265,1.0,1.0,1.2189998881619415,0,0.0
cm,held_out,threshold_k6,6,False,321,0,23,2.240063044358834,2.0965183453070133,2.3954104520102057,2.9434818241195604,3.824651387350544,5.208904041901374,203,0.632398753894081
cm,held_out,threshold_k7,7,False,321,0,23,1.9400219643494188,1.8170243106544819,2.1935438300948005,2.346386474329891,3.5903225349184447,3.9742930409385684,171,0.5327102803738317
cm,held_out,threshold_k8,8,False,321,0,23,1.9400219643494188,1.8154602776901227,2.162447230257811,2.346386474329891,3.5903225349184447,3.9742930409385684,171,0.5327102803738317
cm,held_out,threshold_k9,9,False,321,0,23,1.4647214457907658,1.3766128899759393,1.58335747038407,1.0,3.168870948446208,3.824651387350544,97,0.30218068535825543
cm,held_out,threshold_k10,10,False,321,0,23,1.4381648054446186,1.3529294249530357,1.5166044813984745,1.0,3.1286288009179573,3.824651387350544,92,0.2866043613707165
