schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8747596047827089,0.9253202663509067,0.8513718198776601,0.8971398823994945,stratified_by_cell,0.16322913142596895,63,64
blocked,live_k=8/family=xor_dom,16,0.76177177425968,0.7985092149357572,0.6790507600497252,0.8371673914190059,formula,0.21443761543887138,15,16
blocked,live_k=8/family=andor_dom,16,0.899287858366662,0.9203299474339574,0.8611026789730989,0.9349246096628174,formula,0.08466716825857488,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9640700642483785,0.9938957003849197,0.9178832810288344,0.9962274029472973,formula,0.08993354113059153,15,16
blocked,live_k=8/family=mixed,16,0.8865896855655296,0.9230131476480318,0.8237939479366171,0.9405373564069593,formula,0.1384632003489991,15,16
blocked,live_k=8/shape=tree,32,0.9461409754957075,0.9658657937278651,0.9205254908317442,0.9689145414393714,formula,0.07299082968705412,31,32
blocked,live_k=8/shape=shared,32,0.8087635838398087,0.8595826219384008,0.7564641027600323,0.8606961348848389,formula,0.19004180916460822,31,32
blocked,live_k=12,64,0.8700506159747731,0.8863708704693807,0.85256809285437,0.8869199511379712,stratified_by_cell,0.12754938149885858,63,64
blocked,live_k=12/family=xor_dom,16,0.774491939942536,0.784402982140787,0.7379458486488473,0.811807191106094,formula,0.10427177614226947,15,16
blocked,live_k=12/family=andor_dom,16,0.8693023016561269,0.8813025090218806,0.8442371985170608,0.8973293186542515,formula,0.06698728414863914,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9569998943268342,0.9857646572244122,0.9260744818633226,0.983337150973825,formula,0.06377560632700734,15,16
blocked,live_k=12/family=mixed,16,0.889361762878074,0.9499124000719016,0.8178467191210476,0.9481541861275024,formula,0.15579134130905006,15,16
blocked,live_k=12/shape=tree,32,0.9157689526469251,0.9544473499412602,0.8884953345936746,0.942221783245437,formula,0.08800136153670017,31,32
blocked,live_k=12/shape=shared,32,0.8266146959558902,0.8362041993202156,0.7867080200326049,0.866000164147419,formula,0.1410799741079474,31,32
blocked,live_k=16,64,0.909430671281736,0.9194226259812818,0.8993416639606827,0.9195700184511595,stratified_by_cell,0.08234968466885816,63,64
blocked,live_k=16/family=xor_dom,16,0.8310072672322169,0.8396571631740417,0.7995194934059289,0.8595710479068615,formula,0.07611938092186711,15,16
blocked,live_k=16/family=andor_dom,16,0.9048668800693527,0.9109537390397261,0.8775770320000078,0.9310959436474461,formula,0.06142062189451388,15,16
blocked,live_k=16/family=impeqv_dom,16,0.9722654498837994,0.9823680819127469,0.9498705444570477,0.9873401146742738,formula,0.04460733851410555,15,16
blocked,live_k=16/family=mixed,16,0.9356297465352311,0.9250592582329796,0.9124207178277384,0.9580757075157749,formula,0.0510148641021018,15,16
