corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,17948.0,9676.0,28077.0,0.11240458540215739
b2,ir_canonicalize_ns,192,8136.03401184082,1922.2497940063477,19095.09301185608,0.056903003362197176
b2,ir_rewrite_ns,192,12684.613466262817,5764.514207839966,28123.706579208374,0.07779343826699682
b2,ir_intern_ns,192,40668.994188308716,19139.796495437626,69864.83931541444,0.24179610944705265
b2,ir_live_vars_ns,192,22020.190954208374,8009.374141693116,51889.56856727601,0.13803925421119317
b2,lower_cm_ns_median,192,18725.0,10210.0,30768.0,0.12304237303541676
b2,wrapper_current_ns_median,192,10579.5,8504.0,29313.9,
b2,end_to_end_current_ns_median,192,179523.5,94853.2,339899.1000000001,
bx1,hash_ns_median,80,11646.5,4959.000000000001,24139.000000000004,0.12276151394020988
bx1,ir_canonicalize_ns,80,4317.611455917358,1095.2353477478027,11866.539716720585,0.05099930811635113
bx1,ir_rewrite_ns,80,6776.303052902222,2267.9567337036133,16386.806964874275,0.066410315471397
bx1,ir_intern_ns,80,24508.684873580933,9675.323963165283,54287.9104614258,0.2542815982304588
bx1,ir_live_vars_ns,80,10766.088962554932,2547.353506088257,33386.796712875366,0.1148861034278125
bx1,lower_cm_ns_median,80,13329.5,6266.9,27730.500000000022,0.1418477527046115
bx1,wrapper_current_ns_median,80,9262.5,7458.0,19362.30000000006,
bx1,end_to_end_current_ns_median,80,115504.5,45746.3,244245.50000000003,
epfl,hash_ns_median,129,39964.0,13391.0,224286.00000000017,0.10112618470706877
epfl,ir_canonicalize_ns,129,22158.026695251465,7739.663124084473,173437.59536743164,0.06356728764840873
epfl,ir_rewrite_ns,129,29556.453227996826,11016.428470611572,207680.46379089355,0.07766417051987592
epfl,ir_intern_ns,129,101521.61121368408,39289.891719818115,609546.8997955325,0.27131166431930037
epfl,ir_live_vars_ns,129,45485.79454421997,12560.18877029419,433258.71229171753,0.12460947454313556
epfl,lower_cm_ns_median,129,46356.0,15211.8,276744.8000000001,0.12325321498565404
epfl,wrapper_current_ns_median,129,23022.0,10061.0,78554.0,
epfl,end_to_end_current_ns_median,129,391507.0,149376.0,2635308.0000000005,
