corpus,role,id,seed,truth_sha256_expected,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,1643.0,331.0,1,3,2,1,1,3,2,4258.0,5491.0,6402.0,95,29504.0,27209.52033996582,0.0,2451.2410163879395,6161.630153656006,2101.0637283325195,8606.0,4849.0,ok,613.04,650.5,616.75,660.02,12703.0,34634.0,1.0611053112358084,1.0701580867450344,20.596676124847992,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,469422568421749975,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,,andor_dom,2,4,5,3,721.0,151.0,1,1,1,1,2,2,2,7864.0,3987.0,5170.0,119,32320.0,30837.953090667725,2183.0201148986816,4507.601261138916,5006.7901611328125,1624.2265701293945,4799.0,4238.0,ok,638.29,680.77,666.74,715.03,7704.0,39693.0,1.0665528208181234,1.072427033026367,11.55472897981222,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,True,1,0,5,0,0,8388608,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,452964046958912957,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,andor_dom,2,3,3,3,811.0,150.0,1,1,1,1,1,1,1,3246.0,2595.0,3907.0,95,22101.0,20831.823348999023,1281.4998626708984,1311.3021850585938,4827.976226806641,1244.2469596862793,4157.0,3016.0,ok,554.63,601.62,644.0,692.58,8075.0,30206.0,1.084723148765844,1.0754347826086956,12.538819875776397,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,True,1,0,3,0,0,8388608,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,5318592467202692467,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,,mixed,2,3,3,3,771.0,151.0,1,3,2,1,1,3,2,3166.0,2565.0,3476.0,95,18535.0,17359.85279083252,0.0,625.8487701416016,4872.679710388184,1296.401023864746,4008.0,2705.0,ok,606.12,649.1,615.74,657.72,7214.0,27351.0,1.0709100508150202,1.0681781271315816,11.715984019228895,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,True,1,0,3,0,0,8388608,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,8616361440898826637,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,,impeqv_dom,2,11,31,3,761.0,150.0,1,1,1,1,15,39,27,9177.0,14536.0,7414.0,295,64169.0,62368.810176849365,1624.2265701293945,6504.356861114502,14185.905456542969,3546.476364135742,4478.0,19767.0,ok,1948.51,1956.13,651.51,716.53,7383.0,72174.0,1.003910680468666,1.0997989286426915,11.332136114564626,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,True,1,0,31,0,0,8388608,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,4522821221123432492,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,,xor_dom,2,10,25,6,1674.0,150.0,4,6,6,4,12,12,12,8466.0,9978.0,8847.0,270,83265.0,81352.88953781128,7688.999176025391,11101.365089416504,16309.32092666626,6854.534149169922,8757.0,13555.0,ok,1360.92,1417.93,1115.37,1206.24,7934.0,96529.0,1.0418907797666284,1.081470722719815,7.1133345885221955,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,True,1,0,25,0,0,8388608,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,6260423800473009968,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,andor_dom,2,5,6,4,891.0,150.0,2,3,2,2,3,4,3,4278.0,4619.0,4618.0,137,35656.0,34347.17655181885,2369.2846298217773,1899.8980522155762,7092.952728271484,2279.8776626586914,5570.0,4038.0,ok,714.13,803.39,734.26,781.05,7383.0,41347.0,1.124991248092084,1.0637240214637866,10.055021382071747,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,6,0,0,8388608,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,4008937263292170230,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,,xor_dom,2,12,31,8,1783.0,170.0,6,11,8,3,16,24,19,9277.0,11581.0,7183.0,310,89365.0,87432.56330490112,5334.615707397461,10378.658771514893,19915.401935577393,6511.807441711426,10229.0,14697.0,ok,1751.85,1832.51,1239.1,1287.89,8546.0,95958.0,1.0460427548020665,1.0393753530788477,6.896941328383504,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,True,1,0,31,0,0,8388608,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,992.0,141.0,2,4,3,2,3,4,3,4779.0,4809.0,5119.0,158,36588.0,35025.179386138916,2093.6131477355957,1668.9300537109375,9648.501873016357,2540.6479835510254,7063.0,4118.0,ok,734.77,778.14,774.54,827.83,7464.0,46126.0,1.0590252732147474,1.0688021277145145,9.636687582306918,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,2140984543467918017,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,impeqv_dom,3,16,56,16,3236.0,160.0,13,32,22,6,28,59,43,12954.0,16691.0,8966.0,412,110786.0,108554.95929718018,2831.2206268310547,6414.949893951416,29191.37477874756,16182.661056518555,19726.0,35646.0,ok,3033.23,3031.23,2007.83,2065.94,9247.0,119682.0,0.9993406368788388,1.0289416932708446,4.605469586568584,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,56,0,0,8388608,100,5,c073c4cae16c20ea16679fb56d345d47
