corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,44100.0,24700.0,65150.00000000001,0.1015300266898832
b2,ir_canonicalize_ns,192,23900.007363408804,5419.985973276199,56390.024838037796,0.061824300120864595
b2,ir_rewrite_ns,192,36550.03092717379,19099.979544989765,79330.01325000077,0.08886129593652153
b2,ir_intern_ns,192,92899.96523875743,50690.01344963908,155289.98337686062,0.21467697934845825
b2,ir_live_vars_ns,192,53249.99801814556,22550.052381120622,108710.0332370028,0.12255073026625171
b2,lower_cm_ns_median,192,43200.0,26810.000000000004,71280.0,0.10906602747178024
b2,wrapper_current_ns_median,192,29600.0,22820.0,76110.00000000001,
b2,end_to_end_current_ns_median,192,468700.0,277790.0,734600.0,
bx1,hash_ns_median,80,36700.0,14200.0,67760.0,0.11662789922050111
bx1,ir_canonicalize_ns,80,14449.979062192142,3940.0008972734213,37039.9910025299,0.05653751989085015
bx1,ir_rewrite_ns,80,25200.031814165413,8249.978418461978,56519.96762026101,0.07630275701355627
bx1,ir_intern_ns,80,68599.98393338174,25170.06651032716,134260.0648058579,0.22692363428050202
bx1,ir_live_vars_ns,80,31700.008548796177,9400.01045819372,81989.96074497703,0.10571309411207981
bx1,lower_cm_ns_median,80,33850.0,19920.0,68500.00000000003,0.12848661391580635
bx1,wrapper_current_ns_median,80,28800.0,22290.0,70260.00000000009,
bx1,end_to_end_current_ns_median,80,368050.0,143620.0,727380.0000000002,
epfl,hash_ns_median,129,79100.0,28320.0,573760.0,0.09512875184516975
epfl,ir_canonicalize_ns,129,54600.066505372524,18739.99717645347,456220.00470757496,0.07142847763842966
epfl,ir_rewrite_ns,129,65300.0024612993,26039.988733828068,512799.8476382345,0.08287373201427116
epfl,ir_intern_ns,129,199800.0661842525,76979.96334172785,1439239.9636562916,0.24509330984329306
epfl,ir_live_vars_ns,129,88000.08799880743,27599.988970905542,884880.014928058,0.11644561003823775
epfl,lower_cm_ns_median,129,91700.0,33640.0,568700.0000000002,0.10577356788452864
epfl,wrapper_current_ns_median,129,44300.0,20760.0,200820.00000000006,
epfl,end_to_end_current_ns_median,129,779000.0,327460.0,5734520.000000001,
