corpus,role,id,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,andor_dom,2,3,3,3,3900.0,800.0,1,3,2,1,1,3,2,11000.0,17800.0,25000.0,95,83900.0,77800.01033097506,0.0,11700.00177808106,15300.000086426735,5299.982149153948,19200.0,12100.0,ok,1461.0,1572.0,1486.0,1591.0,30400.0,92700.0,1.0759753593429158,1.0706594885598923,20.457604306864063,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,andor_dom,2,4,5,3,2800.0,600.0,1,1,1,1,2,2,2,12600.0,9200.0,12200.0,119,122300.0,117499.99248422682,9100.011084228754,16599.98088143766,18899.969290941954,6099.988240748644,28400.0,18700.0,ok,2956.0,3219.0,1860.0,1632.0,23200.0,181400.0,1.0889715832205684,0.8774193548387097,12.473118279569892,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,True,1,0,5,0,0,8388608,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,andor_dom,2,3,3,3,2300.0,300.0,1,1,1,1,1,1,1,11000.0,8600.0,12700.0,95,75800.0,71400.0198058784,5700.014298781753,4000.0013541430235,18299.99382607639,4200.0028770416975,11200.0,7800.0,ok,1309.0,1424.0,1495.0,1604.0,18800.0,84300.0,1.0878533231474408,1.0729096989966556,12.575250836120402,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,True,1,0,3,0,0,8388608,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,mixed,2,3,3,3,2000.0,300.0,1,3,2,1,1,3,2,8100.0,6700.0,9500.0,95,48200.0,44899.992644786835,0.0,1700.012944638729,11199.997970834374,3299.9960239976645,9800.0,7100.0,ok,1460.0,1587.0,1489.0,1608.0,16800.0,74200.0,1.086986301369863,1.0799194089993285,11.282740094022834,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,True,1,0,3,0,0,8388608,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,impeqv_dom,2,11,31,3,1800.0,300.0,1,1,1,1,15,39,27,23300.0,30200.0,16800.0,295,181300.0,174600.01981817186,4400.0043999403715,17299.98621158302,32900.01768618822,9400.013368576765,10800.0,34000.0,ok,5254.0,5077.0,1502.0,1562.0,23500.0,181700.0,0.9663113818043395,1.0399467376830893,15.645805592543276,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,True,1,0,31,0,0,8388608,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,xor_dom,2,10,25,6,3700.0,300.0,4,6,6,4,12,12,12,20700.0,23000.0,17000.0,270,247100.0,243399.99072253704,28300.040867179632,32499.95643272996,41100.02191737294,18999.999156221747,20600.0,29400.0,ok,3397.0,3498.0,2583.0,2695.0,19100.0,235500.0,1.0297321165734472,1.043360433604336,7.394502516453736,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,True,1,0,25,0,0,8388608,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,andor_dom,2,5,6,4,2100.0,300.0,2,3,2,2,3,4,3,11100.0,11500.0,10800.0,137,100100.0,93600.01422464848,6699.992809444666,5299.982149153948,17699.96015354991,5800.01506023109,13700.0,12200.0,ok,2328.0,2602.0,1696.0,1810.0,22800.0,137100.0,1.1176975945017182,1.0672169811320755,13.443396226415095,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,6,0,0,8388608,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,xor_dom,2,12,31,8,4100.0,300.0,6,11,8,3,16,24,19,23600.0,26100.0,18200.0,310,275200.0,267600.00037029386,16600.009985268116,35600.03824532032,60099.962865933776,19099.94171001017,23700.0,40600.0,ok,4650.0,4750.0,5196.0,5381.0,20400.0,753300.0,1.021505376344086,1.035604311008468,3.9260969976905313,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,True,1,0,31,0,0,8388608,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,andor_dom,3,6,6,5,4400.0,600.0,2,4,3,2,3,4,3,20400.0,18800.0,16900.0,158,159900.0,154200.0100016594,10899.995686486363,8299.975888803601,38199.97073151171,11199.997970834374,27400.0,17900.0,ok,3129.0,3689.0,2709.0,2087.0,23700.0,137500.0,1.1789709172259508,0.7703949796973053,8.748615725359912,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,impeqv_dom,3,16,56,16,12200.0,400.0,13,32,22,6,28,59,43,31900.0,36300.0,22500.0,412,278400.0,272800.0108618289,7500.028004869819,17899.932572618127,63599.98951666057,36399.9861292541,51800.0,57300.0,ok,8105.0,8284.0,4893.0,5045.0,25700.0,383000.0,1.0220851326341764,1.0310647864295932,5.252401389740445,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,56,0,0,8388608,100,5,c073c4cae16c20ea16679fb56d345d47
