arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,80,0,4,2.06149975946182,1.8037904007989454,2.1555389569057386,1.5241617940484011,4.8099673344014295,7.54140547674035,39,0.4875
raw,tuning,threshold_k7,7,False,80,0,4,1.7481080639749942,1.4918073760050006,1.8556423961042874,1.0,4.530109254034006,7.54140547674035,31,0.3875
raw,tuning,threshold_k8,8,False,80,0,4,1.5023716736698671,1.2411771910905884,1.6160161490734772,1.0,4.113617512730328,7.54140547674035,23,0.2875
raw,tuning,threshold_k9,9,False,80,0,4,1.28891661981056,1.1029078641837182,1.357646446137736,1.0,3.7121375241392234,5.297398543184183,15,0.1875
raw,tuning,threshold_k10,10,False,80,0,4,1.28891661981056,1.1029078641837182,1.357646446137736,1.0,3.7121375241392234,5.297398543184183,15,0.1875
raw,tuning,threshold_k11,11,False,80,0,4,1.1164407980341058,1.0297752928763177,1.1598231111742798,1.0,1.4994511928903984,3.7072953736654806,7,0.0875
raw,tuning,threshold_k12,12,False,80,0,4,1.1164407980341058,1.0297752928763177,1.1598231111742798,1.0,1.4994511928903984,3.7072953736654806,7,0.0875
raw,tuning,threshold_k13,13,False,80,0,4,1.011137763791976,1.0013938386967833,1.020207487341379,1.0,1.0,1.493273542600897,0,0.0
raw,tuning,threshold_k14,14,False,80,0,4,1.011137763791976,1.0013938386967833,1.020207487341379,1.0,1.0,1.493273542600897,0,0.0
raw,tuning,threshold_k15,15,False,80,0,4,1.011137763791976,1.0009814450502523,1.020207487341379,1.0,1.0,1.493273542600897,0,0.0
raw,tuning,threshold_k16,16,True,80,0,4,1.011137763791976,1.0013938386967833,1.020207487341379,1.0,1.0,1.493273542600897,0,0.0
raw,held_out,threshold_k6,6,False,307,14,23,2.7180336070794544,2.4886154625234864,2.9936231793962986,3.504201680672269,5.8267455402306165,9.256777691711852,197,0.6416938110749185
raw,held_out,threshold_k7,7,False,307,14,23,2.2640060679022254,2.042850775212157,2.696336166855765,2.597375435207913,5.338724540712305,9.256777691711852,165,0.5374592833876222
