corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,36400.0,18080.0,57460.0,0.10375453241752877
b2,ir_canonicalize_ns,192,18499.995348975062,4010.001430287957,48770.04830632359,0.06292462387931858
b2,ir_rewrite_ns,192,29749.993700534105,14300.021575763822,70409.99771561478,0.08846003673335615
b2,ir_intern_ns,192,76600.01574549824,37119.94213517755,136870.01774087548,0.21579352043843206
b2,ir_live_vars_ns,192,44450.04742592573,17129.958723671734,102640.05395583808,0.12444276851223388
b2,lower_cm_ns_median,192,39150.0,19510.0,61550.0,0.11203950444853365
b2,wrapper_current_ns_median,192,53700.0,25050.0,99600.0,
b2,end_to_end_current_ns_median,192,434650.0,209920.0,743240.0,
bx1,hash_ns_median,80,30250.0,12870.0,59960.00000000001,0.11535738623879509
bx1,ir_canonicalize_ns,80,11099.997209385037,3059.9971069023013,34269.94080655278,0.05808017860908866
bx1,ir_rewrite_ns,80,19650.004105642438,5090.006743557751,56340.00699501486,0.07458350696760033
bx1,ir_intern_ns,80,56049.99023489654,24029.979249462485,125789.994490333,0.22477908010867953
bx1,ir_live_vars_ns,80,25300.03257561475,8180.006989277899,78619.96127758178,0.10612384072080866
bx1,lower_cm_ns_median,80,29200.0,15670.0,71820.0,0.12489772909691416
bx1,wrapper_current_ns_median,80,42450.0,22990.0,83640.00000000016,
bx1,end_to_end_current_ns_median,80,319750.0,129040.0,704100.0000000012,
