corpus,role,id,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,andor_dom,2,3,3,3,1,3,2,1,1,3,2,10800.0,15600.0,17600.0,95,65800.0,60399.994254112244,0.0,4500.0051613897085,10900.02479031682,3599.9983083456755,14400.0,8900.0,ok,1088.0,1226.0,1086.0,1179.0,27300.0,69300.0,1.1268382352941178,1.0856353591160222,25.138121546961326,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,True,1,0,3,0,0,268435456,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,andor_dom,2,4,5,3,1,1,1,1,2,2,2,8900.0,6400.0,9200.0,119,60800.0,58100.00584460795,4099.973011761904,7599.999662488699,9100.011084228754,2699.9914553016424,9000.0,6800.0,ok,1138.0,1219.0,1053.0,1138.0,31300.0,107000.0,1.071177504393673,1.080721747388414,29.72459639126306,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,True,1,0,5,0,0,268435456,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,andor_dom,2,3,3,3,1,1,1,1,1,1,1,13100.0,11000.0,12900.0,95,52200.0,49099.99552182853,3099.9945010989904,2399.9891709536314,9900.01717582345,2700.020559132099,9600.0,5900.0,ok,930.0,1018.0,1046.0,1123.0,19400.0,67300.0,1.0946236559139786,1.0736137667304015,18.54684512428298,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,True,1,0,3,0,0,268435456,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,mixed,2,3,3,3,1,3,2,1,1,3,2,6000.0,4900.0,7100.0,95,50600.0,47500.0124424696,0.0,2199.9876480549574,8900.00956133008,3299.9960239976645,8500.0,5400.0,ok,1075.0,1148.0,1132.0,1211.0,23800.0,76700.0,1.067906976744186,1.0697879858657244,21.024734982332156,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,True,1,0,3,0,0,268435456,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,impeqv_dom,2,11,31,3,1,1,1,1,15,39,27,23900.0,27700.0,17400.0,295,160100.0,156599.99917261302,4200.0028770416975,15699.974028393626,33400.021493434906,9200.040949508548,11200.0,37600.0,ok,5486.0,5646.0,1664.0,1807.0,23000.0,267200.0,1.02916514764856,1.0859375,13.822115384615385,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,True,1,0,31,0,0,268435456,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,xor_dom,2,10,25,6,4,6,6,4,12,12,12,22900.0,27300.0,22800.0,270,274100.0,269700.01636072993,26499.939849600196,39200.00744983554,48999.96565654874,25799.99272711575,24300.0,34200.0,ok,4781.0,5078.0,2721.0,2618.0,22900.0,200300.0,1.062120895210207,0.962146269753767,8.416023520764425,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,True,1,0,25,0,0,268435456,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,andor_dom,2,5,6,4,2,3,2,2,3,4,3,8800.0,8800.0,8800.0,137,65300.0,62800.01252889633,4800.036549568176,4300.0036384910345,12799.951946362853,4999.979864805937,10100.0,7600.0,ok,1246.0,1328.0,1251.0,1338.0,18800.0,88400.0,1.0658105939004816,1.0695443645083933,15.027977617905675,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,6,0,0,268435456,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,xor_dom,2,12,31,8,6,11,8,3,16,24,19,16800.0,19600.0,13500.0,310,226700.0,222200.00391826034,14800.025383010507,26399.997295811772,45800.028601661325,15600.06057843566,18300.0,26800.0,ok,5134.0,5234.0,2432.0,2459.0,34300.0,327900.0,1.0194779898714452,1.0111019736842106,14.103618421052632,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,True,1,0,31,0,0,268435456,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,andor_dom,3,6,6,5,2,4,3,2,3,4,3,15300.0,13700.0,15100.0,158,112500.0,108400.01050382853,7399.998139590025,5100.009730085731,28400.012524798512,7499.998901039362,15400.0,14000.0,ok,2198.0,2451.0,2412.0,2504.0,24900.0,133900.0,1.1151046405823475,1.0381426202321724,10.323383084577115,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,True,1,0,6,0,0,268435456,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,impeqv_dom,3,16,56,16,13,32,22,6,28,59,43,37700.0,41800.0,24800.0,412,459900.0,452500.01130625606,8199.975127354264,23000.08782185614,124599.98833946884,57499.97217208147,46600.0,68300.0,ok,6320.0,6146.0,3526.0,3882.0,31700.0,242700.0,0.9724683544303797,1.100964265456608,8.99035734543392,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,56,0,0,268435456,100,5,c073c4cae16c20ea16679fb56d345d47
