corpus,role,id,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
epfl,held_out,epfl-arithmetic-adder-po3-e22ec7119f,adder.aig,8,42,89,41,33,53,34,6,61,95,61,76400.0,82200.0,62300.0,956,701300.0,687099.9932289124,44299.9298684299,46899.94966611266,177200.03961585462,61099.9995842576,121200.0,151300.0,ok,15988.0,75962.0,12625.0,49100.0,172200.0,1380000.0,4.7511883912934705,3.889108910891089,3.5071283095723014,d37f25665cce1aecebbf013f996122f7faa349f58412e2d981ca965024688b71,True,32,256,2848,192,192,8388608,100,5,e22ec7119ffd1636eadffc9fcfcb4843
epfl,held_out,epfl-arithmetic-adder-po4-ed17ac917c,adder.aig,10,54,117,53,43,69,44,8,81,127,81,183000.0,106700.0,55400.0,1222,1076100.0,1064400.014001876,80300.0875748694,69800.09493418038,288000.06839446723,100899.89518746734,104900.0,97700.0,ok,29030.0,119440.0,17692.0,51448.0,114200.0,960400.0,4.114364450568377,2.907981008365363,2.219716995801586,9a8a466dc0641128100f47db630673764e5e229088ba532115734e5c0b50116e,True,128,1280,14976,896,1024,8388608,50,5,ed17ac917c28511b926f91df0f41f4cd
epfl,held_out,epfl-arithmetic-adder-po5-d8df03f32b,adder.aig,12,66,145,65,53,85,54,10,101,159,101,114200.0,104800.0,61600.0,1490,1358700.0,1345800.0030368567,77099.97589699924,81900.07065422833,309500.05748309195,122500.00145286322,127400.0,136700.0,ok,89395.0,131850.0,38720.0,73080.0,236000.0,1523400.0,1.4749147044018123,1.887396694214876,3.2293377120963327,74d4ee5fb9d13f31a6dfc7bac9fa55de70a4b7638a656bf599d73d6e44730939,True,512,6144,74240,4096,5120,8388608,20,5,d8df03f32bb4ff5aac640b5056423024
epfl,held_out,epfl-arithmetic-adder-po6-5e5f8d2bf9,adder.aig,14,78,173,77,63,101,64,12,121,191,121,131300.0,114500.0,68500.0,1758,1239800.0,1227300.0029381365,72299.93934743106,84900.00618621707,339899.9397177249,140499.9929945916,235700.0,155000.0,ok,194160.0,161840.0,88900.0,86700.0,188600.0,1444000.0,0.8335393489905233,0.9752530933633295,2.1753171856978084,4026f35c42e8009977267920e6c482465bf0766b5520545ad580edb8824305db,True,2048,28672,354304,18432,24576,8388608,5,5,5e5f8d2bf9194aa08af98cde3140bffc
epfl,held_out,epfl-arithmetic-adder-po7-7187a359bb,adder.aig,16,90,201,89,73,117,74,14,141,223,141,203700.0,132100.0,80100.0,2026,1283200.0,1268199.9942287803,70800.16075633466,92699.89095628262,335599.9360792339,155099.9004393816,185500.0,169000.0,ok,789860.0,409160.0,335140.0,157480.0,237300.0,1917500.0,0.5180158509102879,0.46989317896998267,1.5068580137160275,f9ca67460fd30b4ae937350951e78284923dca2986c7337f607e05d6400cd51c,True,8192,131072,1646592,81920,114688,8388608,5,5,7187a359bb715a036d7885a01c0f65a1
epfl,held_out,epfl-arithmetic-adder-internal23-c8f7e7c3d1,adder.aig,8,37,43,35,27,45,29,7,29,45,29,61100.0,57400.0,38300.0,844,659400.0,649800.0002466142,41099.96370971203,52099.96015764773,174899.9347910285,54999.953135848045,82000.0,37900.0,ok,8572.0,35958.0,16451.0,52437.0,234000.0,1023500.0,4.194820345310313,3.187465807549693,4.46249785456834,6f04de1da7d877a6e57501a9c4c81c4cacf0e3048dba20d26c3fb349764e08b2,True,32,256,1376,160,224,8388608,100,5,c8f7e7c3d152396e9e07dab9ad5b9c81
epfl,held_out,epfl-arithmetic-adder-internal59-0da2adafe4,adder.aig,16,86,100,85,69,111,70,16,70,111,70,141100.0,137000.0,77800.0,1932,1695200.0,1674400.0022299588,89200.03892853856,104000.09341537952,505199.88872110844,177899.81211535633,169800.0,86700.0,ok,282560.0,144200.0,376400.0,172080.0,234500.0,1598700.0,0.5103340883352209,0.457173219978746,1.3627382612738261,5df178d38710a83349fc826afce8a0ad16747fc3552c986fc861bf670bf13ad0,True,8192,131072,819200,73728,131072,8388608,5,5,0da2adafe4073aa50a8272d1609ccc0e
epfl,held_out,epfl-arithmetic-bar-internal12-c0943537bc,bar.aig,8,30,38,23,15,31,22,8,24,35,24,45100.0,49600.0,32700.0,701,557700.0,549299.9916896224,36999.96159411967,42700.00499673188,119299.91887882352,50600.00694356859,50300.0,39600.0,ok,7140.0,30839.0,6670.0,35201.0,109300.0,821300.0,4.319187675070028,5.277511244377811,3.1050254254140506,767151bfa5326f9428f125559a3cf78cf0de04049476538d2e2620e7e94ee974,True,32,256,1216,160,256,8388608,100,5,c0943537bc142f4bbb73ea82b186df6e
epfl,held_out,epfl-arithmetic-bar-internal946-d4ec02cf11,bar.aig,8,29,37,22,14,29,21,7,23,33,23,64300.0,76000.0,147500.0,681,832000.0,822100.0025514513,112799.98579993844,63599.960412830114,184100.03394819796,77400.00728517771,82700.0,55000.0,ok,6969.0,32608.0,6225.0,25051.0,66400.0,624000.0,4.679007031137896,4.02425702811245,2.6505927907069577,f4e942665f3d820b88516cdbb483464d4fe650a13cad04a4e1b6b46ff03d3ccf,True,32,256,1184,160,224,8388608,100,5,d4ec02cf1136c41e9bd1916f1b0ee824
epfl,held_out,epfl-arithmetic-bar-internal1491-d851acd11c,bar.aig,8,28,36,21,13,27,20,6,22,31,22,41400.0,50900.0,32800.0,660,727200.0,718499.9994933605,53899.91565607488,67400.01845173538,185799.95958134532,79300.10906420648,51000.0,37400.0,ok,6346.0,29253.0,5864.0,23901.0,67400.0,654300.0,4.6096753860699655,4.0758867667121415,2.819965691812058,b81d18cf1175a51585f5376e9977ebbdab4a6868949bfd830487d4b93643841a,True,32,256,1152,160,192,8388608,100,5,d851acd11c7e46c1a61c483ea739b41e
