corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,6,23550.0,17150.0,49100.0,0.09467464287631144
b2,ir_canonicalize_ns,6,18249.99344535172,8700.008038431406,35200.020647607744,0.06285586652213124
b2,ir_rewrite_ns,6,31750.038033351302,15850.047930143774,72950.0170564279,0.11491835078547316
b2,ir_intern_ns,6,56200.005928985775,33550.03718752414,125750.05530379713,0.21509059216762322
b2,ir_live_vars_ns,6,29949.98067151755,15350.02957098186,68499.99772384763,0.11141327449728494
b2,lower_cm_ns_median,6,23650.0,19200.0,50500.0,0.09838692804036137
b2,wrapper_current_ns_median,6,38900.0,28600.0,91700.0,
b2,end_to_end_current_ns_median,6,299900.0,189900.0,701950.0,
bx1,hash_ns_median,10,22950.0,15030.0,50959.99999999999,0.11278703302969452
bx1,ir_canonicalize_ns,10,13650.03117825836,6299.995584413409,32470.087171532214,0.061901775793203676
bx1,ir_rewrite_ns,10,17750.01874193549,7420.001202262938,37749.961484223604,0.0765295556812089
bx1,ir_intern_ns,10,47499.99789055437,23600.00798944384,110319.96400561184,0.21910158668244573
bx1,ir_live_vars_ns,10,22849.999368190765,6919.994484633207,60820.01200411468,0.10028000158975739
bx1,lower_cm_ns_median,10,24900.0,20390.0,54900.0,0.12698993941540068
bx1,wrapper_current_ns_median,10,50400.0,29440.0,69739.99999999997,
bx1,end_to_end_current_ns_median,10,293750.0,124750.0,594539.9999999999,
epfl,hash_ns_median,9,137700.0,73460.0,379380.0,0.12196206283343212
epfl,ir_canonicalize_ns,9,47700.01396536827,39640.022441744804,218259.81093570596,0.06031419512681623
epfl,ir_rewrite_ns,9,94300.1068662852,46619.9591755867,238999.90483187145,0.07293125047663203
epfl,ir_intern_ns,9,199299.97506551445,162819.91847790778,762920.1165400448,0.26397347690796613
epfl,ir_live_vars_ns,9,86299.98774267733,60620.02503313124,366420.13583332306,0.11046356922447287
epfl,lower_cm_ns_median,9,96800.0,70740.0,297280.0,0.12821192052980132
epfl,wrapper_current_ns_median,9,160100.0,70900.0,635360.0,
epfl,end_to_end_current_ns_median,9,950700.0,673820.0,4300420.0,
