corpus,role,id,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,cm_word_scratch_bytes_estimate,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,andor_dom,2,3,3,3,1,3,2,1,1,3,2,15200.0,15000.0,19900.0,95,94400.0,87499.99688006938,0.0,7599.999662488699,20000.006770715117,6199.989002197981,24400.0,14000.0,1458.0,1578.0,1439.0,1558.0,37900.0,104500.0,1.0823045267489713,1.082696316886727,26.337734537873523,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,True,1,0,0,100,3,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k3-1-6189f2994067,andor_dom,3,6,6,5,2,4,3,2,3,4,3,13500.0,12900.0,13300.0,158,108100.0,103800.00458098948,8000.002708286047,5800.01506023109,24000.00812485814,6999.995093792677,16700.0,10700.0,1739.0,1876.0,1846.0,1947.0,24400.0,127000.0,1.0787809085681426,1.0547128927410618,13.217768147345613,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,True,1,0,0,100,3,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k4-1-3d5e8d379589,andor_dom,4,9,11,9,5,11,8,4,5,11,8,19900.0,17800.0,14500.0,232,180400.0,175499.99756738544,6999.995093792677,18200.022168457508,39000.03503076732,16699.981642886996,24700.0,15000.0,2643.0,3145.0,2961.0,3097.0,30000.0,206600.0,1.1899356791524782,1.0459304289091522,10.131712259371835,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,True,2,0,0,100,3,3d5e8d3795898edaa2d1f391c12bd94e
bx1,tuning,bx1-k5-1-034e0f291fe2,andor_dom,5,9,9,9,4,4,4,3,4,4,4,20200.0,21700.0,15900.0,225,154700.0,151100.0155005604,8800.008799880743,8199.975127354264,32999.960239976645,14399.993233382702,22400.0,12200.0,2439.0,3063.0,2539.0,2670.0,53700.0,227500.0,1.2558425584255843,1.0515951161874755,21.150059078377314,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,True,4,0,0,100,3,034e0f291fe2129ff5c840daf6a5e9e9
bx1,tuning,bx1-k6-1-ac26b8df9ebe,andor_dom,6,12,13,10,4,10,8,3,6,10,8,21500.0,21300.0,17900.0,298,200900.0,196399.98208731413,11900.061508640647,11899.915989488363,45399.99645203352,22099.993657320738,25100.0,16600.0,2868.0,16823.0,3006.0,15357.0,47900.0,289400.0,5.865760111576011,5.108782435129741,3.119098782314254,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,True,8,48,24,100,3,ac26b8df9ebe5cfd73a7e131c1fb6168
bx1,tuning,bx1-k7-1-5ff39721fc88,andor_dom,7,14,15,9,2,6,6,2,7,7,7,24400.0,25200.0,19100.0,340,233600.0,228999.99748915434,19099.970813840628,17300.015315413475,49599.99932907522,23600.005079060793,20800.0,17400.0,2761.0,12593.0,2387.0,9515.0,44700.0,298100.0,4.561028612821442,3.986175115207373,4.697845507094062,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,True,16,112,32,100,3,5ff39721fc88b1a8a5a24f7bc6cbba34
bx1,tuning,bx1-k8-1-4e47cb5cd5b6,andor_dom,8,18,20,17,9,11,10,4,10,11,10,36700.0,29900.0,24900.0,434,428000.0,419299.9913357198,28299.98265951872,37199.96311701834,91199.93774220347,42599.94602762163,49100.0,30700.0,3907.0,17093.0,4603.0,16927.0,52900.0,522400.0,4.37496800614282,3.6773843145774494,3.1251846162934958,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,True,32,256,128,100,3,4e47cb5cd5b69bcfd719d4ac6068c6c8
bx1,tuning,bx1-k10-1-ce8ba79b76b0,mixed,10,21,22,20,10,20,15,3,11,20,15,40000.0,34400.0,29400.0,500,327800.0,321900.00638365746,15400.000847876072,29000.017093494534,76700.06016269326,41400.02420172095,42300.0,25100.0,5468.0,20568.0,12148.0,29706.0,58400.0,443500.0,3.761521580102414,2.4453407968389858,1.9659328081868983,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,True,128,1280,384,50,3,ce8ba79b76b0ba54ca0b1db699d85b79
bx1,tuning,bx1-k12-1-dcaeee786843,andor_dom,12,27,29,23,11,19,16,5,15,19,16,49700.0,47600.0,30500.0,635,477900.0,471600.01122392714,32200.099667534232,32600.01540184021,109199.95838776231,59400.01574344933,54200.0,31400.0,10530.0,32660.0,10010.0,23480.0,63300.0,558000.0,3.101614434947768,2.3456543456543457,2.6959114139693354,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,True,512,6144,2560,20,3,dcaeee786843d10664d1d9075a3d551d
bx1,tuning,bx1-k16-1-00faa20cf21f,andor_dom,16,33,34,30,14,22,19,4,17,22,19,62300.0,53900.0,35400.0,777,540500.0,533000.0130925328,34899.97470751405,42699.946789070964,120400.0145662576,73599.9783501029,61200.0,36500.0,52960.0,60280.0,57120.0,65860.0,127700.0,923400.0,1.1382175226586102,1.1530112044817926,1.9389614333434557,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,True,8192,131072,32768,5,3,00faa20cf21f8654c0317cc3490477d5
