corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,42250.0,26210.0,76100.00000000001,0.1081351045733164
b2,ir_canonicalize_ns,192,24099.99433439225,5810.015136376023,57470.02433054149,0.06429395318178294
b2,ir_rewrite_ns,192,38600.00288113952,17619.93335094303,84000.08373428136,0.08726140553995682
b2,ir_intern_ns,192,93800.00119563192,50679.99882157892,165449.9734286219,0.21460066076680542
b2,ir_live_vars_ns,192,52949.96662996709,21799.994283355772,111250.07586088032,0.12280570457013146
b2,lower_cm_ns_median,192,45200.0,26280.0,81190.00000000001,0.10888633390349417
b2,wrapper_current_ns_median,192,28100.0,23300.0,71890.0,
b2,end_to_end_current_ns_median,192,472000.0,282450.0,854700.0000000002,
bx1,hash_ns_median,80,37750.0,11920.0,85920.0,0.11681421907281833
bx1,ir_canonicalize_ns,80,14449.979062192142,3580.0010664388537,42009.950266219676,0.05704816702044242
bx1,ir_rewrite_ns,80,23699.9912885949,6179.9888499081135,58979.95142731817,0.07554933783555319
bx1,ir_intern_ns,80,70350.02636257559,23120.030527934432,151949.98413790023,0.22495791543897226
bx1,ir_live_vars_ns,80,36850.033211521804,7559.973164461553,96439.97764214876,0.10767621443429987
bx1,lower_cm_ns_median,80,40700.0,16510.0,83780.0,0.1316993467312083
bx1,wrapper_current_ns_median,80,28750.0,20460.0,80430.00000000007,
bx1,end_to_end_current_ns_median,80,385350.0,132490.0,781710.0000000001,
epfl,hash_ns_median,129,82900.0,30700.0,518900.00000000006,0.09592657904735924
epfl,ir_canonicalize_ns,129,52600.02217255533,18860.01555249095,403680.1459733398,0.07042245376591354
epfl,ir_rewrite_ns,129,65900.00702999532,25060.04530005157,466860.46989634633,0.08155084503252512
epfl,ir_intern_ns,129,194000.02202019095,84460.02611890435,1188180.153258145,0.24516018230296827
epfl,ir_live_vars_ns,129,89499.98300522566,26499.980594962835,804580.1369007679,0.11479378909041252
epfl,lower_cm_ns_median,129,87000.0,34780.0,578680.0000000001,0.11026856240126383
epfl,wrapper_current_ns_median,129,42000.0,21580.0,257400.00000000012,
epfl,end_to_end_current_ns_median,129,925900.0,368020.0,4924200.000000002,
