corpus,role,id,seed,truth_sha256_expected,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,3800.0,700.0,1,3,2,1,1,3,2,10700.0,12100.0,14800.0,95,71900.0,66599.98325631022,0.0,5900.015821680427,14599.994756281376,4899.9791033566,23000.0,11700.0,ok,1474.0,1597.0,1489.0,1606.0,29500.0,92000.0,1.0834464043419267,1.078576225654802,19.811954331766287,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,469422568421749975,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,,andor_dom,2,4,5,3,1900.0,300.0,1,1,1,1,2,2,2,12000.0,9200.0,11700.0,119,82800.0,79100.02022981644,6199.989002197981,10599.993402138352,12000.00406242907,4500.0051613897085,11600.0,9900.0,ok,1699.0,1756.0,1465.0,1578.0,25200.0,178400.0,1.033549146556798,1.0771331058020477,17.20136518771331,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,True,1,0,5,0,0,8388608,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,452964046958912957,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,andor_dom,2,3,3,3,4600.0,600.0,1,1,1,1,1,1,1,7900.0,20300.0,14600.0,95,67400.0,63600.01862049103,5300.011252984405,3299.9960239976645,13099.98333454132,3500.026650726795,11700.0,8400.0,ok,1251.0,1368.0,1413.0,1528.0,20700.0,95000.0,1.0935251798561152,1.0813871196036802,14.64968152866242,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,True,1,0,3,0,0,8388608,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,5318592467202692467,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,,mixed,2,3,3,3,2200.0,300.0,1,3,2,1,1,3,2,8200.0,6900.0,9700.0,95,49900.0,46500.00482797623,0.0,1700.012944638729,11299.998732283711,3199.9952625483274,10600.0,6800.0,ok,1463.0,1585.0,1471.0,1594.0,16900.0,79500.0,1.0833902939166098,1.0836165873555403,11.488783140720598,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,True,1,0,3,0,0,8388608,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,8616361440898826637,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,,impeqv_dom,2,11,31,3,2700.0,300.0,1,1,1,1,15,39,27,23000.0,30100.0,17100.0,295,190900.0,186199.99173097312,5499.983672052622,19200.058886781335,36800.01827888191,10500.021744519472,15200.0,46100.0,ok,4922.0,5024.0,1463.0,1571.0,19600.0,421100.0,1.020723283218204,1.0738209159261791,13.397129186602871,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,True,1,0,31,0,0,8388608,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,4522821221123432492,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,,xor_dom,2,10,25,6,3800.0,300.0,4,6,6,4,12,12,12,21600.0,24600.0,16600.0,270,236900.0,231099.98437575996,20999.98528137803,31899.951864033937,37600.0243704766,17100.042896345258,27100.0,31000.0,ok,3554.0,3657.0,2539.0,2665.0,19300.0,227800.0,1.0289814293753516,1.0496258369436786,7.601417881055534,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,True,1,0,25,0,0,8388608,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,6260423800473009968,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,andor_dom,2,5,6,4,2100.0,400.0,2,3,2,2,3,4,3,11200.0,11100.0,11000.0,137,88100.0,84599.9747980386,6199.989002197981,5100.009730085731,17500.045942142606,5799.985956400633,13500.0,10000.0,ok,1776.0,1890.0,1759.0,1874.0,16900.0,111500.0,1.0641891891891893,1.0653780557134735,9.60773166571916,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,6,0,0,8388608,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,4008937263292170230,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,,xor_dom,2,12,31,8,4300.0,300.0,6,11,8,3,16,24,19,22800.0,27700.0,17400.0,310,284000.0,279200.0013869256,17999.991541728377,35100.00533424318,54600.00829771161,18999.97005239129,26800.0,36600.0,ok,4490.0,5472.0,2860.0,2969.0,22900.0,261100.0,1.218708240534521,1.038111888111888,8.006993006993007,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,True,1,0,31,0,0,8388608,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,4000.0,500.0,2,4,3,2,3,4,3,10900.0,10900.0,11900.0,158,114000.0,108899.98520724475,8000.031812116504,6199.989002197981,25699.991965666413,7699.971320107579,22700.0,13100.0,ok,2128.0,2267.0,1797.0,1905.0,19300.0,127900.0,1.0653195488721805,1.0601001669449082,10.740122426265998,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,2140984543467918017,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,impeqv_dom,3,16,56,16,7700.0,400.0,13,32,22,6,28,59,43,32000.0,35600.0,22100.0,412,278800.0,274099.99165683985,7499.998901039362,17800.01912266016,63500.01785904169,38300.05880445242,44400.0,57400.0,ok,7665.0,7773.0,4885.0,4983.0,25500.0,431400.0,1.0140900195694715,1.0200614124872058,5.220061412487206,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,56,0,0,8388608,100,5,c073c4cae16c20ea16679fb56d345d47
bx1,tuning,bx1-k3-3-2cf6fe6bc52c,351760472865490451,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,,mixed,3,6,7,6,3300.0,300.0,3,5,4,2,3,5,4,14100.0,13900.0,12300.0,164,115100.0,111100.00195913017,5699.985194951296,10399.962775409222,23300.03189854324,9499.985026195645,18900.0,11500.0,ok,1933.0,2053.0,2122.0,2257.0,21900.0,157600.0,1.0620796689084324,1.0636192271442035,10.320452403393025,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,True,1,0,7,0,0,8388608,100,5,2cf6fe6bc52ca9b0c580828a67d0e3b2
bx1,tuning,bx1-k3-4-6f4b1568a0b2,3528185177367768437,50868f20258bbc9cce0da2719e8654c108733dd2f663b8737c574ec0ead93eb3,,impeqv_dom,3,14,37,8,3900.0,300.0,5,14,9,3,19,45,31,28600.0,34900.0,19500.0,363,211000.0,206400.00002458692,8000.031812116504,19500.002963468432,43700.07081888616,16300.065908581018,22400.0,41700.0,ok,5857.0,6075.0,2549.0,2651.0,22700.0,235900.0,1.0372204200102442,1.0400156924284032,8.905453118870145,50868f20258bbc9cce0da2719e8654c108733dd2f663b8737c574ec0ead93eb3,True,1,0,37,0,0,8388608,100,5,6f4b1568a0b24d9f538b69e1ddaf3168
bx1,tuning,bx1-k3-5-9d6635482dd7,2879241967487364291,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,mixed,3,6,6,6,3000.0,300.0,3,8,5,2,3,8,5,10800.0,11700.0,12100.0,158,79300.0,75499.9928176403,0.0,1999.9861251562834,21500.018192455173,5900.015821680427,16700.0,9900.0,ok,2075.0,2177.0,1973.0,2079.0,22000.0,120200.0,1.0491566265060241,1.053725291434364,11.150532184490624,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,True,1,0,6,0,0,8388608,100,5,9d6635482dd776daa8fdfaeb834e3d4b
bx1,tuning,bx1-k3-6-6e2e20f77614,6222481568918042885,9e076ceaf246b6003d9c2680a2b4cf0bffd069805902b0b5edeebf49039fe4bd,,andor_dom,3,5,5,5,2400.0,300.0,2,4,3,2,2,4,3,11100.0,9400.0,11900.0,139,79900.0,76300.02801306546,2999.9937396496534,5999.987479299307,17699.96015354991,6099.988240748644,14800.0,8300.0,ok,1684.0,1799.0,1855.0,1978.0,17500.0,106000.0,1.0682897862232779,1.0663072776280322,9.433962264150944,9e076ceaf246b6003d9c2680a2b4cf0bffd069805902b0b5edeebf49039fe4bd,True,1,0,5,0,0,8388608,100,5,6e2e20f7761486ffa97f9643074ee08b
bx1,tuning,bx1-k3-7-7eea095f4c98,5572147757052189078,3e151409ace91cb3394fecd59e92b5dc42c0aad29993a1858f2f70a0866a539b,,mixed,3,5,5,5,2800.0,400.0,2,4,3,2,2,4,3,10900.0,9800.0,10300.0,138,78000.0,74599.98596459627,3400.025889277458,3100.023604929447,17099.984688684344,6299.989763647318,15600.0,8700.0,ok,1640.0,1764.0,1809.0,1929.0,21800.0,123800.0,1.075609756097561,1.066334991708126,12.05085682697623,3e151409ace91cb3394fecd59e92b5dc42c0aad29993a1858f2f70a0866a539b,True,1,0,5,0,0,8388608,100,5,7eea095f4c986451937dd28e2dc782e7
