arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,80,0,4,2.0603504770710455,1.8702105658989654,2.1578721657090956,1.6685419058553386,4.94469397925343,7.6065987904769194,39,0.4875
raw,tuning,threshold_k7,7,False,80,0,4,1.750443918730691,1.556074304389326,1.8141584692945747,1.0,4.6454063962477505,6.8693333333333335,31,0.3875
raw,tuning,threshold_k8,8,False,80,0,4,1.4958192588844603,1.2840515573199571,1.5809616715464265,1.0,4.153895020468737,5.205709083119109,23,0.2875
raw,tuning,threshold_k9,9,False,80,0,4,1.2893267564539093,1.1418815375610023,1.3506305520275308,1.0,3.6919661379007196,4.702159718734304,15,0.1875
raw,tuning,threshold_k10,10,False,80,0,4,1.2893267564539093,1.1418815375610023,1.3506305520275308,1.0,3.6919661379007196,4.702159718734304,15,0.1875
raw,tuning,threshold_k11,11,False,80,0,4,1.1199611981706035,1.0613229534094824,1.1509200348437691,1.0,1.6137083811710689,3.6897163120567376,7,0.0875
raw,tuning,threshold_k12,12,False,80,0,4,1.1199611981706035,1.0613229534094824,1.1509200348437691,1.0,1.6137083811710689,3.6897163120567376,7,0.0875
raw,tuning,threshold_k13,13,False,80,0,4,1.0118015209754376,1.0,1.0408292981579652,1.0,1.0,1.7370838117106773,0,0.0
raw,tuning,threshold_k14,14,False,80,0,4,1.0118015209754376,1.0,1.0408292981579652,1.0,1.0,1.7370838117106773,0,0.0
raw,tuning,threshold_k15,15,False,80,0,4,1.0118015209754376,1.0,1.0408292981579652,1.0,1.0,1.7370838117106773,0,0.0
raw,tuning,threshold_k16,16,True,80,0,4,1.0118015209754376,1.0,1.0408292981579652,1.0,1.0,1.7370838117106773,0,0.0
raw,held_out,threshold_k6,6,False,307,14,23,2.743242066958752,2.5322165438004083,3.011707131970507,3.600555748523793,5.800727065831016,11.001155512758787,200,0.6514657980456026
raw,held_out,threshold_k7,7,False,307,14,23,2.2768207407026773,2.0708266590759714,2.7281440679261384,2.657608209367648,5.1874707945338026,6.99021897810219,168,0.5472312703583062
raw,held_out,threshold_k8,8,False,307,14,23,2.2768207407026773,2.0783213141501755,2.725742814497166,2.657608209367648,5.1874707945338026,6.99021897810219,168,0.5472312703583062
raw,held_out,threshold_k9,9,False,307,14,23,1.5725090015461718,1.4575017812375861,1.742176625148023,1.0,4.301566878523413,6.580100125156446,95,0.30944625407166126
raw,held_out,threshold_k10,10,False,307,14,23,1.5365633955522071,1.4292989785684789,1.6641729782275565,1.0,4.258181230746019,6.580100125156446,90,0.2931596091205212
