corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,41150.0,21550.000000000004,69970.0,0.11012255415566014
b2,ir_canonicalize_ns,192,20600.040443241596,4410.004476085305,51350.11742822826,0.061425325394691865
b2,ir_rewrite_ns,192,31849.966035224497,13900.018529966474,82410.02215072514,0.08692310493842674
b2,ir_intern_ns,192,84000.0284370035,39809.92187280208,147760.02208236605,0.21745805490471942
b2,ir_live_vars_ns,192,48150.00283997506,18230.019486509264,104609.9583618343,0.12517460931552174
b2,lower_cm_ns_median,192,42000.0,21410.0,73570.00000000001,0.11190482627930848
b2,wrapper_current_ns_median,192,24000.0,18400.0,71670.0,
b2,end_to_end_current_ns_median,192,427300.0,208420.0,750550.0000000001,
bx1,hash_ns_median,80,29200.0,8850.0,57120.0,0.12080663031283576
bx1,ir_canonicalize_ns,80,10699.99416358769,2590.0197215378284,29540.018294937927,0.05522133045559483
bx1,ir_rewrite_ns,80,18799.968529492617,4490.034189075232,45409.938320517555,0.07499232275201287
bx1,ir_intern_ns,80,49349.93921779096,17200.014553964138,133500.0531980768,0.22584207080210533
bx1,ir_live_vars_ns,80,25399.989681318402,6079.990998841822,62870.03634497527,0.10735074281641932
bx1,lower_cm_ns_median,80,29300.0,11940.0,64220.000000000015,0.13415882995803932
bx1,wrapper_current_ns_median,80,19350.0,14090.0,58350.00000000004,
bx1,end_to_end_current_ns_median,80,259100.0,91840.0,547920.0000000001,
epfl,hash_ns_median,129,96400.0,26140.0,698660.0000000007,0.09899344353125866
epfl,ir_canonicalize_ns,129,64700.026996433735,21920.02721130848,523479.8882156616,0.07130432837971167
epfl,ir_rewrite_ns,129,81599.92285072803,27180.032338947058,587059.9765330561,0.08260152766053132
epfl,ir_intern_ns,129,253499.95121359825,89859.97410491109,1538979.8383694147,0.24886936891201078
epfl,ir_live_vars_ns,129,110900.05864389241,29799.98243972659,1003080.0185631977,0.11417057154880415
epfl,lower_cm_ns_median,129,107500.0,36060.0,755020.0000000003,0.10399482451884198
epfl,wrapper_current_ns_median,129,55300.0,21280.0,256800.0,
epfl,end_to_end_current_ns_median,129,960300.0,354660.0,6681040.000000002,
