arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,regret_geomean,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,80,0,2.0212122261764125,1.2289787759020088,4.997451549852549,8.28191489361702,39,0.4875
raw,tuning,threshold_k7,7,False,80,0,1.7157022268180973,1.0,4.5975035030011515,8.28191489361702,31,0.3875
raw,tuning,threshold_k8,8,False,80,0,1.4808738125591276,1.0,4.25976428119649,8.28191489361702,23,0.2875
raw,tuning,threshold_k9,9,False,80,0,1.2832591469990804,1.0,3.9978607036034766,5.483858110801116,15,0.1875
raw,tuning,threshold_k10,10,False,80,0,1.2832591469990804,1.0,3.9978607036034766,5.483858110801116,15,0.1875
raw,tuning,threshold_k11,11,False,80,0,1.1090924988011888,1.0,1.178814940639844,4.69301110385369,7,0.0875
raw,tuning,threshold_k12,12,False,80,0,1.1090924988011888,1.0,1.178814940639844,4.69301110385369,7,0.0875
raw,tuning,threshold_k13,13,False,80,0,1.0091177045843787,1.0,1.0,1.291683569979716,0,0.0
raw,tuning,threshold_k14,14,False,80,0,1.0091177045843787,1.0,1.0,1.291683569979716,0,0.0
raw,tuning,threshold_k15,15,False,80,0,1.0091177045843787,1.0,1.0,1.291683569979716,0,0.0
raw,tuning,threshold_k16,16,True,80,0,1.0091177045843787,1.0,1.0,1.291683569979716,0,0.0
raw,held_out,threshold_k6,6,False,307,14,2.769202603407437,3.650515277526668,5.945609278658846,9.809553446398008,200,0.6514657980456026
raw,held_out,threshold_k7,7,False,307,14,2.2988761747828517,2.5803814713896456,5.47374583470533,9.48923904688701,168,0.5472312703583062
raw,held_out,threshold_k8,8,False,307,14,2.2988761747828517,2.5803814713896456,5.47374583470533,9.48923904688701,168,0.5472312703583062
raw,held_out,threshold_k9,9,False,307,14,1.5839299738439212,1.0,4.3399850914798135,9.48923904688701,95,0.30944625407166126
raw,held_out,threshold_k10,10,False,307,14,1.5426904911755397,1.0,4.238599980679891,9.48923904688701,90,0.2931596091205212
raw,held_out,threshold_k11,11,False,307,14,1.2146518649575113,1.0,2.389672303166014,5.481362725450902,42,0.13680781758957655
raw,held_out,threshold_k12,12,False,307,14,1.1625629621068985,1.0,1.972317682790047,4.494559841740851,31,0.10097719869706841
raw,held_out,threshold_k13,13,False,307,14,1.0233353766769926,1.0,1.002066649444588,1.8653911276667796,0,0.0
raw,held_out,threshold_k14,14,False,307,14,1.0149822525025334,1.0,1.0,1.6310679611650485,0,0.0
raw,held_out,threshold_k15,15,False,307,14,1.0122903929208305,1.0,1.0,1.6310679611650485,0,0.0
raw,held_out,threshold_k16,16,True,307,14,1.0153260647871796,1.0,1.0,1.6310679611650485,0,0.0
cm,tuning,threshold_k6,6,False,80,0,1.8820781338445858,1.5566938131719565,4.4223929142110965,5.5843208751139475,39,0.4875
cm,tuning,threshold_k7,7,False,80,0,1.6119720690337185,1.0,3.842140069830607,5.419992574716911,31,0.3875
cm,tuning,threshold_k8,8,False,80,0,1.4224635281875095,1.0,3.5369258951729794,5.419992574716911,24,0.3
cm,tuning,threshold_k9,9,False,80,0,1.2429504945501832,1.0,2.923682371825138,4.3937747035573125,16,0.2
cm,tuning,threshold_k10,10,False,80,0,1.2429504945501832,1.0,2.923682371825138,4.3937747035573125,16,0.2
cm,tuning,threshold_k11,11,False,80,0,1.0985257626672347,1.0,1.2098769077831784,3.4486607142857144,8,0.1
cm,tuning,threshold_k12,12,False,80,0,1.0985257626672347,1.0,1.2098769077831784,3.4486607142857144,8,0.1
cm,tuning,threshold_k13,13,False,80,0,1.0027856791399679,1.0,1.0,1.120748299319728,0,0.0
cm,tuning,threshold_k14,14,False,80,0,1.0027856791399679,1.0,1.0,1.120748299319728,0,0.0
cm,tuning,threshold_k15,15,False,80,0,1.0027856791399679,1.0,1.0,1.120748299319728,0,0.0
cm,tuning,threshold_k16,16,True,80,0,1.0027856791399679,1.0,1.0,1.120748299319728,0,0.0
cm,held_out,threshold_k6,6,False,321,0,2.4417399471441676,3.1326176191979793,5.083981754762544,6.923076923076923,205,0.6386292834890965
cm,held_out,threshold_k7,7,False,321,0,2.068646919753914,2.245347394540943,4.320014529604069,6.573206959966049,173,0.5389408099688473
cm,held_out,threshold_k8,8,False,321,0,2.068646919753914,2.245347394540943,4.320014529604069,6.573206959966049,173,0.5389408099688473
cm,held_out,threshold_k9,9,False,321,0,1.5000474741683751,1.0,3.619074814391776,5.943461432126071,99,0.308411214953271
cm,held_out,threshold_k10,10,False,321,0,1.47056073881811,1.0,3.5921985815602837,5.943461432126071,94,0.29283489096573206
cm,held_out,threshold_k11,11,False,321,0,1.1991730144473243,1.0,2.245347394540943,4.344750942647351,45,0.14018691588785046
cm,held_out,threshold_k12,12,False,321,0,1.1507467717158661,1.0,2.028444352503103,3.5921985815602837,34,0.1059190031152648
cm,held_out,threshold_k13,13,False,321,0,1.0182098483537887,1.0,1.0,2.0810301507537687,1,0.003115264797507788
cm,held_out,threshold_k14,14,False,321,0,1.009749707871857,1.0,1.0,1.514003294892916,0,0.0
cm,held_out,threshold_k15,15,False,321,0,1.0090774565838898,1.0,1.0,1.514003294892916,0,0.0
cm,held_out,threshold_k16,16,True,321,0,1.013754319579362,1.0,1.0,1.8424277373315072,0,0.0
