corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,39800.0,19450.0,80080.0,0.1063025953129696
b2,ir_canonicalize_ns,192,23549.990146420896,4409.978282637894,53890.00289142132,0.06378484132089943
b2,ir_rewrite_ns,192,36399.9861292541,14820.042997598648,81189.98666759582,0.08566336491844054
b2,ir_intern_ns,192,88399.97462928295,45549.971400760114,194790.05131870508,0.22474467841300025
b2,ir_live_vars_ns,192,50850.03795102239,19750.00195670873,113629.96592652056,0.12297163399159539
b2,lower_cm_ns_median,192,40800.0,22800.0,80890.00000000001,0.10332918028950946
b2,wrapper_current_ns_median,192,25850.0,18700.0,106880.00000000003,
b2,end_to_end_current_ns_median,192,436700.0,218610.0,898900.0000000001,
bx1,hash_ns_median,80,31500.0,11790.0,57410.00000000003,0.11866357905600315
bx1,ir_canonicalize_ns,80,10949.981515295804,3149.968688376248,34329.89469729365,0.05688116859504615
bx1,ir_rewrite_ns,80,20700.026652775705,6650.018622167409,41969.97324470431,0.07315552477652944
bx1,ir_intern_ns,80,62850.02746153623,22160.029038786888,125509.96616482736,0.23341816965449397
bx1,ir_live_vars_ns,80,30800.0307995826,7490.022107958794,65769.98566742986,0.10674368697719244
bx1,lower_cm_ns_median,80,31000.0,15340.0,61450.000000000015,0.1261770356002855
bx1,wrapper_current_ns_median,80,24200.0,15750.0,61510.000000000015,
bx1,end_to_end_current_ns_median,80,312650.0,115600.0,581190.0000000002,
epfl,hash_ns_median,129,81100.0,31100.0,532860.0,0.0934752429430819
epfl,ir_canonicalize_ns,129,57199.911680072546,18880.050629377365,420240.20222015685,0.07061026812946306
epfl,ir_rewrite_ns,129,66400.010837242,26739.988243207335,460280.23352846503,0.0821658947494026
epfl,ir_intern_ns,129,211699.92396607995,82780.01914732158,1293219.818035141,0.25383075273801187
epfl,ir_live_vars_ns,129,90200.04654303193,27859.97930914164,797319.7789397093,0.11309881758966553
epfl,lower_cm_ns_median,129,91600.0,33580.0,515460.00000000006,0.10575352992027663
epfl,wrapper_current_ns_median,129,50500.0,21220.0,183620.0000000001,
epfl,end_to_end_current_ns_median,129,886800.0,358780.0,5805260.000000002,
